Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	14	3.9e-07	7.38e-06	MMP9,IL1RN,IL1B,MMP12,FGF8,MUC5B,MMP13,CXCL5,COL1A1,COL2A1,IL1A,MMP3,IFNA1,HBEGF
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	14	4.22e-07	7.38e-06	MMP3,IL1B,IFNA1,COL2A1,IL1A,MMP9,MMP13,CXCL5,MUC5B,GDNF,IL1RN,FGF8,HBEGF,COL1A1
SP1	Sp1 transcription factor	15	1.62e-05	0.000189	FGFBP1,WIF1,PDGFB,CXCL5,AREG,COL2A1,COMP,HBEGF,MMP9,CXCL14,TIMP3,MMP11,SPP1,COL1A1,PTN
JUN	jun proto-oncogene	8	4.82e-05	0.000422	IL1B,MMP9,MMP13,MMP3,IL1A,MMP12,IBSP,PTN
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	6	6.46e-05	0.000431	FGFBP1,PF4,MMP13,MMP3,COL1A1,MMP9
NFIL3	nuclear factor, interleukin 3 regulated	3	7.39e-05	0.000431	EREG,IL1B,AREG
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.000564	0.00247	MMP3,IL1B,MMP9
RUNX2	runt-related transcription factor 2	3	0.000564	0.00247	IBSP,MMP13,IHH
FOS	FBJ murine osteosarcoma viral oncogene homolog	4	0.00152	0.0059	MMP9,FGFBP1,MMP3,IL1A
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.0026	0.00826	MMP9,TIMP3
ZNF148	zinc finger protein 148	2	0.0026	0.00826	CXCL5,MMP3
KLF5	Kruppel-like factor 5 (intestinal)	2	0.0055	0.016	MMP9,FGFBP1
STAT1	signal transducer and activator of transcription 1, 91kDa	4	0.00619	0.0167	MMP9,IFNA1,IL1B,MMP13
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	5	0.00804	0.0201	IL1RN,MUC5B,MMP9,MMP3,IL11
BRCA1	breast cancer 1, early onset	3	0.0134	0.0312	AREG,S100A2,IFNA1
SOX2	SRY (sex determining region Y)-box 2	2	0.0155	0.0339	SEMA6A,MMP3
POU5F1	POU class 5 homeobox 1	2	0.0183	0.0364	SPP1,SEMA6A
SRF	serum response factor (c-fos serum response element-binding transcription factor)	2	0.0198	0.0364	MMP9,PLG
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0198	0.0364	POSTN,GDF15
RARA	retinoic acid receptor, alpha	2	0.0213	0.0372	FGFBP1,ANXA8
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0239	0.0399	MMP9,ECM1,COL1A1
CIITA	class II, major histocompatibility complex, transactivator	2	0.0296	0.0471	COL1A1,MMP9
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	2	0.0314	0.0478	MMP3,MMP9
EGR1	early growth response 1	3	0.0414	0.0603	PDGFB,GDF15,GDNF
KLF4	Kruppel-like factor 4 (gut)	2	0.0472	0.0661	IL1B,GDF15
SIRT1	sirtuin 1	2	0.0653	0.0879	IL1B,MMP9
IRF1	interferon regulatory factor 1	2	0.0726	0.0941	IFNA1,MMP9
SP3	Sp3 transcription factor	3	0.0757	0.0946	HBEGF,COL1A1,COL2A1
WT1	Wilms tumor 1	2	0.0879	0.106	HBEGF,EREG
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	2	0.0959	0.112	GDF15,IL1B
PPARG	peroxisome proliferator-activated receptor gamma	2	0.112	0.127	GDF15,MMP9
HDAC1	histone deacetylase 1	2	0.127	0.139	MMP9,SPP1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	2	0.163	0.172	HBEGF,MUC3A
YY1	YY1 transcription factor	2	0.187	0.193	IL1B,POSTN
E2F1	E2F transcription factor 1	2	0.325	0.325	IL1B,TNFSF11
