Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	27	5.59e-13	2.95e-11	CXCL10,MMP9,IL12A,COL1A2,MMP14,TNFSF10,PLAU,CXCL2,MMP12,TNC,TIMP1,CSF2,SFTPA1,MUC5B,SERPINE1,CCL11,MMP1,COL1A1,VWF,IFNG,BGN,COL2A1,MMP3,MUC5AC,HBEGF,AMH,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	27	6.55e-13	2.95e-11	MMP3,BGN,AMH,MMP1,IFNG,SFTPA1,TNC,TIMP1,COL2A1,COL1A2,COL7A1,PLAU,CXCL10,MMP9,CCL11,CSF2,MUC5B,VWF,GDNF,MUC5AC,SERPINE1,HBEGF,MMP14,IL12A,COL1A1,CXCL2,TNFSF10
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	16	1.25e-09	3.75e-08	TIMP1,FGF2,MUC5B,PGF,MMP9,FGG,CCL11,SHH,IFNG,FGL1,MUC4,MMP3,MMP10,MMP1,MMP14,IL11
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	5.61e-07	1.26e-05	CSF2,MMP10,MUC4,MMP1,PLAU,MMP3,VWF,TNC,COL1A1,MMP9
SP1	Sp1 transcription factor	24	7.84e-07	1.41e-05	MUC4,WIF1,GDF5,COL7A1,TNC,SERPINB5,MUC5AC,TNFSF10,PLAU,COL2A1,COMP,SERPINE1,TIMP1,HBEGF,MMP9,MMP28,TGM4,MMP11,MMP14,SPP1,IGFBP3,COL1A1,PTN,ACAN
JUN	jun proto-oncogene	12	5.6e-06	8.39e-05	IL12A,MMP9,CSF2,MMP3,MMP12,IBSP,PTN,IFNG,TNC,PLAU,NGF,MMP1
SMAD3	SMAD family member 3	6	8.87e-06	0.000114	COL7A1,SERPINE1,TNC,ANGPTL4,MMP9,FST
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	1.08e-05	0.000121	MMP1,VWF,CSF2,MMP3,MMP9,TNC
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	6	2.19e-05	0.000219	CCL11,COL1A2,CCL17,CCL26,EGLN3,COL1A1
HDAC1	histone deacetylase 1	7	0.000147	0.00133	MMP9,IGFBP3,SPP1,SERPINB5,SFRP1,MMP28,COL1A2
IRF1	interferon regulatory factor 1	6	0.000166	0.00135	CXCL10,TNFSF10,IFNG,OGN,MMP9,IL12A
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	0.000214	0.00153	TNFSF10,MMP3,MMP1,MMP9
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	3	0.00022	0.00153	MMP9,MMP14,MMP1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	0.000327	0.0021	IGFBP3,SFRP1,SFRP5
EPAS1	endothelial PAS domain protein 1	3	0.000461	0.00259	SERPINE1,COL10A1,MMP14
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000461	0.00259	VWF,IFNG,TNFSF10
SP3	Sp3 transcription factor	8	0.000499	0.00264	HBEGF,IGFBP3,TIMP1,GDF5,TGM4,COL1A1,COL2A1,MUC4
SRF	serum response factor (c-fos serum response element-binding transcription factor)	4	0.000647	0.00324	MMP14,MMP9,SERPINE1,PLAU
SIRT1	sirtuin 1	5	0.00103	0.0049	ACAN,COL10A1,COL1A2,MMP9,ADAMTS5
ING4	inhibitor of growth family, member 4	3	0.00165	0.00741	NGF,ANGPT1,SPP1
FOS	FBJ murine osteosarcoma viral oncogene homolog	5	0.00225	0.00923	MMP9,NGF,MMP3,MMP1,PLAU
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	6	0.00226	0.00923	FGF2,SERPINE1,HBEGF,PLAU,MUC3A,EGLN3
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.0024	0.00938	FGF2,MMP9,MUC4,IFNG,TIMP1,CXCL10
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4	0.0029	0.0109	COL1A1,COL1A2,CTSG,CLEC4G
EGR1	early growth response 1	6	0.00303	0.0109	TNFSF10,IFNG,MMP14,FGF2,PLAU,GDNF
GLI1	GLI family zinc finger 1	3	0.00334	0.0111	MUC5AC,S100A7,SFRP1
RUNX2	runt-related transcription factor 2	3	0.00334	0.0111	IBSP,IHH,PLAU
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00374	0.0112	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00374	0.0112	WNT3A,RSPO2
NKX2-1	NK2 homeobox 1	2	0.00374	0.0112	SFTPA1,SFTPB
ETV4	ets variant 4	3	0.00513	0.0146	MMP14,MUC4,MMP1
TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	2	0.00518	0.0146	MUC4,IFNG
SOX9	SRY (sex determining region Y)-box 9	3	0.00583	0.0159	SHH,AMH,COL2A1
FLI1	Friend leukemia virus integration 1	3	0.00658	0.0166	MMP1,COL1A2,IGFBP3
POU5F1	POU class 5 homeobox 1	3	0.00658	0.0166	SPP1,SEMA6A,TDGF1
HDAC5	histone deacetylase 5	2	0.00684	0.0166	SLIT2,FGF2
KLF8	Kruppel-like factor 8	2	0.00684	0.0166	MMP14,MMP9
RARA	retinoic acid receptor, alpha	3	0.00825	0.0186	PLAU,MUC5AC,SFTPB
SMAD4	SMAD family member 4	3	0.00825	0.0186	COL7A1,TNC,SERPINE1
FOSL1	FOS-like antigen 1	2	0.0087	0.0186	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.0087	0.0186	PLAU,VWF
TFCP2	transcription factor CP2	2	0.0087	0.0186	SPP1,FGA
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3	0.00918	0.0188	SPP1,FGF2,VWF
HDAC2	histone deacetylase 2	3	0.00918	0.0188	TNFSF10,MUC5AC,COL1A2
HOXB7	homeobox B7	2	0.0108	0.0206	THBS2,FGF2
PPARD	peroxisome proliferator-activated receptor delta	2	0.0108	0.0206	ANGPTL4,TIMP1
SPDEF	SAM pointed domain containing ets transcription factor	2	0.0108	0.0206	SERPINB5,MMP9
RUNX3	runt-related transcription factor 3	3	0.0123	0.023	TIMP1,MMP9,CLEC4G
EP300	E1A binding protein p300	4	0.0127	0.0233	IFNG,IGFBP3,MMP9,COL1A2
CIITA	class II, major histocompatibility complex, transactivator	3	0.0135	0.0242	COL1A1,MMP9,COL1A2
CREB1	cAMP responsive element binding protein 1	5	0.0154	0.0271	IFNG,MUC5AC,IBSP,MUC4,PLAU
YY1	YY1 transcription factor	5	0.016	0.0278	COL1A2,VWF,MUC4,IFNG,POSTN
ZEB1	zinc finger E-box binding homeobox 1	2	0.0181	0.0307	LAMC2,COL4A3
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.0187	0.0311	TIMP1,SRPX,MMP1
SNAI2	snail homolog 2 (Drosophila)	2	0.0208	0.0341	MMP17,MMP9
PPARG	peroxisome proliferator-activated receptor gamma	4	0.022	0.0354	SERPINE1,ANGPTL4,MMP9,MMP1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.0232	0.0361	SPP1,MUC4,S100P
POU2F1	POU class 2 homeobox 1	3	0.0232	0.0361	VWF,PLAU,SPP1
FOSL2	FOS-like antigen 2	2	0.0238	0.0363	IBSP,TIMP1
PPARA	peroxisome proliferator-activated receptor alpha	3	0.0249	0.0373	SERPINE1,ANGPTL4,MMP9
FOXM1	forkhead box M1	2	0.0302	0.0445	FGB,SFTPB
GLI2	GLI family zinc finger 2	2	0.0336	0.048	FST,MUC5AC
RFX5	regulatory factor X, 5 (influences HLA class II expression)	2	0.0336	0.048	IFNG,COL1A2
GATA4	GATA binding protein 4	2	0.0372	0.0523	AMH,FGF10
PAX5	paired box 5	2	0.0447	0.0619	MMP1,TIMP1
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2	0.0486	0.0644	FST,MMP14
NR5A1	nuclear receptor subfamily 5, group A, member 1	2	0.0486	0.0644	AMH,INSL3
SOX2	SRY (sex determining region Y)-box 2	2	0.0486	0.0644	SEMA6A,MMP3
PARP1	poly (ADP-ribose) polymerase 1	2	0.0612	0.0776	IFNG,SERPINE1
TCF4	transcription factor 4	2	0.0612	0.0776	FST,VCAN
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0612	0.0776	POSTN,SRPX
WT1	Wilms tumor 1	3	0.0646	0.0808	HBEGF,CX3CL1,AMH
E2F1	E2F transcription factor 1	5	0.0665	0.082	MUC4,SERPINE1,CTSV,SERPINB5,TNFSF11
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0701	0.0853	VWF,COL1A1
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	3	0.073	0.0876	MMP1,TNFAIP6,SFTPD
DNMT1	DNA (cytosine-5-)-methyltransferase 1	2	0.0892	0.106	SFRP5,SFRP1
ATF2	activating transcription factor 2	2	0.0941	0.11	IFNG,PLAU
JUND	jun D proto-oncogene	2	0.104	0.12	TIMP1,SFTPD
