Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	2.7e-12	1.97e-10	HYAL1,MMP1,SERPINA3,IFNG,SFTPA1,CCL5,COL1A2,CCL3,IL1A,BMP2,CSF2,CCL13,VWF,GDNF,IL12B,MUC5AC,IL6,HBEGF,CCL4,COL1A1,CCL19,A2M,CXCL2,CCL2,TNFSF10
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	23	9.91e-11	3.62e-09	CCL4,CCL19,IL6,COL1A2,IL12B,BMP2,HYAL1,TNFSF10,CCL2,CXCL2,CCL3,CSF2,SFTPA1,MMP1,CCL5,COL1A1,VWF,CCL13,IFNG,SERPINA3,IL1A,MUC5AC,HBEGF
SP1	Sp1 transcription factor	22	1.73e-06	3.52e-05	FGFBP1,MUC4,MMRN1,F10,WIF1,GDF5,CCL2,HYAL1,SERPINB5,MUC5AC,TNFSF10,IL6,COL18A1,HBEGF,CXCL14,TGFA,TGM4,MMP11,CCL5,COL1A1,LEP,PTN
JUN	jun proto-oncogene	12	1.93e-06	3.52e-05	CCL5,CCL2,CSF2,IL12B,IL1A,IBSP,PTN,IFNG,CSTA,MGP,IL6,MMP1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	7.55e-06	0.000105	FGF2,LEP,CYR61,FGG,A2M,IFNG,FGL1,MUC4,IL6,MMP1,CCL2
JUND	jun D proto-oncogene	6	8.64e-06	0.000105	IL6,FGFBP1,CSTA,IL5,SFTPD,CCL5
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	8	1.95e-05	0.000204	CSF2,FGFBP1,MUC4,PF4,MMP1,IL5,VWF,COL1A1
HDAC2	histone deacetylase 2	5	3.93e-05	0.000359	TNFSF10,MUC5AC,CCL2,COL1A2,BMP7
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	9.24e-05	0.000686	MMP1,VWF,IL12B,CSF2,IL5
IRF1	interferon regulatory factor 1	6	9.4e-05	0.000686	CCL5,TNFSF10,IL12B,IFNG,SLPI,OGN
EP300	E1A binding protein p300	6	0.00016	0.00106	IFNG,IL5,IL12B,LAMA3,IL6,COL1A2
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	4	0.000262	0.0016	IL6,CCL2,IL12B,CCL5
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000341	0.00191	VWF,IFNG,TNFSF10
YY1	YY1 transcription factor	7	0.000368	0.00192	COL1A2,VWF,MUC4,IFNG,IL5,CCL13,POSTN
RARA	retinoic acid receptor, alpha	4	0.000512	0.00249	FGFBP1,ANXA8,MUC5AC,SFTPB
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000594	0.00255	ADAMTS1,WNT11,FGF2,VWF
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	4	0.000594	0.00255	CCL2,VWF,COL18A1,COL1A1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.00086	0.00349	IL5,SFTPD,LEP,IL6,CCL2
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.00142	0.00547	FGF2,MUC4,IFNG,IL6,CCL2,CCL3
EGR1	early growth response 1	6	0.00181	0.0066	TNFSF10,IFNG,HYAL1,FGF2,IL6,GDNF
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4	0.002	0.00673	IL7,COL1A1,IL15,COL1A2
CREB1	cAMP responsive element binding protein 1	6	0.00203	0.00673	IFNG,MUC5AC,IBSP,MUC4,IL6,CCL5
GLI1	GLI family zinc finger 1	3	0.0025	0.00759	CYR61,MUC5AC,SFRP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.0025	0.00759	TNFSF10,MMP1,CCL5
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00305	0.00826	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00305	0.00826	WNT3A,RSPO2
NKX2-1	NK2 homeobox 1	2	0.00305	0.00826	SFTPA1,SFTPB
TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	2	0.00423	0.011	MUC4,IFNG
FLI1	Friend leukemia virus integration 1	3	0.00494	0.0124	PF4,MMP1,COL1A2
HDAC5	histone deacetylase 5	2	0.00559	0.0132	SLIT2,FGF2
ZFP36	ZFP36 ring finger protein	2	0.00559	0.0132	SERPINB2,IL6
FOSL1	FOS-like antigen 1	2	0.00712	0.0158	SFTPD,MMP1
TFCP2	transcription factor CP2	2	0.00712	0.0158	A2M,FGA
HOXB7	homeobox B7	2	0.00882	0.0189	THBS2,FGF2
FOS	FBJ murine osteosarcoma viral oncogene homolog	4	0.00952	0.0198	FGFBP1,CSTA,MMP1,IL1A
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	4	0.0114	0.023	MMP1,IL6,IL5,SFTPD
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	4	0.0127	0.0251	IL5,IL12B,CCL2,CCL5
E2F1	E2F transcription factor 1	6	0.0138	0.0265	MUC4,CTSV,SERPINB5,NELL2,PCSK6,CCL3
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.0142	0.0266	S100P,IL6,CCL2
