Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	27	2.71e-12	1.54e-10	CCL4,IL2,IL6,CXCL8,IL1RN,IL1B,CXCL12,HYAL1,CCL20,CCL2,CXCL2,MMP12,CCL3,CSF2,SFTPA1,SERPINE1,MMP1,COL1A1,VWF,CCL13,IFNG,COL2A1,SERPINA3,IL1A,HBEGF,MUC6,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	27	3.17e-12	1.54e-10	IL2,HYAL1,MMP1,SERPINA3,IFNG,SFTPA1,IL1B,CXCL12,COL2A1,CXCL8,COL7A1,CCL3,IL1A,CCL20,CSF2,CCL13,VWF,MUC6,IL1RN,IL6,SERPINE1,HBEGF,CCL4,COL1A1,A2M,CXCL2,CCL2
SP1	Sp1 transcription factor	31	1.95e-10	6.31e-09	FGFBP1,MUC4,MMRN1,F10,IL2,ADAM23,WIF1,COL7A1,CCL2,HYAL1,SERPINB5,FBLN1,EGF,CTGF,AREG,COL2A1,IL6,SERPINE1,HBEGF,LTBP4,HGF,MMP28,MUC6,TIMP3,MMP11,PLAT,COL1A1,IGFBP1,PTN,F7,ACAN
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	17	4.01e-10	9.73e-09	HGF,FGF2,IL1RN,CYR61,CTGF,SHH,A2M,IFNG,FGL1,MUC4,IL2,IL6,MMP1,OSM,IL11,CCL2,CXCL8
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	13	9e-10	1.75e-08	CSF2,FGFBP1,MUC4,PF4,MMP1,IL5,PRL,CTGF,VWF,IL2,IGFBP1,BMP4,COL1A1
JUN	jun proto-oncogene	15	4.72e-08	7.62e-07	IL1B,DCN,PLAT,CCL2,CXCL8,CTGF,CSF2,IL2,IL1A,MMP12,PTN,IFNG,MGP,IL6,MMP1
NFIL3	nuclear factor, interleukin 3 regulated	5	3.5e-07	4.85e-06	VWF,EREG,IFNG,IL1B,AREG
ZFP36	ZFP36 ring finger protein	4	5.79e-06	7.02e-05	SERPINB2,IL6,CXCL8,IL2
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	8	8.49e-06	9.15e-05	CXCL8,IL1B,MMP1,IL6,IL5,IL13,PRL,SFTPD
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	6	2.7e-05	0.000261	CXCL8,S100P,F7,IL6,CCL2,IGFBP1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	8.8e-05	0.000776	ADAMTS1,WNT11,FGF2,VWF,CXCL8
SP3	Sp3 transcription factor	9	0.000151	0.00122	FBLN1,HBEGF,HGF,IGFBP1,COL1A1,PLAT,MUC6,COL2A1,MUC4
SMAD3	SMAD family member 3	5	0.000175	0.00131	COL7A1,LTBP4,SERPINE1,FSTL3,FST
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	0.000205	0.00142	MMP1,CXCL8,VWF,CSF2,IL5
