Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	29	8.93e-15	8.49e-13	SERPINB1,CCL4,MMP9,IL6,CXCL8,IL12A,IL1B,CSF1,BMP2,HYAL1,CCL20,CCL2,CXCL2,MMP12,CCL3,TNFSF14,SFTPA1,FGF8,CCL11,CXCL5,COL1A1,VWF,SERPINA3,IL1A,MUC5AC,HBEGF,AMH,COL7A1,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	28	7.57e-14	3.6e-12	HYAL1,AMH,SERPINA3,SFTPA1,IL1B,CXCL8,CSF1,COL7A1,CCL3,IL1A,MMP9,BMP2,CCL20,CXCL5,CCL11,TNFSF14,VWF,MUC5AC,FGF8,IL6,HBEGF,CCL4,IL12A,CXCL1,COL1A1,CXCL2,CCL2,SERPINB1
SP1	Sp1 transcription factor	31	2.81e-11	8.88e-10	TNFSF14,MUC4,MMRN1,WIF1,COL7A1,CCL2,HYAL1,SERPINB5,MUC5AC,EPO,EGF,CXCL5,AREG,IL6,ADIPOQ,HBEGF,CXCL1,MMP9,COL11A2,TGFA,TIMP3,TGM4,MMP11,PLAT,IGF2,SPP1,COL1A1,LEP,IGFBP1,PTN,F7
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	14	6.75e-08	1.6e-06	FGF2,LEP,MMP9,FGG,CCL11,SHH,FGL1,MUC4,MMP10,IL6,FGF1,OSM,CCL2,CXCL8
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	9	1.03e-07	1.95e-06	SPP1,S100A9,SFTPD,CSF1,LEP,ELANE,IL6,IGF2,CCL2
JUN	jun proto-oncogene	12	5.06e-06	8.01e-05	IL1B,PLAT,IL12A,MMP9,CCL2,CXCL8,CSF1,IL1A,MMP12,PTN,NGF,IL6
NFIL3	nuclear factor, interleukin 3 regulated	4	1.25e-05	0.00017	VWF,EREG,IL1B,AREG
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	6	1.75e-05	0.000208	CXCL8,S100P,F7,IL6,CCL2,IGFBP1
WT1	Wilms tumor 1	7	3.33e-05	0.000352	NOV,THBS1,HBEGF,CX3CL1,IGF2,AMH,EREG
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	8	3.81e-05	0.000362	MMP10,MUC4,PF4,VWF,TNFSF14,IGFBP1,COL1A1,MMP9
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	6.13e-05	0.00053	ADAMTS1,SPP1,FGF2,VWF,CXCL8
SMAD3	SMAD family member 3	5	0.000123	0.00097	COL7A1,FSTL3,EPO,MMP9,FST
HDAC5	histone deacetylase 5	3	0.000214	0.00145	IGF2,SLIT2,FGF2
ZFP36	ZFP36 ring finger protein	3	0.000214	0.00145	SERPINB2,IL6,CXCL8
EGR2	early growth response 2	3	0.000317	0.00201	IGF2,LIF,IL6
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	6	0.000387	0.00221	CXCL8,IL1B,IL6,S100A9,TNFAIP6,SFTPD
STAT1	signal transducer and activator of transcription 1, 91kDa	7	0.000395	0.00221	FGF2,MMP9,MUC4,IL6,CCL2,IL1B,CCL3
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	6	0.000462	0.00244	IL1B,CCL2,ELANE,CSF1,CTSG,PRG2
HDAC2	histone deacetylase 2	4	0.000844	0.00422	MUC5AC,CXCL8,CCL2,BMP7
DNMT1	DNA (cytosine-5-)-methyltransferase 1	4	0.00144	0.00683	TIMP3,SFRP5,BMP2,SFRP1
ING4	inhibitor of growth family, member 4	3	0.0016	0.00724	CXCL8,NGF,SPP1
SP3	Sp3 transcription factor	7	0.00228	0.00924	HBEGF,TGM4,IGFBP1,COL1A1,PLAT,COL11A2,MUC4
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	3	0.00234	0.00924	TNFAIP6,CCL20,CXCL1
ELF4	E74-like factor 4 (ets domain transcription factor)	2	0.00247	0.00924	MMP9,CXCL8
ZNF300	zinc finger protein 300	2	0.00247	0.00924	CXCL8,IL6
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.00253	0.00924	CCL11,CXCL8,CCL17,COL1A1
GLI2	GLI family zinc finger 2	3	0.00277	0.0095	FST,MUC5AC,WNT2B
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4	0.0028	0.0095	ELANE,IL7,COL1A1,CTSG
POU2F1	POU class 2 homeobox 1	4	0.00309	0.00965	VWF,SDC4,LGALS4,SPP1
