Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	27	2.43e-14	1.94e-12	CCL19,CXCL10,MMP9,IL12A,IL1B,COL1A2,BMP2,HYAL1,PLAU,CXCL2,MMP12,TNC,CSF2,SFTPA1,MUC5B,MMP1,MMP13,CXCL5,COL1A1,IFNG,SERPINA3,IL1A,MMP3,MUC5AC,HBEGF,AMH,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	26	2.13e-13	8.53e-12	HYAL1,MMP3,AMH,MMP1,SERPINA3,IFNG,SFTPA1,IL1B,TNC,COL1A2,COL7A1,PLAU,CXCL10,IL1A,MMP9,MMP13,BMP2,CXCL5,CSF2,MUC5B,MUC5AC,HBEGF,IL12A,COL1A1,CCL19,CXCL2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	11	1.47e-08	3.93e-07	CSF2,MMP10,F13A1,PF4,MMP1,PLAU,MMP13,MMP3,TNC,COL1A1,MMP9
JUN	jun proto-oncogene	13	2.12e-07	4.24e-06	IL1B,IL12A,MMP9,MMP13,CSF2,MMP3,IL1A,MMP12,IFNG,TNC,PLAU,NGF,MMP1
SP1	Sp1 transcription factor	22	1.12e-06	1.8e-05	MMRN1,F10,WIF1,GDF5,COL7A1,HYAL1,TNC,MUC5AC,EGF,CXCL5,PLAU,COMP,HBEGF,MMP9,COL11A2,CXCL14,MMP11,IGF2,SPP1,IGFBP3,COL1A1,F7
IRF1	interferon regulatory factor 1	6	8.16e-05	0.000935	CXCL10,IFNG,SLPI,OGN,MMP9,IL12A
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	8.18e-05	0.000935	MMP1,CSF2,MMP3,MMP9,TNC
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	0.00013	0.00123	MMP3,IL1B,MMP1,MMP9
EP300	E1A binding protein p300	6	0.000139	0.00123	IFNG,S100A4,IGFBP3,LAMA3,MMP9,COL1A2
FOS	FBJ murine osteosarcoma viral oncogene homolog	6	0.000153	0.00123	MMP9,NGF,MMP3,MMP1,IL1A,PLAU
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	0.000197	0.00144	MUC5B,MMP9,FGG,SHH,IFNG,FGL1,MMP3,MMP10,MMP1
FLI1	Friend leukemia virus integration 1	4	0.000338	0.00225	PF4,MMP1,COL1A2,IGFBP3
RARA	retinoic acid receptor, alpha	4	0.000465	0.00286	ANXA8,PLAU,MUC5AC,SFTPB
CIITA	class II, major histocompatibility complex, transactivator	4	0.000925	0.00493	COL1A1,S100A4,MMP9,COL1A2
SMAD3	SMAD family member 3	4	0.000925	0.00493	COL7A1,TNC,ANGPTL4,MMP9
ING4	inhibitor of growth family, member 4	3	0.00114	0.00568	NGF,ANGPT1,SPP1
EGR1	early growth response 1	6	0.00159	0.00728	IFNG,GDF15,HYAL1,WNT4,PLAU,IGF2
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.00164	0.00728	COL1A2,CCL17,CCL26,COL1A1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4	0.00182	0.00765	COL1A1,COL1A2,CTSG,CLEC4G
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.0029	0.0111	COL1A2,COL11A1
NKX2-1	NK2 homeobox 1	2	0.0029	0.0111	SFTPA1,SFTPB
HDAC1	histone deacetylase 1	5	0.00338	0.0123	MMP9,IGFBP3,SPP1,SFRP1,COL1A2
SOX9	SRY (sex determining region Y)-box 9	3	0.00406	0.0141	SHH,AMH,COL11A2
SIRT1	sirtuin 1	4	0.00474	0.0158	IL1B,COL10A1,COL1A2,MMP9
TWIST2	twist basic helix-loop-helix transcription factor 2	3	0.00517	0.0158	POSTN,GDF15,SRPX
HDAC5	histone deacetylase 5	2	0.00532	0.0158	IGF2,SLIT2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00532	0.0158	MMP9,MMP1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00677	0.0172	IGFBP3,SFRP1
FOSL1	FOS-like antigen 1	2	0.00677	0.0172	SFTPD,MMP1
TFCP2	transcription factor CP2	2	0.00677	0.0172	SPP1,FGA
ZNF148	zinc finger protein 148	2	0.00677	0.0172	CXCL5,MMP3
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.0069	0.0172	MMP9,IFNG,IL1B,MMP13,CXCL10
NFIL3	nuclear factor, interleukin 3 regulated	2	0.00839	0.0203	IFNG,IL1B
RUNX3	runt-related transcription factor 3	3	0.00866	0.0204	WNT4,MMP9,CLEC4G
IRF8	interferon regulatory factor 8	2	0.0102	0.0225	IL12A,IL1B
STAT4	signal transducer and activator of transcription 4	2	0.0102	0.0225	S100A4,IFNG
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	4	0.0104	0.0225	GDF15,IL1B,MMP1,SFTPD
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.0133	0.0272	S100P,F7,PLAU
