Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
SP1	Sp1 transcription factor	20	1.6e-05	0.000732	MMRN1,F10,ADAM23,WIF1,GDF5,MUC5AC,FBLN1,EGF,CXCL5,AREG,COL2A1,COMP,IL6,LTBP4,MMP28,COL11A2,CXCL14,TGM4,MMP11,SPP1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	15	3.28e-05	0.000732	AMH,MMP1,SERPINA3,SFTPA1,COL2A1,CXCL10,MMP13,BMP2,CXCL5,MUC5B,VWF,GDNF,MUC5AC,IL6,A2M
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	3.6e-05	0.000732	ADAMTS1,SPP1,WNT11,FGF2,VWF
TFCP2	transcription factor CP2	3	0.000228	0.00348	SPP1,A2M,FGA
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000323	0.00394	VWF,EREG,AREG
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	13	0.000416	0.00423	CXCL10,IL6,BMP2,SFTPA1,MUC5B,MMP1,MMP13,CXCL5,VWF,COL2A1,SERPINA3,MUC5AC,AMH
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	6	0.00094	0.00689	MMP10,PF4,MMP1,IL5,MMP13,VWF
DNMT1	DNA (cytosine-5-)-methyltransferase 1	4	0.000951	0.00689	RELN,SFRP5,BMP2,SFRP1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	8	0.00102	0.00689	FGF2,MUC5B,FGG,A2M,MMP10,IL6,MMP1,IL11
GATA4	GATA binding protein 4	3	0.00237	0.0138	AMH,FGF10,IL5
FOXQ1	forkhead box Q1	2	0.00295	0.0138	WNT3A,RSPO2
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00295	0.0138	IL5,MMP13
NKX2-1	NK2 homeobox 1	2	0.00295	0.0138	SFTPA1,SFTPB
SOX9	SRY (sex determining region Y)-box 9	3	0.00415	0.0181	AMH,COL11A2,COL2A1
HDAC5	histone deacetylase 5	2	0.0054	0.0205	SLIT2,FGF2
ZFP36	ZFP36 ring finger protein	2	0.0054	0.0205	SERPINB2,IL6
RARA	retinoic acid receptor, alpha	3	0.0059	0.0205	ANXA8,MUC5AC,SFTPB
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.00604	0.0205	SPP1,IL5,SFTPD,IL6
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00687	0.021	SFRP1,SFRP5
FOSL1	FOS-like antigen 1	2	0.00687	0.021	SFTPD,MMP1
