Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	22	3.36e-12	1.91e-10	CCL19,CXCL10,MMP9,IL1B,COL1A2,HYAL1,CXCL2,MMP12,SFTPA1,MUC5B,IL17C,MMP1,MMP13,CXCL5,COL1A1,AGT,IFNG,COL2A1,SERPINA3,IL1A,MMP3,MUC5AC
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	21	2.92e-11	8.33e-10	HYAL1,MMP3,MMP1,IL17C,SERPINA3,IFNG,SFTPA1,IL1B,COL2A1,COL1A2,CXCL10,IL1A,AGT,MMP9,MMP13,CXCL5,MUC5B,MUC5AC,COL1A1,CCL19,CXCL2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	9	2.4e-07	4.55e-06	FGFBP1,MMP10,MUC4,PF4,MMP1,MMP13,MMP3,COL1A1,MMP9
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	3.25e-06	4.63e-05	MMP9,FGFBP1,MMP7,MMP3,MMP1,NTF3,IL1A
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	10	4.52e-06	5.15e-05	MMP7,MUC5B,MMP9,FGG,IFNG,MUC4,MMP3,MMP10,MMP1,IL11
JUN	jun proto-oncogene	10	6.93e-06	6.59e-05	IL1B,MMP7,MMP9,IL24,MMP13,MMP3,IL1A,MMP12,IFNG,MMP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	5.16e-05	0.00042	MMP3,IL1B,MMP1,MMP9
SP1	Sp1 transcription factor	16	8.48e-05	0.000604	FGFBP1,MUC4,AGT,WIF1,HYAL1,MUC5AC,CXCL5,COL2A1,COMP,MMP9,MMP28,CXCL14,MMP11,SPP1,IGFBP3,COL1A1
FLI1	Friend leukemia virus integration 1	4	0.000135	0.000857	PF4,MMP1,COL1A2,IGFBP3
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.000358	0.00204	MMP9,MUC4,IFNG,IL1B,MMP13,CXCL10
EP300	E1A binding protein p300	5	4e-04	0.00207	IFNG,IGFBP3,IGF1,MMP9,COL1A2
HDAC1	histone deacetylase 1	5	0.00119	0.00566	MMP9,IGFBP3,SPP1,MMP28,COL1A2
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00181	0.00689	COL1A2,COL11A1
ETV4	ets variant 4	3	0.00181	0.00689	MUC4,MMP7,MMP1
FOXQ1	forkhead box Q1	2	0.00181	0.00689	WNT3A,RSPO2
SIRT1	sirtuin 1	4	0.00201	0.00716	IL1B,COL10A1,COL1A2,MMP9
IRF1	interferon regulatory factor 1	4	0.00252	0.00718	CXCL10,IFNG,SLPI,MMP9
NCOA3	nuclear receptor coactivator 3	2	0.00252	0.00718	MMP10,MMP7
NCOR1	nuclear receptor corepressor 1	2	0.00252	0.00718	IGF1,IGFBP3
TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	2	0.00252	0.00718	MUC4,IFNG
RARA	retinoic acid receptor, alpha	3	0.00296	0.00792	FGFBP1,ANXA8,MUC5AC
HDAC2	histone deacetylase 2	3	0.00331	0.00792	MUC5AC,COL1A2,IGF1
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00333	0.00792	MMP9,MMP1
STAT5B	signal transducer and activator of transcription 5B	2	0.00333	0.00792	IGF1,IFNG
YY1	YY1 transcription factor	5	0.00356	0.00811	IL1B,COL1A2,MUC4,IFNG,POSTN
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00425	0.00898	IGFBP3,SFRP5
ZNF148	zinc finger protein 148	2	0.00425	0.00898	CXCL5,MMP3
CIITA	class II, major histocompatibility complex, transactivator	3	0.00492	0.01	COL1A1,MMP9,COL1A2
NFIL3	nuclear factor, interleukin 3 regulated	2	0.00528	0.0102	IFNG,IL1B
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3	0.00538	0.0102	MMP1,MMP3,MMP9
MSC	musculin	2	0.00641	0.0118	IFNG,LTA
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.0075	0.0134	COL1A2,EGLN3,COL1A1
KLF5	Kruppel-like factor 5 (intestinal)	2	0.00895	0.0155	MMP9,FGFBP1
SNAI2	snail homolog 2 (Drosophila)	2	0.0104	0.0174	MMP17,MMP9
RFX5	regulatory factor X, 5 (influences HLA class II expression)	2	0.0169	0.0276	IFNG,COL1A2
CREB1	cAMP responsive element binding protein 1	4	0.0184	0.0289	BDNF,IFNG,MUC5AC,MUC4
RUNX2	runt-related transcription factor 2	2	0.0188	0.0289	MMP13,IHH
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	3	0.0296	0.0444	IL1B,MMP1,IL24
USF1	upstream transcription factor 1	3	0.0363	0.053	AGT,PF4,IFNG
PPARG	peroxisome proliferator-activated receptor gamma	3	0.0377	0.053	ANGPTL4,MMP9,MMP1
SP3	Sp3 transcription factor	4	0.0381	0.053	IGFBP3,COL1A1,COL2A1,MUC4
LEF1	lymphoid enhancer-binding factor 1	2	0.0415	0.0563	MMP7,EDA
YBX1	Y box binding protein 1	2	0.0441	0.0585	MMP13,AGT
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0453	0.0586	MUC4,MMP9,COL1A1
SMAD3	SMAD family member 3	2	0.0468	0.0593	ANGPTL4,MMP9
E2F1	E2F transcription factor 1	4	0.0637	0.0767	IL1B,MUC4,TNFSF11,PCSK6
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0642	0.0767	COL1A1,COL1A2
GATA3	GATA binding protein 3	2	0.0673	0.0767	IFNG,MMP1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.0673	0.0767	SPP1,MUC4
POU2F1	POU class 2 homeobox 1	2	0.0673	0.0767	LGALS4,SPP1
PPARA	peroxisome proliferator-activated receptor alpha	2	0.0704	0.0787	ANGPTL4,MMP9
EGR1	early growth response 1	3	0.0759	0.0832	IFNG,HYAL1,LTB
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	2	0.111	0.12	SPP1,IGF1
GATA1	GATA binding protein 1 (globin transcription factor 1)	2	0.133	0.138	PF4,IFNG
WT1	Wilms tumor 1	2	0.133	0.138	IGF1,CX3CL1
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	2	0.153	0.155	IL1B,CTSK
TP53	tumor protein p53	2	0.55	0.55	MMP1,IGFBP3
