Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	25	2.43e-14	1.06e-12	IFNB1,CXCL10,COL1A2,MMP14,BMP2,HYAL1,PLAU,CCL2,MMP12,TNC,TIMP1,SFTPA1,MUC5B,SERPINE1,MMP1,MMP13,CXCL5,COL1A1,VWF,CCL13,COL2A1,MMP3,MUC5AC,AMH,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	2.83e-14	1.06e-12	HYAL1,MMP3,AMH,MMP1,SFTPA1,TNC,TIMP1,COL2A1,COL1A2,COL7A1,PLAU,CXCL10,MMP13,BMP2,CXCL5,MUC5B,CCL13,VWF,GDNF,MUC5AC,SERPINE1,MMP14,COL1A1,IFNB1,CCL2
SP1	Sp1 transcription factor	25	4.63e-10	1.16e-08	FGFBP1,WIF1,GDF5,COL7A1,CCL2,HYAL1,TNC,MUC5AC,CXCL5,AREG,PLAU,COL2A1,COMP,SERPINE1,TIMP1,CXCL14,TGFA,MMP11,PLAT,MMP14,SPP1,IGFBP3,COL1A1,IGFBP1,PTN
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	11	2.38e-09	4.47e-08	FGFBP1,F13A1,PF4,MMP1,PLAU,MMP13,MMP3,VWF,IGFBP1,TNC,COL1A1
JUN	jun proto-oncogene	12	2.3e-07	3.45e-06	MMP7,PLAT,CCL2,MMP13,MMP3,MMP12,IBSP,PTN,TNC,PLAU,IFNB1,MMP1
RUNX2	runt-related transcription factor 2	4	6.62e-05	0.000828	IBSP,MMP13,IHH,PLAU
FLI1	Friend leukemia virus integration 1	4	0.000173	0.00157	PF4,MMP1,COL1A2,IGFBP3
EPAS1	endothelial PAS domain protein 1	3	0.000189	0.00157	SERPINE1,COL10A1,MMP14
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000189	0.00157	VWF,EREG,AREG
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	8	0.000307	0.0023	MMP7,TIMP1,MUC5B,MMP3,MMP1,MMP14,IL11,CCL2
SP3	Sp3 transcription factor	7	0.000412	0.00281	IGFBP3,TIMP1,GDF5,IGFBP1,COL1A1,PLAT,COL2A1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.000544	0.00336	MMP1,VWF,MMP3,TNC
FOS	FBJ murine osteosarcoma viral oncogene homolog	5	0.000582	0.00336	FGFBP1,MMP7,MMP3,MMP1,PLAU
IRF3	interferon regulatory factor 3	3	0.000685	0.00367	CXCL10,CCL2,IFNB1
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	4	0.000771	0.00385	S100P,PLAU,CCL2,IGFBP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.000859	0.00403	COL1A2,CCL26,EGLN3,COL1A1
POU2F1	POU class 2 homeobox 1	4	0.00106	0.00466	VWF,PLAU,LGALS4,SPP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00141	0.00586	MMP3,IFNB1,MMP1
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00206	0.00743	COL1A2,COL11A1
