Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	15	2.62e-06	8.06e-05	IFNB1,CCL19,CXCL10,MMP9,HYAL1,CCL20,MMP12,FGF8,IL17C,MMP1,COL1A1,VWF,AGT,MUC5AC,AMH
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	15	2.84e-06	8.06e-05	HYAL1,AMH,MMP1,IL17C,CXCL10,AGT,MMP9,CCL20,VWF,MUC5AC,FGF8,COL1A1,CCL19,IFNB1,A2M
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	8	3.84e-06	8.06e-05	MUC4,PF4,MMP1,PRL,CTGF,VWF,COL1A1,MMP9
JUN	jun proto-oncogene	10	1e-05	0.00014	DCN,MMP7,MMP9,CTGF,MMP12,PTN,MGP,ELN,IFNB1,MMP1
SP1	Sp1 transcription factor	18	1.11e-05	0.00014	MUC4,MMRN1,F10,AGT,HYAL1,MUC5AC,FBLN1,CTGF,MMP9,COL11A2,CXCL14,TIMP3,TGM4,IGF2,SPP1,IGFBP3,COL1A1,PTN
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	1.35e-05	0.000141	ADAMTS1,SPP1,WNT11,FGF2,VWF
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	4.39e-05	0.000395	MMP7,FGF2,MMP9,CTGF,FGG,A2M,FGL1,MUC4,MMP1
HDAC5	histone deacetylase 5	3	8.38e-05	0.00066	IGF2,SLIT2,FGF2
TFCP2	transcription factor CP2	3	0.000125	0.000873	SPP1,A2M,FGA
FLI1	Friend leukemia virus integration 1	4	0.000159	0.001	PF4,MMP1,IGFBP3,CTGF
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00132	0.00746	IFNB1,MMP1,MMP9
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	4	0.00142	0.00746	IGFBP3,AMH,PRL,CST5
ETV4	ets variant 4	3	0.00204	0.00945	MUC4,MMP7,MMP1
SP3	Sp3 transcription factor	6	0.0021	0.00945	FBLN1,IGFBP3,TGM4,COL1A1,COL11A2,MUC4
POU5F1	POU class 5 homeobox 1	3	0.00264	0.0111	SPP1,LEFTY1,TDGF1
IRF1	interferon regulatory factor 1	4	0.00292	0.0112	CXCL10,IFNB1,OGN,MMP9
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.00301	0.0112	FGF2,IFNB1,MMP9,MUC4,CXCL10
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00362	0.0126	MMP9,MMP1
WT1	Wilms tumor 1	4	0.00438	0.0126	CTGF,CX3CL1,IGF2,AMH
LEF1	lymphoid enhancer-binding factor 1	3	0.00457	0.0126	MMP7,CCL7,PRL
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00462	0.0126	IGFBP3,SFRP1
EGR2	early growth response 2	2	0.00462	0.0126	IGF2,LIF
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.00462	0.0126	MMP9,TIMP3
CIITA	class II, major histocompatibility complex, transactivator	3	0.00552	0.0145	COL1A1,S100A4,MMP9
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3	0.00604	0.0152	MMP1,VWF,MMP9
PITX2	paired-like homeodomain 2	2	0.00694	0.0168	PRL,FGF16
IRF7	interferon regulatory factor 7	2	0.00827	0.0189	IFNB1,CXCL10
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.00841	0.0189	CCL26,EGLN3,COL1A1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.00907	0.0197	COL1A1,CTSG,CLEC4G
HDAC1	histone deacetylase 1	4	0.0095	0.0198	MMP9,IGFBP3,SPP1,SFRP1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.00977	0.0198	SPP1,MUC4,S100P
EZH2	enhancer of zeste homolog 2 (Drosophila)	3	0.0112	0.0221	ADAMTS1,SFRP1,PRL
ING4	inhibitor of growth family, member 4	2	0.0129	0.0231	ANGPT1,SPP1
IRF3	interferon regulatory factor 3	2	0.0129	0.0231	CXCL10,IFNB1
PTTG1	pituitary tumor-transforming 1	2	0.0129	0.0231	S100A4,FGF2
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	2	0.0164	0.0287	CCL20,PRL
FOXA2	forkhead box A2	2	0.0183	0.0312	TPO,MMP7
GATA4	GATA binding protein 4	2	0.0203	0.0328	AMH,FGF10
GLI1	GLI family zinc finger 1	2	0.0203	0.0328	MUC5AC,SFRP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	3	0.0216	0.034	SPP1,PRL,IGF2
ELK1	ELK1, member of ETS oncogene family	2	0.0224	0.0344	WISP2,MUC4
NR5A1	nuclear receptor subfamily 5, group A, member 1	2	0.0268	0.0402	AMH,INSL3
EP300	E1A binding protein p300	3	0.0276	0.0404	S100A4,IGFBP3,MMP9
FOS	FBJ murine osteosarcoma viral oncogene homolog	3	0.0288	0.0408	MMP9,MMP7,MMP1
SOX9	SRY (sex determining region Y)-box 9	2	0.0292	0.0408	AMH,COL11A2
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0392	0.0537	VWF,COL1A1
USF1	upstream transcription factor 1	3	0.0403	0.054	TGFB2,AGT,PF4
RUNX3	runt-related transcription factor 3	2	0.0475	0.0624	MMP9,CLEC4G
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0501	0.0636	MUC4,MMP9,COL1A1
DNMT1	DNA (cytosine-5-)-methyltransferase 1	2	0.0504	0.0636	TIMP3,SFRP1
ATF2	activating transcription factor 2	2	0.0534	0.066	TGFB2,IFNB1
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0626	0.0759	SRPX,MMP1
POU2F1	POU class 2 homeobox 1	2	0.0724	0.0851	VWF,SPP1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3	0.073	0.0851	FGF2,EGLN3,CTGF
EGR1	early growth response 1	3	0.0836	0.0958	HYAL1,FGF2,IGF2
CREB1	cAMP responsive element binding protein 1	3	0.0881	0.0991	MUC5AC,MUC4,PRL
YY1	YY1 transcription factor	3	0.0903	0.0998	VWF,MUC4,IFNB1
USF2	upstream transcription factor 2, c-fos interacting	2	0.104	0.113	PF4,TGFB2
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	2	0.155	0.165	MMP1,PRL
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	2	0.163	0.171	CTSG,CLEC4G
PPARG	peroxisome proliferator-activated receptor gamma	2	0.18	0.186	MMP9,MMP1
TP53	tumor protein p53	3	0.299	0.304	MMP1,FGF2,IGFBP3
E2F1	E2F transcription factor 1	2	0.465	0.465	MUC4,TNFSF11
