Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	28	1.47e-14	1.38e-12	HYAL1,MMP3,SDC1,MMP1,IL17C,TNC,COL1A2,PLAU,VEGFA,CCL3,IL1A,AGT,MMP9,S100A6,MMP13,BMP2,VWF,GDNF,MUC6,MUC5AC,IL6,MMP14,CCL4,CXCL1,COL1A1,A2M,CXCL2,TNFSF10
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	27	9.2e-14	4.33e-12	CCL4,MMP9,IL6,VEGFA,COL1A2,MMP14,BMP2,HYAL1,TNFSF10,PLAU,CXCL2,MMP12,TNC,CCL3,SDC1,IL17C,MMP1,MMP13,COL1A1,VWF,AGT,IL1A,MMP3,MUC5AC,S100A6,MUC6,CXCL1
SP1	Sp1 transcription factor	28	6.14e-10	1.92e-08	FGFBP1,MMRN1,F10,AGT,WIF1,GDF5,HYAL1,TNC,MUC5AC,TNFSF10,AREG,VEGFA,PLAU,COMP,IL6,CXCL1,MMP9,CXCL14,TGFA,MUC6,TGM4,MMP11,PLAT,MMP14,SPP1,IGFBP3,COL1A1,LEP
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	12	2.13e-09	4.99e-08	FGFBP1,MMP10,PF4,MMP1,PLAU,IL5,MMP13,MMP3,VWF,TNC,COL1A1,MMP9
JUN	jun proto-oncogene	14	5.54e-08	1.04e-06	PLAT,MMP9,MMP13,MMP3,IL1A,MMP12,IBSP,CSTA,TNC,PLAU,ELN,VEGFA,IL6,MMP1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	13	2.26e-07	3.54e-06	FGF2,LEP,MMP9,FGG,SHH,VEGFA,A2M,MMP3,MMP10,IL6,MMP1,MMP14,IL11
EGR1	early growth response 1	10	7.86e-07	1.06e-05	TNFSF10,MMP14,GDF15,HYAL1,VEGFA,FGF2,WNT4,PLAU,IL6,GDNF
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	7.03e-06	6.73e-05	MMP1,VWF,MMP3,MMP9,IL5,TNC
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	5	7.16e-06	6.73e-05	TNFSF10,MMP3,S100A6,MMP1,MMP9
RUNX2	runt-related transcription factor 2	5	7.16e-06	6.73e-05	IBSP,MMP13,IHH,VEGFA,PLAU
HOXB7	homeobox B7	4	9.68e-06	7.36e-05	PDGFA,THBS2,FGF2,VEGFA
NFIL3	nuclear factor, interleukin 3 regulated	4	9.68e-06	7.36e-05	VWF,EREG,TNFSF10,AREG
JUND	jun D proto-oncogene	6	1.02e-05	7.36e-05	IL6,PLAT,FGFBP1,CSTA,IL5,SFTPD
EP300	E1A binding protein p300	7	1.95e-05	0.000131	VEGFA,IL5,IGFBP3,LAMA3,MMP9,IL6,COL1A2
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	2.2e-05	0.000138	MMP9,FGFBP1,CSTA,MMP3,MMP1,IL1A,PLAU
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	4.51e-05	0.000249	ADAMTS1,SPP1,WNT11,FGF2,VWF
HDAC2	histone deacetylase 2	5	4.51e-05	0.000249	TNFSF10,MUC5AC,COL1A2,BMP7,VEGFA
FOXQ1	forkhead box Q1	3	6.45e-05	0.000337	WNT3A,RSPO2,VEGFA
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	3	0.000177	0.000874	MMP9,MMP14,MMP1
POU2F1	POU class 2 homeobox 1	5	0.000245	0.00112	IL5,VWF,PLAU,LGALS4,SPP1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	0.000262	0.00112	IGFBP3,SFRP1,SFRP5
TFCP2	transcription factor CP2	3	0.000262	0.00112	SPP1,A2M,FGA
EPAS1	endothelial PAS domain protein 1	3	0.00037	0.00151	COL10A1,VEGFA,MMP14
FLI1	Friend leukemia virus integration 1	4	0.000415	0.00163	PF4,MMP1,COL1A2,IGFBP3
RARA	retinoic acid receptor, alpha	4	0.00057	0.00214	FGFBP1,ANXA8,PLAU,MUC5AC
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.000978	0.00353	SPP1,IL5,SFTPD,LEP,IL6
DNMT1	DNA (cytosine-5-)-methyltransferase 1	4	0.00113	0.0038	SFRP5,BMP2,SFRP1,VEGFA
SMAD3	SMAD family member 3	4	0.00113	0.0038	VEGFA,TNC,ANGPTL4,MMP9
SP3	Sp3 transcription factor	7	0.00158	0.00512	IGFBP3,GDF5,TGM4,COL1A1,PLAT,MUC6,VEGFA
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	5	0.00204	0.00639	GDF15,MMP1,IL6,IL5,SFTPD
KLF4	Kruppel-like factor 4 (gut)	4	0.00296	0.00897	VEGFA,IL6,LAMA3,GDF15
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00323	0.0092	COL1A2,COL11A1
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00323	0.0092	IL5,MMP13
HDAC1	histone deacetylase 1	5	0.00425	0.0118	MMP9,IGFBP3,SPP1,SFRP1,COL1A2
FOXO1	forkhead box O1	3	0.00535	0.0135	TNFSF10,IL6,PDGFA
HDAC4	histone deacetylase 4	3	0.00535	0.0135	MMP13,VEGFA,IL5
POU5F1	POU class 5 homeobox 1	3	0.00535	0.0135	SPP1,LEFTY1,SEMA6A
HDAC5	histone deacetylase 5	2	0.00591	0.0135	SLIT2,FGF2
KLF8	Kruppel-like factor 8	2	0.00591	0.0135	MMP14,MMP9
ZFP36	ZFP36 ring finger protein	2	0.00591	0.0135	VEGFA,IL6
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.00601	0.0135	MMP14,MMP9,PLAU
TCF4	transcription factor 4	3	0.00601	0.0135	WNT4,VCAN,VEGFA
IRF1	interferon regulatory factor 1	4	0.00712	0.0156	TNFSF10,SLPI,OGN,MMP9
FOSL1	FOS-like antigen 1	2	0.00753	0.0157	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00753	0.0157	PLAU,VWF
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	5	0.00821	0.0168	VEGFA,FGF2,PLAU,EGLN3,LEP
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.00862	0.0172	FGF2,MMP9,IL6,MMP13,CCL3
POU2F2	POU class 2 homeobox 2	2	0.00932	0.0179	IL5,SPP1
TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	2	0.00932	0.0179	CSTA,ECM1
BRCA1	breast cancer 1, early onset	4	0.0105	0.0197	AREG,S100A2,CXCL1,VEGFA
CIITA	class II, major histocompatibility complex, transactivator	3	0.011	0.0203	COL1A1,MMP9,COL1A2
CREB1	cAMP responsive element binding protein 1	5	0.0114	0.0206	PLAT,MUC5AC,IBSP,IL6,PLAU
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.0153	0.0272	IL6,PLAU,VEGFA
KLF5	Kruppel-like factor 5 (intestinal)	2	0.0157	0.0273	MMP9,FGFBP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.0165	0.0283	COL1A2,EGLN3,COL1A1
PPARG	peroxisome proliferator-activated receptor gamma	4	0.0172	0.029	GDF15,ANGPTL4,MMP9,MMP1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.0178	0.0294	COL1A1,COL1A2,CTSG
SNAI2	snail homolog 2 (Drosophila)	2	0.0181	0.0294	MMP17,MMP9
GATA3	GATA binding protein 3	3	0.0191	0.0304	IL5,MMP1,CXCL1
PPARA	peroxisome proliferator-activated receptor alpha	3	0.0205	0.0304	IL6,ANGPTL4,MMP9
FOSL2	FOS-like antigen 2	2	0.0207	0.0304	IBSP,IL5
ING4	inhibitor of growth family, member 4	2	0.0207	0.0304	ANGPT1,SPP1
PTTG1	pituitary tumor-transforming 1	2	0.0207	0.0304	VEGFA,FGF2
TBP	TATA box binding protein	2	0.0207	0.0304	IL6,PPBP
RUNX1	runt-related transcription factor 1	3	0.0219	0.0313	CCL3,VEGFA,PF4
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	4	0.022	0.0313	VEGFA,MMP9,ECM1,COL1A1
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	3	0.0249	0.035	IL6,IGFBP3,CST5
ESR1	estrogen receptor 1	4	0.0274	0.0378	F12,MMP13,VEGFA,TGFA
FOXO3	forkhead box O3	2	0.0293	0.0399	VEGFA,TNFSF10
ESR2	estrogen receptor 2 (ER beta)	2	0.0324	0.0417	TGFA,VEGFA
GATA4	GATA binding protein 4	2	0.0324	0.0417	FGF10,IL5
GLI1	GLI family zinc finger 1	2	0.0324	0.0417	MUC5AC,SFRP1
XBP1	X-box binding protein 1	2	0.0324	0.0417	VEGFA,IL6
SIRT1	sirtuin 1	3	0.0352	0.0447	COL10A1,COL1A2,MMP9
TP53	tumor protein p53	6	0.0374	0.0469	GDF15,MMP1,VEGFA,VCAN,FGF2,IGFBP3
ETV4	ets variant 4	2	0.0425	0.0519	MMP14,MMP1
SOX2	SRY (sex determining region Y)-box 2	2	0.0425	0.0519	SEMA6A,MMP3
NANOG	Nanog homeobox	2	0.0461	0.0556	GDF3,SEMA6A
YY1	YY1 transcription factor	4	0.048	0.0572	COL1A2,VWF,IL5,POSTN
CREM	cAMP responsive element modulator	2	0.0536	0.0619	PLAT,CCL4
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0536	0.0619	POSTN,GDF15
WT1	Wilms tumor 1	3	0.054	0.0619	VEGFA,PDGFA,EREG
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0615	0.0697	VWF,COL1A1
USF1	upstream transcription factor 1	3	0.074	0.081	AGT,PF4,S100A6
RUNX3	runt-related transcription factor 3	2	0.0741	0.081	WNT4,MMP9
YBX1	Y box binding protein 1	2	0.0741	0.081	MMP13,AGT
RB1	retinoblastoma 1	2	0.0784	0.0847	SFTPD,VEGFA
ATF2	activating transcription factor 2	2	0.0829	0.0885	PLAT,PLAU
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0966	0.102	GDF15,MMP1
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.121	0.126	ADAMTS1,SFRP1
AR	androgen receptor	3	0.164	0.169	IGFBP3,VEGFA,TGFA
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	3	0.19	0.194	VEGFA,SFRP1,IL6
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	2	0.238	0.241	IL5,CTSG
E2F1	E2F transcription factor 1	3	0.326	0.326	CTSV,VEGFA,CCL3
