Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	14	2.55e-08	8.23e-07	CCL19,MMP9,COL1A2,IL23A,CCL20,MMP12,TIMP1,MUC5B,MMP1,MMP13,COL1A1,AGT,COL2A1,MUC6
SP1	Sp1 transcription factor	17	3.29e-08	8.23e-07	AGT,WIF1,SERPINB5,COL2A1,COMP,TIMP1,MMP9,MUC6,MMP11,IGF2,SPP1,IGFBP3,COL1A1,LEP,IGFBP1,F7,ACAN
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	13	2.1e-07	3.5e-06	MMP1,TIMP1,COL2A1,COL1A2,AGT,MMP9,MMP13,CCL20,MUC5B,MUC6,COL1A1,CCL19,IL23A
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	8	7.06e-06	8.82e-05	TIMP1,LEP,MUC5B,PGF,MMP9,FGL1,MMP10,MMP1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	6	1.91e-05	0.000191	MMP10,MMP1,MMP13,IGFBP1,COL1A1,MMP9
HDAC1	histone deacetylase 1	5	0.000139	0.00102	MMP9,IGFBP3,SPP1,SERPINB5,COL1A2
SP3	Sp3 transcription factor	6	0.000143	0.00102	IGFBP3,TIMP1,IGFBP1,COL1A1,MUC6,COL2A1
SIRT1	sirtuin 1	4	0.00035	0.00219	ACAN,COL10A1,COL1A2,MMP9
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.000443	0.00246	SPP1,IGF1,LEP,IGF2
FLI1	Friend leukemia virus integration 1	3	0.000608	0.00264	MMP1,COL1A2,IGFBP3
JUN	jun proto-oncogene	6	0.000633	0.00264	IL23A,MMP9,MMP13,MMP12,NGF,MMP1
EP300	E1A binding protein p300	4	0.000634	0.00264	IGFBP3,IGF1,MMP9,COL1A2
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.000715	0.00275	COL1A2,COL11A1
NCOR1	nuclear receptor corepressor 1	2	0.000997	0.00356	IGF1,IGFBP3
CIITA	class II, major histocompatibility complex, transactivator	3	0.0013	0.00389	COL1A1,MMP9,COL1A2
SMAD3	SMAD family member 3	3	0.0013	0.00389	ANGPTL4,MMP9,FST
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00132	0.00389	MMP9,MMP1
EGR2	early growth response 2	2	0.00169	0.00446	IGF2,LIF
TFCP2	transcription factor CP2	2	0.00169	0.00446	SPP1,FGA
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.00186	0.00458	S100P,F7,IGFBP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.00202	0.00458	COL1A2,EGLN3,COL1A1
PPARD	peroxisome proliferator-activated receptor delta	2	0.00211	0.00458	ANGPTL4,TIMP1
SPDEF	SAM pointed domain containing ets transcription factor	2	0.00211	0.00458	SERPINB5,MMP9
PPARA	peroxisome proliferator-activated receptor alpha	3	0.00254	0.0053	ANGPTL4,MMP9,IGFBP1
SNAI2	snail homolog 2 (Drosophila)	2	0.00418	0.00837	MMP17,MMP9
ING4	inhibitor of growth family, member 4	2	0.0048	0.00924	NGF,SPP1
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	2	0.00617	0.0114	IL23A,CCL20
HDAC9	histone deacetylase 9	2	0.00691	0.0123	MMP13,IGFBP1
FOS	FBJ murine osteosarcoma viral oncogene homolog	3	0.00743	0.0128	MMP9,NGF,MMP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2	0.00768	0.0128	MMP1,MMP9
PAX5	paired box 5	2	0.00935	0.0151	MMP1,TIMP1
PPARG	peroxisome proliferator-activated receptor gamma	3	0.0111	0.0174	ANGPTL4,MMP9,MMP1
TCF4	transcription factor 4	2	0.0131	0.0199	FST,VCAN
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0135	0.0199	MMP9,COL1A1,IGFBP5
HDAC2	histone deacetylase 2	2	0.0152	0.0217	COL1A2,IGF1
RUNX3	runt-related transcription factor 3	2	0.0186	0.0251	TIMP1,MMP9
YBX1	Y box binding protein 1	2	0.0186	0.0251	MMP13,AGT
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3	0.0205	0.0264	MUC3A,EGLN3,LEP
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	2	0.021	0.0264	MMP1,MMP9
STAT1	signal transducer and activator of transcription 1, 91kDa	3	0.0211	0.0264	MMP9,TIMP1,MMP13
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0249	0.0303	TIMP1,MMP1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0276	0.0328	COL1A1,COL1A2
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.029	0.0329	SPP1,S100P
POU2F1	POU class 2 homeobox 1	2	0.029	0.0329	LGALS4,SPP1
BRCA1	breast cancer 1, early onset	2	0.0604	0.0657	FST,IGF1
WT1	Wilms tumor 1	2	0.0604	0.0657	IGF1,IGF2
E2F1	E2F transcription factor 1	3	0.0678	0.0722	SERPINB5,TNFSF11,IL23A
TP53	tumor protein p53	3	0.108	0.112	MMP1,VCAN,IGFBP3
YY1	YY1 transcription factor	2	0.133	0.136	COL1A2,POSTN
AR	androgen receptor	2	0.138	0.138	SERPINB5,IGFBP3
