Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	10	1.69e-06	2.6e-05	IL6,IL23A,HYAL1,CCL2,SDC1,MUC17,MMP1,MMP13,COL2A1,MMP3
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	10	1.8e-06	2.6e-05	HYAL1,MMP3,SDC1,MUC17,MMP1,COL2A1,MMP13,IL6,CCL2,IL23A
EGR2	early growth response 2	3	8.63e-06	8.34e-05	IGF2,LIF,IL6
JUN	jun proto-oncogene	6	7.89e-05	0.000572	IL23A,CCL2,MMP13,MMP3,IL6,MMP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.000102	0.000591	SPP1,IL6,IGF2,CCL2
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	4	0.000192	0.000929	GDF15,MMP1,IL6,IL13
SP1	Sp1 transcription factor	9	0.000415	0.00172	CCL2,HYAL1,SERPINB5,COL2A1,IL6,CXCL14,IGF2,SPP1,F7
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	5	0.000591	0.00198	MMP3,IL6,MMP1,OSM,CCL2
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.000615	0.00198	F7,IL6,CCL2
TFCP2	transcription factor CP2	2	0.000793	0.00219	SPP1,FGA
EGR1	early growth response 1	4	0.000831	0.00219	GDF15,HYAL1,IL6,IGF2
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2	0.00365	0.00814	MMP3,MMP1
XBP1	X-box binding protein 1	2	0.00365	0.00814	CCL2,IL6
HDAC1	histone deacetylase 1	3	0.00474	0.00885	SPP1,SERPINB5,SFRP1
AHR	aryl hydrocarbon receptor	2	0.00488	0.00885	IL6,IL13
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2	0.00488	0.00885	IL6,CCL2
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.00628	0.0103	POSTN,GDF15
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	3	0.00639	0.0103	MMP1,MMP13,MMP3
STAT1	signal transducer and activator of transcription 1, 91kDa	3	0.00757	0.0115	IL6,CCL2,MMP13
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	2	0.0102	0.0147	MMP1,MMP3
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0121	0.0167	GDF15,MMP1
KLF4	Kruppel-like factor 4 (gut)	2	0.0156	0.0206	IL6,GDF15
FOS	FBJ murine osteosarcoma viral oncogene homolog	2	0.0303	0.0366	MMP3,MMP1
WT1	Wilms tumor 1	2	0.0303	0.0366	NOV,IGF2
PPARG	peroxisome proliferator-activated receptor gamma	2	0.0396	0.046	GDF15,MMP1
AR	androgen receptor	2	0.0728	0.0812	SERPINB5,NOV
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2	0.0825	0.0886	SFRP1,IL6
E2F1	E2F transcription factor 1	2	0.134	0.139	SERPINB5,IL23A
TP53	tumor protein p53	2	0.184	0.184	GDF15,MMP1
