Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
SP1	Sp1 transcription factor	33	8.46e-12	8.88e-10	MMRN1,F10,WIF1,GDF5,HYAL1,TNC,TNF,MUC5AC,FBLN1,EGF,AREG,PLAU,COMP,IL6,SERPINE1,LTBP4,HGF,CXCL1,MMP9,MMP28,COL11A2,CXCL14,MUC6,TGM4,MMP11,PLAT,IGF2,SPP1,IGFBP3,COL1A1,LEP,IGFBP1,PTN
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	1.03e-10	5.39e-09	HYAL1,AMH,MMP1,SERPINA3,SFTPA1,TNC,CXCL12,CXCL8,PLAU,MMP9,MMP13,BMP2,CCL20,MUC5B,VWF,GDNF,MUC6,MUC5AC,IL6,SERPINE1,TNF,CCL4,CXCL1,COL1A1,A2M
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	24	4.95e-10	1.73e-08	CCL4,MMP9,IL6,CXCL8,CXCL12,BMP2,HYAL1,CCL20,PLAU,MMP12,TNC,SFTPA1,MUC5B,SERPINE1,MMP1,TNF,MMP13,COL1A1,VWF,SERPINA3,MUC5AC,AMH,MUC6,CXCL1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	13	8.67e-10	2.28e-08	MMP10,F13A1,PF4,MMP1,PLAU,IL5,MMP13,VWF,IGFBP1,TNC,BMP4,COL1A1,MMP9
JUN	jun proto-oncogene	16	6.3e-09	1.32e-07	DCN,MMP7,PLAT,MMP9,CXCL8,MMP13,MMP12,PTN,TNC,PLAU,MGP,ELN,MMP20,TNF,IL6,MMP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	9	1.91e-07	3.35e-06	SPP1,S100A9,IL5,SFTPD,LEP,ELANE,IL6,IGF2,SERPINC1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	13	1.08e-06	1.62e-05	MMP7,HGF,FGF2,LEP,MUC5B,MMP9,A2M,FGL1,MMP10,IL6,MMP1,IL11,CXCL8
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	8	8.31e-06	0.000109	GDF15,CXCL8,MMP1,IL6,IL5,TNF,S100A9,SFTPD
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	1.54e-05	0.00018	MMP1,CXCL8,VWF,MMP9,IL5,TNC
EGR1	early growth response 1	9	2.06e-05	0.000216	GDF15,TNF,HYAL1,FGF2,PLAU,CXCL8,IL6,GDNF,IGF2
SP3	Sp3 transcription factor	10	2.57e-05	0.000246	FBLN1,IGFBP3,HGF,GDF5,TGM4,IGFBP1,COL1A1,PLAT,MUC6,COL11A2
EP300	E1A binding protein p300	7	4.72e-05	0.000413	IL5,S100A4,IGFBP3,LAMA3,MMP9,CXCL8,IL6
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	8.68e-05	0.000701	SPP1,WNT11,FGF2,VWF,CXCL8
SMAD3	SMAD family member 3	5	0.000173	0.00129	LTBP4,SERPINE1,TNC,ANGPTL4,MMP9
HDAC5	histone deacetylase 5	3	0.000266	0.00168	IGF2,SLIT2,FGF2
ZFP36	ZFP36 ring finger protein	3	0.000266	0.00168	SERPINB2,IL6,CXCL8
RUNX2	runt-related transcription factor 2	4	0.000273	0.00168	MMP13,IHH,ELANE,PLAU
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	0.000394	0.0023	IGFBP3,SFRP1,SFRP5
PPARA	peroxisome proliferator-activated receptor alpha	5	0.000523	0.00289	SERPINE1,IL6,ANGPTL4,MMP9,IGFBP1
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000555	0.00291	VWF,EREG,AREG
POU5F1	POU class 5 homeobox 1	4	0.000699	0.00349	SPP1,SEMA6A,BMP4,TDGF1
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	5	0.00074	0.00353	IL6,IGFBP3,AMH,CXCL8,CST5
RARA	retinoic acid receptor, alpha	4	0.000957	0.00437	ANXA8,PLAU,MUC5AC,SFTPB
HDAC1	histone deacetylase 1	6	0.00139	0.00609	MMP9,IGFBP3,SPP1,CXCL8,SFRP1,MMP28
SNAI2	snail homolog 2 (Drosophila)	3	0.0016	0.00672	MMP17,MMP9,CXCL12
ING4	inhibitor of growth family, member 4	3	0.00197	0.00797	CXCL8,ANGPT1,SPP1
JUND	jun D proto-oncogene	4	0.00266	0.00944	IL6,PLAT,IL5,SFTPD
ELF4	E74-like factor 4 (ets domain transcription factor)	2	0.00286	0.00944	MMP9,CXCL8
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00286	0.00944	MMP1,CXCL8
ZNF300	zinc finger protein 300	2	0.00286	0.00944	CXCL8,IL6
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	3	0.00288	0.00944	TNF,CCL20,CXCL1
FOS	FBJ murine osteosarcoma viral oncogene homolog	5	0.00295	0.00944	MMP9,MMP7,MMP1,CXCL8,PLAU
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	4	0.00297	0.00944	CXCL8,IL6,PLAU,IGFBP1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	6	0.00309	0.00954	CXCL12,FGF2,SERPINE1,PLAU,MUC3A,LEP
FOXA2	forkhead box A2	3	0.00341	0.0101	TPO,SERPINC1,MMP7
GATA4	GATA binding protein 4	3	0.004	0.0101	AMH,FGF10,IL5
GLI1	GLI family zinc finger 1	3	0.004	0.0101	MUC5AC,SFRP1,S100A9
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.004	0.0101	MMP1,CXCL8,MMP9
POU2F1	POU class 2 homeobox 1	4	0.00402	0.0101	IL5,VWF,PLAU,SPP1
FOXP2	forkhead box P2	2	0.00424	0.0101	SRPX,SRPX2
FOXQ1	forkhead box Q1	2	0.00424	0.0101	WNT3A,RSPO2
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	2	0.00424	0.0101	CXCL8,MMP9
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00424	0.0101	IL5,MMP13
NKX2-1	NK2 homeobox 1	2	0.00424	0.0101	SFTPA1,SFTPB
PPARG	peroxisome proliferator-activated receptor gamma	5	0.00556	0.013	SERPINE1,GDF15,ANGPTL4,MMP9,MMP1
NCOA3	nuclear receptor coactivator 3	2	0.00587	0.0134	MMP10,MMP7
ETV4	ets variant 4	3	0.00611	0.0137	MMP7,MMP1,TNF
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00773	0.0168	MMP9,MMP1
FLI1	Friend leukemia virus integration 1	3	0.00783	0.0168	PF4,MMP1,IGFBP3
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.00879	0.0185	MMP9,SERPINE1,PLAU
EGR2	early growth response 2	2	0.00983	0.0191	IGF2,IL6
FOSL1	FOS-like antigen 1	2	0.00983	0.0191	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00983	0.0191	PLAU,VWF
TFCP2	transcription factor CP2	2	0.00983	0.0191	SPP1,A2M
ESR1	estrogen receptor 1	5	0.01	0.0191	F12,AMH,MMP13,CXCL12,SERPINE1
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.0109	0.0204	HGF,VWF,COL1A1
EPAS1	endothelial PAS domain protein 1	2	0.0121	0.0216	SERPINE1,COL10A1
HOXB7	homeobox B7	2	0.0121	0.0216	THBS2,FGF2
POU2F2	POU class 2 homeobox 2	2	0.0121	0.0216	IL5,SPP1
LEF1	lymphoid enhancer-binding factor 1	3	0.0133	0.0232	MMP7,CCL7,ELANE
CIITA	class II, major histocompatibility complex, transactivator	3	0.0159	0.027	COL1A1,S100A4,MMP9
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.0159	0.027	SFRP5,BMP2,SFRP1
WT1	Wilms tumor 1	4	0.0167	0.0278	THBS1,IGF2,AMH,EREG
ATF2	activating transcription factor 2	3	0.0174	0.0285	PLAT,PLAU,TNF
CREB1	cAMP responsive element binding protein 1	5	0.0196	0.0317	BDNF,PLAT,MUC5AC,IL6,PLAU
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	4	0.022	0.0346	IL5,ELANE,CTSG,TNF
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.0221	0.0346	GDF15,SRPX,MMP1
NF1	neurofibromin 1	2	0.0235	0.0362	SFTPB,PLAT
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.0238	0.0362	CXCL8,CCL17,COL1A1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.0255	0.038	ELANE,COL1A1,CTSG
HOXA10	homeobox A10	2	0.0268	0.038	IGFBP1,IL11
NR4A1	nuclear receptor subfamily 4, group A, member 1	2	0.0268	0.038	SERPINE1,TNF
PTTG1	pituitary tumor-transforming 1	2	0.0268	0.038	S100A4,FGF2
TBP	TATA box binding protein	2	0.0268	0.038	IL6,PPBP
GATA3	GATA binding protein 3	3	0.0274	0.0383	IL5,MMP1,CXCL1
E2F1	E2F transcription factor 1	6	0.0286	0.0395	TNF,THBS1,SERPINE1,CTSV,TNFSF11,NELL2
KLF4	Kruppel-like factor 4 (gut)	3	0.0313	0.0427	IL6,LAMA3,GDF15
