Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	24	2.3e-10	1.12e-08	CXCL10,MMP9,IL12A,CXCL12,COL1A2,IL12B,IL4,HYAL1,CCL20,PLAU,MMP12,TNC,CSF2,SFTPA1,MUC5B,MUC17,MMP1,COL1A1,VWF,SERPINA3,MUC5AC,IFNA1,MUC6,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	24	2.64e-10	1.12e-08	HYAL1,MUC17,MMP1,SERPINA3,SFTPA1,TNC,IFNA1,CXCL12,COL1A2,PLAU,CXCL10,MMP9,CCL20,CSF2,MUC5B,VWF,MUC6,IL12B,MUC5AC,IL12A,CXCL1,COL1A1,IL4,A2M
SP1	Sp1 transcription factor	27	2.4e-08	6.8e-07	MUC4,MMRN1,F10,ADAM23,WIF1,HYAL1,TNC,SERPINB5,MUC5AC,FBLN1,EGF,PLAU,COMP,LTBP4,HGF,CXCL1,MMP9,MMP28,TGFA,MUC6,TIMP3,TGM4,MMP11,IGF2,SPP1,COL1A1,F7
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	7.1e-07	1.51e-05	CSF2,MUC4,PF4,MMP1,PLAU,VWF,TNC,BMP4,COL1A1,MMP9
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	1.25e-05	0.000212	MMP1,VWF,IL12B,CSF2,MMP9,TNC
IRF1	interferon regulatory factor 1	7	1.99e-05	0.000283	CXCL10,IL12B,SLPI,OGN,IFNA1,MMP9,IL12A
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	2.52e-05	0.000306	HGF,FGF2,MUC5B,MMP9,SHH,A2M,FGL1,MUC4,MMP1,OSM,IL11
JUN	jun proto-oncogene	11	3.94e-05	0.000419	DCN,IL12A,MMP9,CSF2,IL12B,MMP12,TNC,PLAU,MGP,ELN,MMP1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	7.27e-05	0.000686	ADAMTS1,SPP1,WNT11,FGF2,VWF
SMAD3	SMAD family member 3	5	0.000145	0.00123	LTBP4,FSTL3,TNC,ANGPTL4,MMP9
HDAC1	histone deacetylase 1	7	0.000173	0.00133	MMP9,SPP1,RELN,SERPINB5,SFRP1,MMP28,COL1A2
GLI1	GLI family zinc finger 1	4	0.000236	0.00156	MUC5AC,S100A7,SFRP1,S100A9
HDAC5	histone deacetylase 5	3	0.000238	0.00156	IGF2,SLIT2,FGF2
POU2F1	POU class 2 homeobox 1	5	0.000389	0.00236	VWF,PLAU,IL4,LGALS4,SPP1
POU5F1	POU class 5 homeobox 1	4	0.000607	0.00344	SPP1,SEMA6A,BMP4,TDGF1
RARA	retinoic acid receptor, alpha	4	0.000832	0.00442	ANXA8,PLAU,MUC5AC,SFTPB
CIITA	class II, major histocompatibility complex, transactivator	4	0.00164	0.00774	COL1A1,MMP9,IL4,COL1A2
DNMT1	DNA (cytosine-5-)-methyltransferase 1	4	0.00164	0.00774	TIMP3,RELN,SFRP5,SFRP1
GATA3	GATA binding protein 3	4	0.00351	0.0152	LOX,IL4,MMP1,CXCL1
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00394	0.0152	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00394	0.0152	WNT3A,RSPO2
NKX2-1	NK2 homeobox 1	2	0.00394	0.0152	SFTPA1,SFTPB
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	5	0.00648	0.0235	HGF,MUC4,MMP9,COL1A1,IGFBP5
FLI1	Friend leukemia virus integration 1	3	0.00707	0.0235	PF4,MMP1,COL1A2
FOXF2	forkhead box F2	2	0.00719	0.0235	CXCL12,PDGFA
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00719	0.0235	MMP9,MMP1
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.00793	0.0243	MMP9,PLG,PLAU
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00914	0.0243	SFRP1,SFRP5
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.00914	0.0243	MMP9,TIMP3
FOSL1	FOS-like antigen 1	2	0.00914	0.0243	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00914	0.0243	PLAU,VWF
TFCP2	transcription factor CP2	2	0.00914	0.0243	SPP1,A2M
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00985	0.0251	HGF,VWF,COL1A1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.0101	0.0251	SPP1,S100A9,SFTPD,IGF2
HOXB7	homeobox B7	2	0.0113	0.0255	PDGFA,FGF2
NFIL3	nuclear factor, interleukin 3 regulated	2	0.0113	0.0255	VWF,EREG
SPDEF	SAM pointed domain containing ets transcription factor	2	0.0113	0.0255	SERPINB5,MMP9
SP3	Sp3 transcription factor	6	0.0114	0.0255	FBLN1,HGF,TGM4,COL1A1,MUC6,MUC4
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.0129	0.0282	FGF2,MMP9,MUC4,IFNA1,CXCL10
EP300	E1A binding protein p300	4	0.0139	0.0295	IL12B,LAMA3,MMP9,COL1A2
FOS	FBJ murine osteosarcoma viral oncogene homolog	4	0.0147	0.0305	MMP9,MMP1,NTF3,PLAU
IRF7	interferon regulatory factor 7	2	0.0162	0.0328	IFNA1,CXCL10
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	4	0.0175	0.0346	IL4,MMP1,S100A9,SFTPD
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.02	0.0386	S100P,F7,PLAU
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.0216	0.0404	COL1A2,IL4,COL1A1
SNAI2	snail homolog 2 (Drosophila)	2	0.0219	0.0404	MMP9,CXCL12
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.0232	0.0416	COL1A1,COL1A2,CTSG
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.0249	0.0416	SPP1,MUC4,S100P
ING4	inhibitor of growth family, member 4	2	0.025	0.0416	ANGPT1,SPP1
IRF3	interferon regulatory factor 3	2	0.025	0.0416	CXCL10,IFNA1
JUNB	jun B proto-oncogene	2	0.025	0.0416	SFTPD,IL4
