Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	34	3.23e-20	1.9e-18	IFNB1,CCL4,CCL19,MMP9,IL6,CXCL8,IL1B,COL1A2,MMP14,BMP2,CCL20,CCL22,PLAU,CCL2,CXCL2,MMP12,SDC1,TNFSF14,SFTPA1,MUC5B,SERPINE1,IL17C,MMP1,MMP13,CXCL5,COL1A1,VWF,CCL13,SERPINA3,IL1A,MMP3,HBEGF,COL7A1,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	34	3.99e-20	1.9e-18	MMP3,SDC1,MMP1,IL17C,SERPINA3,SFTPA1,IL1B,COL1A2,CXCL8,COL7A1,PLAU,IL1A,MMP9,MMP13,BMP2,CCL20,CXCL5,MUC5B,TNFSF14,CCL13,VWF,GDNF,IL6,SERPINE1,HBEGF,MMP14,CCL4,CCL22,CXCL1,COL1A1,CCL19,IFNB1,CXCL2,CCL2
JUN	jun proto-oncogene	15	7.17e-09	2.27e-07	IL1B,MMP7,PLAT,MMP9,CCL2,CXCL8,MMP13,MMP3,IL1A,MMP12,IBSP,PLAU,IFNB1,IL6,MMP1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	14	3e-08	7.13e-07	MMP7,FGF2,MUC5B,PGF,MMP9,FGG,FGL1,MMP3,IL6,MMP1,MMP14,IL11,CCL2,CXCL8
SP1	Sp1 transcription factor	25	5.03e-08	9.56e-07	TNFSF14,FGFBP1,WIF1,COL7A1,CCL2,PDGFB,EGF,CXCL5,AREG,PLAU,COMP,IL6,SERPINE1,HBEGF,CXCL1,MMP9,CXCL14,TGM4,MMP11,PLAT,MMP14,SPP1,IGFBP3,COL1A1,ACAN
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	6	2.48e-07	3.83e-06	MMP3,IL1B,IFNB1,MMP1,CXCL8,MMP9
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	2.82e-07	3.83e-06	FGFBP1,PF4,MMP1,PLAU,MMP13,MMP3,VWF,TNFSF14,COL1A1,MMP9
FOS	FBJ murine osteosarcoma viral oncogene homolog	8	2.02e-06	2.4e-05	MMP9,FGFBP1,MMP7,MMP3,MMP1,CXCL8,IL1A,PLAU
RUNX2	runt-related transcription factor 2	5	7.16e-06	7.56e-05	IBSP,MMP13,IHH,ELANE,PLAU
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	4.51e-05	0.000428	ADAMTS1,SPP1,FGF2,VWF,CXCL8
EGR1	early growth response 1	8	5.26e-05	0.000454	PDGFB,MMP14,LTB,FGF2,PLAU,CXCL8,IL6,GDNF
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	0.000106	0.000837	MMP1,CXCL8,VWF,MMP3,MMP9
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	5	0.000164	0.00111	CXCL8,S100P,IL6,PLAU,CCL2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	3	0.000177	0.00111	MMP9,MMP14,MMP1
ZFP36	ZFP36 ring finger protein	3	0.000177	0.00111	SERPINB2,IL6,CXCL8
EP300	E1A binding protein p300	6	0.000186	0.00111	IGFBP3,LAMA3,MMP9,CXCL8,IL6,COL1A2
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	0.000262	0.00141	IGFBP3,SFRP1,SFRP5
STAT1	signal transducer and activator of transcription 1, 91kDa	7	0.000267	0.00141	FGF2,IFNB1,MMP9,IL6,CCL2,IL1B,MMP13
EPAS1	endothelial PAS domain protein 1	3	0.00037	0.00176	SERPINE1,COL10A1,MMP14
NFIL3	nuclear factor, interleukin 3 regulated	3	0.00037	0.00176	VWF,IL1B,AREG
FLI1	Friend leukemia virus integration 1	4	0.000415	0.00188	PF4,MMP1,COL1A2,IGFBP3
SRF	serum response factor (c-fos serum response element-binding transcription factor)	4	0.000488	0.00211	MMP14,MMP9,SERPINE1,PLAU
RARA	retinoic acid receptor, alpha	4	0.00057	0.00236	FGFBP1,ANXA8,PLAU,SFTPB
HDAC1	histone deacetylase 1	6	0.000682	0.0027	MMP9,IGFBP3,SPP1,CXCL8,SFRP1,COL1A2
SIRT1	sirtuin 1	5	0.000739	0.00281	ACAN,IL1B,COL10A1,COL1A2,MMP9
SMAD3	SMAD family member 3	4	0.00113	0.00414	COL7A1,SERPINE1,FSTL3,MMP9
ING4	inhibitor of growth family, member 4	3	0.00133	0.00467	CXCL8,ANGPT1,SPP1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	6	0.00155	0.00525	FGF2,SERPINE1,HBEGF,PLAU,MUC3A,EGLN3
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.002	0.00637	CXCL8,COL1A2,EGLN3,COL1A1
ELF4	E74-like factor 4 (ets domain transcription factor)	2	0.00218	0.00637	MMP9,CXCL8
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00218	0.00637	MMP1,CXCL8
ZNF300	zinc finger protein 300	2	0.00218	0.00637	CXCL8,IL6
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4	0.00221	0.00637	ELANE,IL7,COL1A1,COL1A2
YY1	YY1 transcription factor	6	0.00247	0.00691	IL1B,COL1A2,VWF,IFNB1,CCL13,POSTN
XBP1	X-box binding protein 1	3	0.00271	0.00735	CCL2,IL6,CXCL8
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00323	0.00808	COL1A2,COL11A1
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	2	0.00323	0.00808	CXCL8,MMP9
NKX2-1	NK2 homeobox 1	2	0.00323	0.00808	SFTPA1,SFTPB
ETV4	ets variant 4	3	0.00416	0.00988	MMP14,MMP7,MMP1
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	3	0.00416	0.00988	IL6,CCL2,IL1B
KLF8	Kruppel-like factor 8	2	0.00591	0.0137	MMP14,MMP9
SMAD4	SMAD family member 4	3	0.00672	0.0146	COL7A1,FSTL3,SERPINE1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.00712	0.0146	SPP1,ELANE,IL6,CCL2
HDAC2	histone deacetylase 2	3	0.00748	0.0146	CXCL8,CCL2,COL1A2
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00748	0.0146	CCL2,VWF,COL1A1
EGR2	early growth response 2	2	0.00753	0.0146	LIF,IL6
GATA6	GATA binding protein 6	2	0.00753	0.0146	PLAU,VWF
