Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	29	1.21e-15	7.02e-14	IFNB1,CXCL10,MMP9,IL6,CXCL8,IL1B,COL1A2,BMP2,HYAL1,PLAU,CCL2,CXCL2,MMP12,TNC,CSF2,SFTPA1,MUC5B,MMP1,MMP13,CXCL5,COL1A1,VWF,BGN,IL1A,MMP3,IFNA1,HBEGF,AMH,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	29	1.45e-15	7.02e-14	HYAL1,MMP3,BGN,AMH,MMP1,SFTPA1,IL1B,TNC,IFNA1,COL1A2,CXCL8,COL7A1,PLAU,CXCL10,IL1A,MMP9,MMP13,BMP2,CXCL5,CSF2,MUC5B,VWF,IL6,HBEGF,COL1A1,IFNB1,A2M,CXCL2,CCL2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	15	5.79e-13	1.87e-11	CSF2,FGFBP1,MMP10,MUC4,PF4,MMP1,PLAU,MMP13,MMP3,VWF,IGFBP1,TNC,BMP4,COL1A1,MMP9
JUN	jun proto-oncogene	18	8.44e-12	2.05e-10	IL1B,MMP7,MMP9,CCL2,CXCL8,MMP13,CSF2,MMP3,IL1A,MMP12,PTN,TNC,PLAU,NGF,MGP,IFNB1,IL6,MMP1
SP1	Sp1 transcription factor	27	2.2e-09	4.27e-08	FGFBP1,MUC4,MMRN1,F10,WIF1,COL7A1,CCL2,HYAL1,TNC,EGF,CXCL5,AREG,PLAU,COMP,IL6,HBEGF,LTBP4,MMP9,COL11A2,CXCL14,TGM4,MMP11,SPP1,COL1A1,IGFBP1,PTN,F7
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	15	3.19e-09	5.16e-08	MMP7,FGF2,MUC5B,MMP9,FGG,SHH,A2M,MUC4,MMP3,MMP10,IL6,MMP1,OSM,CCL2,CXCL8
FOS	FBJ murine osteosarcoma viral oncogene homolog	9	1.47e-07	2.04e-06	MMP9,FGFBP1,MMP7,NGF,MMP3,MMP1,CXCL8,IL1A,PLAU
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	6	2.33e-07	2.82e-06	MMP3,IL1B,IFNB1,MMP1,CXCL8,MMP9
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	7	3.59e-07	3.87e-06	MMP1,CXCL8,VWF,CSF2,MMP3,MMP9,TNC
STAT1	signal transducer and activator of transcription 1, 91kDa	10	4.59e-07	4.46e-06	FGF2,IFNB1,MMP9,MUC4,IFNA1,IL6,CCL2,IL1B,MMP13,CXCL10
