Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	20	2.23e-10	7.38e-09	CCL19,IL12B,HYAL1,CCL22,MMP12,TIMP1,SFTPA1,MUC5B,CCL11,MMP1,MMP13,COL1A1,VWF,CCL13,COL2A1,SERPINA3,IL1A,MMP3,MUC5AC,HBEGF
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	20	2.5e-10	7.38e-09	HYAL1,MMP3,MMP1,SERPINA3,SFTPA1,TIMP1,COL2A1,IL1A,MMP13,CCL11,MUC5B,CCL13,VWF,GDNF,IL12B,MUC5AC,HBEGF,CCL22,COL1A1,CCL19
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	9	2.59e-07	5.1e-06	FGFBP1,MMP10,MUC4,PF4,MMP1,MMP13,MMP3,VWF,COL1A1
SP1	Sp1 transcription factor	19	1.78e-06	2.63e-05	FGFBP1,MUC4,WIF1,HYAL1,PDGFB,MUC5AC,COL2A1,TIMP1,HBEGF,LTBP4,MMP28,CXCL14,TIMP3,TGM4,MMP11,PLAT,IGF2,SPP1,COL1A1
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	3.45e-06	4.08e-05	FGFBP1,MMP7,NGF,MMP3,MMP1,NTF3,IL1A
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	3.41e-05	0.000336	MMP7,TIMP1,MUC5B,CCL11,MUC4,MMP3,MMP10,MMP1,IL11
JUN	jun proto-oncogene	9	4.98e-05	0.000395	MMP7,PLAT,MMP13,IL12B,MMP3,IL1A,MMP12,NGF,MMP1
RUNX2	runt-related transcription factor 2	4	5.35e-05	0.000395	MMP13,VEGFC,IHH,ELANE
SP3	Sp3 transcription factor	7	0.000296	0.00194	HBEGF,TIMP1,TGM4,COL1A1,PLAT,COL2A1,MUC4
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.000443	0.00237	MMP1,VWF,IL12B,MMP3
WT1	Wilms tumor 1	5	0.000454	0.00237	NOV,THBS1,HBEGF,IGF2,EREG
EGR1	early growth response 1	6	0.000483	0.00237	PDGFB,GDF15,HYAL1,LTB,GDNF,IGF2
JUND	jun D proto-oncogene	4	0.000561	0.00255	PLAT,FGFBP1,TIMP1,SFTPD
TWIST1	twist basic helix-loop-helix transcription factor 1	4	0.000628	0.00265	TIMP1,GDF15,SRPX,MMP1
ELK1	ELK1, member of ETS oncogene family	3	0.0014	0.00552	WISP2,PDGFB,MUC4
ETV4	ets variant 4	3	0.00186	0.00687	MUC4,MMP7,MMP1
NCOA3	nuclear receptor coactivator 3	2	0.00257	0.00843	MMP10,MMP7
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.0026	0.00843	SPP1,SFTPD,ELANE,IGF2
TWIST2	twist basic helix-loop-helix transcription factor 2	3	0.00271	0.00843	POSTN,GDF15,SRPX
RARA	retinoic acid receptor, alpha	3	0.00304	0.00898	FGFBP1,ANXA8,MUC5AC
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3	0.0034	0.00911	ADAMTS1,SPP1,VWF
HDAC5	histone deacetylase 5	2	0.0034	0.00911	IGF2,SLIT2
EGR2	early growth response 2	2	0.00433	0.0107	IGF2,LIF
FOSL1	FOS-like antigen 1	2	0.00433	0.0107	SFTPD,MMP1
NFIL3	nuclear factor, interleukin 3 regulated	2	0.00538	0.0122	VWF,EREG
SNAI1	snail homolog 1 (Drosophila)	2	0.00538	0.0122	THBS1,HBEGF
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.0077	0.0168	CCL11,CCL17,COL1A1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.00831	0.0175	ELANE,COL1A1,CLEC4G
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.00894	0.0176	SPP1,MUC4,S100P
POU2F1	POU class 2 homeobox 1	3	0.00894	0.0176	VWF,LGALS4,SPP1
RUNX1	runt-related transcription factor 1	3	0.0103	0.0196	TIMP1,ELANE,PF4
ING4	inhibitor of growth family, member 4	2	0.0121	0.0223	NGF,SPP1
USF2	upstream transcription factor 2, c-fos interacting	3	0.016	0.0286	THBS1,PF4,TGFB2
CREB1	cAMP responsive element binding protein 1	4	0.019	0.0322	BDNF,PLAT,MUC5AC,MUC4
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2	0.0191	0.0322	MMP3,MMP1
YY1	YY1 transcription factor	4	0.0197	0.0322	VWF,MUC4,CCL13,POSTN
PAX5	paired box 5	2	0.0231	0.0369	MMP1,TIMP1
SOX2	SRY (sex determining region Y)-box 2	2	0.0253	0.0392	SEMA6A,MMP3
NANOG	Nanog homeobox	2	0.0275	0.0415	NODAL,SEMA6A
FLI1	Friend leukemia virus integration 1	2	0.0297	0.0426	PF4,MMP1
POU5F1	POU class 5 homeobox 1	2	0.0297	0.0426	SPP1,SEMA6A
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	3	0.0303	0.0426	GDF15,MMP1,SFTPD
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	3	0.033	0.0452	IL12B,ELANE,CLEC4G
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.037	0.0496	VWF,COL1A1
LEF1	lymphoid enhancer-binding factor 1	2	0.0422	0.0553	MMP7,ELANE
RUNX3	runt-related transcription factor 3	2	0.0449	0.0575	TIMP1,CLEC4G
CIITA	class II, major histocompatibility complex, transactivator	2	0.0476	0.0598	COL1A1,S100A4
ATF2	activating transcription factor 2	2	0.0504	0.062	PLAT,TGFB2
