Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	27	4.18e-14	2.06e-12	CCL4,MMP9,IL6,IL12A,COL1A2,IL12B,BMP2,CCL20,PLAU,CCL2,CXCL2,MMP12,TNC,CCL3,SFTPA1,MUC5B,IL17C,MMP1,MMP13,COL1A1,VWF,AGT,SERPINA3,MMP3,MUC5AC,HBEGF,AMH
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	27	4.92e-14	2.06e-12	MMP3,AMH,MMP1,IL17C,SERPINA3,SFTPA1,TNC,COL1A2,PLAU,CCL3,AGT,MMP9,MMP13,BMP2,CCL20,MUC5B,VWF,IL12B,MUC5AC,IL6,HBEGF,CCL4,IL12A,COL1A1,A2M,CXCL2,CCL2
JUN	jun proto-oncogene	16	5.38e-10	1.51e-08	MMP7,PLAT,IL12A,MMP9,CCL2,MMP13,IL12B,MMP3,MMP12,PTN,TNC,PLAU,MGP,ELN,IL6,MMP1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	11	1.85e-08	3.89e-07	FGFBP1,MMP10,MMP1,PLAU,MMP13,MMP3,VWF,IGFBP1,TNC,COL1A1,MMP9
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	13	1.56e-07	2.62e-06	MMP7,FGF2,LEP,MUC5B,MMP9,SHH,A2M,FGL1,MMP3,MMP10,IL6,MMP1,CCL2
SP1	Sp1 transcription factor	23	4.32e-07	6.05e-06	FGFBP1,MMRN1,F10,AGT,WIF1,GDF5,CCL2,TNC,SERPINB5,MUC5AC,PLAU,COMP,IL6,HBEGF,MMP9,MMP28,MMP11,PLAT,SPP1,COL1A1,LEP,IGFBP1,PTN
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	5.84e-06	7.01e-05	MMP1,VWF,IL12B,MMP3,MMP9,TNC
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	1.79e-05	0.000188	MMP9,FGFBP1,MMP7,MMP3,MMP1,NTF3,PLAU
HDAC2	histone deacetylase 2	5	3.86e-05	0.00036	MUC5AC,CCL2,COL1A2,BMP7,IGF1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	6	9.22e-05	0.000774	SPP1,IGF1,SFTPD,LEP,IL6,CCL2
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	5	0.000141	0.00108	S100P,IL6,PLAU,CCL2,IGFBP1
EP300	E1A binding protein p300	6	0.000156	0.00109	IL12B,IGF1,LAMA3,MMP9,IL6,COL1A2
RARA	retinoic acid receptor, alpha	4	0.000505	0.00326	FGFBP1,ANXA8,PLAU,MUC5AC
HDAC1	histone deacetylase 1	6	0.000576	0.00328	MMP9,SPP1,SERPINB5,SFRP1,MMP28,COL1A2
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000586	0.00328	SPP1,WNT11,FGF2,VWF
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.0014	0.00668	FGF2,MMP9,IL6,CCL2,MMP13,CCL3
WT1	Wilms tumor 1	5	0.00141	0.00668	IGF1,NOV,HBEGF,AMH,EREG
JUND	jun D proto-oncogene	4	0.00143	0.00668	IL6,PLAT,FGFBP1,SFTPD
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4	0.00197	0.00871	COL1A1,COL1A2,CTSG,CLEC4G
PPARA	peroxisome proliferator-activated receptor alpha	4	0.0024	0.00943	IL6,ANGPTL4,MMP9,IGFBP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00247	0.00943	MMP3,MMP1,MMP9
RUNX2	runt-related transcription factor 2	3	0.00247	0.00943	MMP13,IHH,PLAU
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00303	0.0106	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00303	0.0106	WNT3A,RSPO2
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	4	0.00315	0.0106	IL6,IL12B,AMH,CST5
NR5A1	nuclear receptor subfamily 5, group A, member 1	3	0.0038	0.0118	AMH,NOV,INSL3
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	3	0.0038	0.0118	IL6,CCL2,IL12B
NCOA3	nuclear receptor coactivator 3	2	0.0042	0.0126	MMP10,MMP7
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.0055	0.0146	MMP9,PLG,PLAU
HDAC5	histone deacetylase 5	2	0.00555	0.0146	SLIT2,FGF2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00555	0.0146	MMP9,MMP1
ZFP36	ZFP36 ring finger protein	2	0.00555	0.0146	SERPINB2,IL6
IRF1	interferon regulatory factor 1	4	0.00636	0.0155	IL12B,SLPI,MMP9,IL12A
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00684	0.0155	CCL2,VWF,COL1A1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00707	0.0155	SFRP1,SFRP5
FOSL1	FOS-like antigen 1	2	0.00707	0.0155	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00707	0.0155	PLAU,VWF
TFCP2	transcription factor CP2	2	0.00707	0.0155	SPP1,A2M
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	5	0.00719	0.0155	FGF2,HBEGF,PLAU,MUC3A,LEP
HOXB7	homeobox B7	2	0.00875	0.0175	THBS2,FGF2
NFIL3	nuclear factor, interleukin 3 regulated	2	0.00875	0.0175	VWF,EREG
SPDEF	SAM pointed domain containing ets transcription factor	2	0.00875	0.0175	SERPINB5,MMP9
CIITA	class II, major histocompatibility complex, transactivator	3	0.0101	0.0184	COL1A1,MMP9,COL1A2
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.0101	0.0184	SFRP5,BMP2,SFRP1
RB1	retinoblastoma 1	3	0.0101	0.0184	IGF1,SFTPD,TGFBI
SMAD3	SMAD family member 3	3	0.0101	0.0184	TNC,ANGPTL4,MMP9
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	4	0.0125	0.022	IL12B,CCL2,CTSG,CLEC4G
OTX2	orthodenticle homeobox 2	2	0.0126	0.022	IL6,IGF1
KLF5	Kruppel-like factor 5 (intestinal)	2	0.0147	0.0253	MMP9,FGFBP1
SNAI2	snail homolog 2 (Drosophila)	2	0.017	0.0286	MMP17,MMP9
POU2F1	POU class 2 homeobox 1	3	0.0176	0.0289	VWF,PLAU,SPP1
ING4	inhibitor of growth family, member 4	2	0.0195	0.0309	ANGPT1,SPP1
TBP	TATA box binding protein	2	0.0195	0.0309	IL6,PPBP
SP3	Sp3 transcription factor	5	0.0246	0.0382	HBEGF,GDF5,IGFBP1,COL1A1,PLAT
HDAC9	histone deacetylase 9	2	0.0276	0.0421	MMP13,IGFBP1
GATA4	GATA binding protein 4	2	0.0305	0.0442	AMH,FGF10
GLI1	GLI family zinc finger 1	2	0.0305	0.0442	MUC5AC,SFRP1
XBP1	X-box binding protein 1	2	0.0305	0.0442	CCL2,IL6
EGR1	early growth response 1	4	0.0393	0.0559	LTB,FGF2,PLAU,IL6
ETV4	ets variant 4	2	0.0401	0.0561	MMP7,MMP1
CREB1	cAMP responsive element binding protein 1	4	0.0421	0.058	PLAT,MUC5AC,IL6,PLAU
SOX9	SRY (sex determining region Y)-box 9	2	0.0435	0.0589	SHH,AMH
FLI1	Friend leukemia virus integration 1	2	0.047	0.0608	MMP1,COL1A2
FOXO1	forkhead box O1	2	0.047	0.0608	IL6,IGFBP1
POU5F1	POU class 5 homeobox 1	2	0.047	0.0608	SPP1,TDGF1
CREM	cAMP responsive element modulator	2	0.0506	0.0644	PLAT,CCL4
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	3	0.0566	0.071	MMP1,IL6,SFTPD
RUNX3	runt-related transcription factor 3	2	0.07	0.0853	MMP9,CLEC4G
YBX1	Y box binding protein 1	2	0.07	0.0853	MMP13,AGT
PPARG	peroxisome proliferator-activated receptor gamma	3	0.0711	0.0853	ANGPTL4,MMP9,MMP1
ATF2	activating transcription factor 2	2	0.0784	0.0927	PLAT,PLAU
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0915	0.107	SRPX,MMP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2	0.0959	0.11	COL1A2,COL1A1
ESR1	estrogen receptor 1	3	0.0986	0.112	F12,AMH,MMP13
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.105	0.118	SPP1,S100P
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.114	0.125	IGFBP1,SFRP1
KLF4	Kruppel-like factor 4 (gut)	2	0.114	0.125	IL6,LAMA3
AR	androgen receptor	3	0.153	0.164	WNT7B,SERPINB5,NOV
SIRT1	sirtuin 1	2	0.154	0.164	COL1A2,MMP9
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	2	0.276	0.29	MMP9,COL1A1
YY1	YY1 transcription factor	2	0.382	0.396	COL1A2,VWF
TP53	tumor protein p53	3	0.427	0.433	S100B,MMP1,FGF2
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2	0.428	0.433	SFRP1,IL6
E2F1	E2F transcription factor 1	2	0.582	0.582	SERPINB5,CCL3
