Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	20	3.4e-11	2.51e-09	IL6,CXCL8,VEGFA,IL12B,BMP2,HYAL1,CCL22,CXCL2,MMP12,SFTPA1,MUC5B,MMP1,TNF,COL1A1,VWF,AGT,MMP3,MUC5AC,HBEGF,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	19	2.9e-10	1.07e-08	HYAL1,MMP3,MMP1,SFTPA1,CXCL8,VEGFA,AGT,BMP2,MUC5B,VWF,IL12B,MUC5AC,IL6,HBEGF,TNF,CCL22,CXCL1,COL1A1,CXCL2
SP1	Sp1 transcription factor	21	1.54e-08	3.81e-07	AGT,WIF1,HYAL1,PDGFB,SERPINB5,TNF,MUC5AC,EGF,VEGFA,COMP,IL6,HBEGF,CXCL1,CXCL14,TIMP3,TGM4,MMP11,SPP1,IGFBP3,COL1A1,ACAN
DNMT1	DNA (cytosine-5-)-methyltransferase 1	6	6.1e-07	1.04e-05	TIMP3,RELN,SFRP5,BMP2,SFRP1,VEGFA
ZFP36	ZFP36 ring finger protein	4	7.04e-07	1.04e-05	VEGFA,SERPINB2,IL6,CXCL8
EGR1	early growth response 1	8	3.17e-06	3.91e-05	PDGFB,GDF15,TNF,HYAL1,VEGFA,FGF2,CXCL8,IL6
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	1.5e-05	0.000154	FGF2,MUC5B,FGG,VEGFA,MMP3,IL6,MMP1,MUC1,CXCL8
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	1.67e-05	0.000154	MMP1,CXCL8,VWF,IL12B,MMP3
EP300	E1A binding protein p300	6	2.18e-05	0.000179	VEGFA,IL12B,IGFBP3,LAMA3,CXCL8,IL6
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	5	6.48e-05	0.000479	IL6,IL12B,IGFBP3,CXCL8,CST5
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	8.33e-05	0.000522	IGFBP3,SFRP1,SFRP5
HDAC1	histone deacetylase 1	6	8.47e-05	0.000522	IGFBP3,SPP1,RELN,SERPINB5,CXCL8,SFRP1
JUN	jun proto-oncogene	8	0.000145	0.000802	CXCL8,IL12B,MMP3,MMP12,VEGFA,TNF,IL6,MMP1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000152	0.000802	SPP1,FGF2,VWF,CXCL8
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	5	0.000359	0.00177	GDF15,CXCL8,MMP1,IL6,TNF
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	4	0.000425	0.00196	CXCL8,S100P,IL6,VEGFA
KLF4	Kruppel-like factor 4 (gut)	4	0.000712	0.0031	VEGFA,IL6,LAMA3,GDF15
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.000891	0.0033	MMP3,MMP1,CXCL8
RUNX2	runt-related transcription factor 2	3	0.000891	0.0033	VEGFC,IHH,VEGFA
XBP1	X-box binding protein 1	3	0.000891	0.0033	VEGFA,IL6,CXCL8
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00101	0.0034	MMP1,CXCL8
ZNF300	zinc finger protein 300	2	0.00101	0.0034	CXCL8,IL6
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	5	0.00127	0.00408	PF4,MMP1,MMP3,VWF,COL1A1
FOXQ1	forkhead box Q1	2	0.0015	0.00464	WNT3A,VEGFA
