Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	7	8.58e-06	0.000154	MMP7,LEP,MUC5B,FGL1,MMP3,MMP10,IL11
FOXQ1	forkhead box Q1	2	0.000387	0.00324	WNT3A,RSPO2
NCOA3	nuclear receptor coactivator 3	2	0.00054	0.00324	MMP10,MMP7
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	7	0.000922	0.00345	IL4,MMP12,FGF8,MUC5B,HPSE,MMP3,MUC5AC
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	7	0.000959	0.00345	MMP3,MUC5B,GDNF,MUC5AC,FGF8,HPSE,IL4
TBX21	T-box 21	2	0.00167	0.00501	IL4,IL13
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	3	0.00364	0.00937	GDF15,IL4,IL13
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.00727	0.0157	POSTN,GDF15
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	3	0.00785	0.0157	MMP10,PF4,MMP3
EGR1	early growth response 1	3	0.0105	0.019	GDF15,GDNF,HPSE
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2	0.0147	0.0241	IL4,IL13
POU2F1	POU class 2 homeobox 1	2	0.0163	0.0245	IL4,SPP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	2	0.0283	0.0392	SPP1,LEP
FOS	FBJ murine osteosarcoma viral oncogene homolog	2	0.0348	0.0418	MMP7,MMP3
SP1	Sp1 transcription factor	6	0.0348	0.0418	MUC5AC,EGF,COMP,MMP11,SPP1,LEP
JUN	jun proto-oncogene	3	0.0415	0.0467	MMP7,MMP3,MMP12
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	2	0.0681	0.0721	MUC3A,LEP
YY1	YY1 transcription factor	2	0.0798	0.0798	IL4,POSTN
