Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	20	2.05e-10	1.33e-08	CCL19,CXCL10,MMP9,IL6,IL4,BMP2,HYAL1,CCL20,CCL2,CXCL2,MMP12,FGF8,MMP1,MMP13,COL1A1,SERPINA3,IL1A,MMP3,MUC5AC,HBEGF
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	19	1.56e-09	5.08e-08	HYAL1,MMP3,MMP1,SERPINA3,CXCL10,IL1A,MMP9,MMP13,BMP2,CCL20,MUC5AC,FGF8,IL6,HBEGF,COL1A1,IL4,CCL19,CXCL2,CCL2
JUN	jun proto-oncogene	11	9.8e-07	2.12e-05	MMP7,MMP9,CCL2,MMP13,MMP3,IL1A,MMP12,PTN,NGF,IL6,MMP1
SP1	Sp1 transcription factor	19	1.66e-06	2.7e-05	LAMA1,WIF1,GDF5,CCL2,HYAL1,MUC5AC,AREG,COMP,IL6,HBEGF,MMP9,CXCL14,TGM4,MMP11,SPP1,IGFBP3,COL1A1,LEP,PTN
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	3.29e-05	0.000428	MMP7,FGF2,LEP,MMP9,FGG,MMP3,IL6,MMP1,CCL2
FOS	FBJ murine osteosarcoma viral oncogene homolog	6	4.21e-05	0.000456	MMP9,MMP7,NGF,MMP3,MMP1,IL1A
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000222	0.00206	ADAMTS1,SPP1,WNT11,FGF2
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.000263	0.00214	SPP1,SFTPD,LEP,IL6,CCL2
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.000367	0.00242	FGF2,MMP9,IL6,CCL2,MMP13,CXCL10
CIITA	class II, major histocompatibility complex, transactivator	4	0.000384	0.00242	COL1A1,S100A4,MMP9,IL4
EP300	E1A binding protein p300	5	0.000409	0.00242	S100A4,IGFBP3,LAMA3,MMP9,IL6
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	5	0.000564	0.00288	IL4,MMP1,IL6,IL13,SFTPD
ING4	inhibitor of growth family, member 4	3	0.000576	0.00288	NGF,ANGPT1,SPP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.000688	0.00319	CCL17,IL4,COL1A1,IL13
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00119	0.00514	MMP3,MMP1,MMP9
SP3	Sp3 transcription factor	6	0.00174	0.00661	LAMA1,HBEGF,IGFBP3,GDF5,TGM4,COL1A1
FOXQ1	forkhead box Q1	2	0.00183	0.00661	WNT3A,RSPO2
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00183	0.00661	IL4,MMP13
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	5	0.00196	0.0067	MMP1,MMP13,MMP3,COL1A1,MMP9
HDAC5	histone deacetylase 5	2	0.00336	0.00994	SLIT2,FGF2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00336	0.00994	MMP9,MMP1
ZFP36	ZFP36 ring finger protein	2	0.00336	0.00994	SERPINB2,IL6
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00429	0.0112	IGFBP3,SFRP5
FOSL1	FOS-like antigen 1	2	0.00429	0.0112	SFTPD,MMP1
TFCP2	transcription factor CP2	2	0.00429	0.0112	SPP1,FGA
HOXB7	homeobox B7	2	0.00533	0.0131	THBS2,FGF2
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3	0.00545	0.0131	MMP1,MMP3,MMP9
TBX21	T-box 21	2	0.0077	0.0179	IL4,IL13
KLF4	Kruppel-like factor 4 (gut)	3	0.0102	0.0228	LAMA1,IL6,LAMA3
IRF3	interferon regulatory factor 3	2	0.012	0.0243	CXCL10,CCL2
JUNB	jun B proto-oncogene	2	0.012	0.0243	SFTPD,IL4
PTTG1	pituitary tumor-transforming 1	2	0.012	0.0243	S100A4,FGF2
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	4	0.0143	0.0281	FGF2,HBEGF,MUC3A,LEP
EGR1	early growth response 1	4	0.0173	0.0331	HYAL1,LTB,FGF2,IL6
RUNX2	runt-related transcription factor 2	2	0.0189	0.0342	MMP13,IHH
XBP1	X-box binding protein 1	2	0.0189	0.0342	CCL2,IL6
IRF1	interferon regulatory factor 1	3	0.0196	0.0344	CXCL10,SLPI,MMP9
KLF6	Kruppel-like factor 6	2	0.0209	0.0357	LAMA1,MMP9
AHR	aryl hydrocarbon receptor	2	0.025	0.0388	IL6,IL13
ETV4	ets variant 4	2	0.025	0.0388	MMP7,MMP1
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2	0.025	0.0388	IL6,CCL2
SOX2	SRY (sex determining region Y)-box 2	2	0.025	0.0388	SEMA6A,MMP3
FLI1	Friend leukemia virus integration 1	2	0.0295	0.0436	MMP1,IGFBP3
POU5F1	POU class 5 homeobox 1	2	0.0295	0.0436	SPP1,SEMA6A
CREBBP	CREB binding protein	2	0.0318	0.045	IL4,S100A4
SRF	serum response factor (c-fos serum response element-binding transcription factor)	2	0.0318	0.045	MMP9,PLG
RARA	retinoic acid receptor, alpha	2	0.0342	0.0473	ANXA8,MUC5AC
HDAC2	histone deacetylase 2	2	0.0367	0.0487	MUC5AC,CCL2
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0367	0.0487	CCL2,COL1A1
LEF1	lymphoid enhancer-binding factor 1	2	0.0418	0.0544	MMP7,EDA
HDAC1	histone deacetylase 1	3	0.0458	0.0572	MMP9,IGFBP3,SPP1
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0458	0.0572	MMP9,ECM1,COL1A1
DNMT1	DNA (cytosine-5-)-methyltransferase 1	2	0.0472	0.0579	SFRP5,BMP2
JUND	jun D proto-oncogene	2	0.0557	0.0671	IL6,SFTPD
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	2	0.0587	0.0693	IL6,CCL2
GATA3	GATA binding protein 3	2	0.0678	0.0774	IL4,MMP1
POU2F1	POU class 2 homeobox 1	2	0.0678	0.0774	IL4,SPP1
PPARA	peroxisome proliferator-activated receptor alpha	2	0.071	0.0796	IL6,MMP9
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	2	0.0807	0.0889	IL6,IGFBP3
HNF4A	hepatocyte nuclear factor 4, alpha	2	0.0909	0.0984	C1QTNF5,MMP7
SIRT1	sirtuin 1	2	0.101	0.108	COL10A1,MMP9
PPARG	peroxisome proliferator-activated receptor gamma	2	0.17	0.178	MMP9,MMP1
CREB1	cAMP responsive element binding protein 1	2	0.268	0.277	MUC5AC,IL6
YY1	YY1 transcription factor	2	0.273	0.277	IL4,POSTN
TP53	tumor protein p53	3	0.28	0.28	MMP1,FGF2,IGFBP3
