Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	35	6.59e-21	6.65e-19	HYAL1,MMP3,BGN,AMH,MMP1,IFNG,SFTPA1,CTSB,TIMP1,COL1A2,CXCL8,TNFSF13B,PLAU,CXCL10,CCL3,MMP9,MMP13,CCL20,CCL11,CSF2,TNFSF14,CCL13,VWF,GDNF,IL10,SERPINE1,MMP14,TNF,CCL4,CCL22,CXCL1,COL1A1,CCL19,CCL2,IL23A
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	34	5.07e-20	2.56e-18	CCL4,CCL19,CXCL10,MMP9,CXCL8,COL1A2,CTSB,MMP14,IL10,IL23A,HYAL1,CCL20,CCL22,PLAU,CCL2,MMP12,TIMP1,CCL3,CSF2,TNFSF14,SFTPA1,SERPINE1,CCL11,MMP1,TNF,MMP13,COL1A1,VWF,CCL13,IFNG,BGN,MMP3,AMH,CXCL1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	13	1.89e-10	6.36e-09	CSF2,CTSB,MMP10,PF4,MMP1,PLAU,MMP13,MMP3,VWF,TNFSF14,IGFBP1,COL1A1,MMP9
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	16	5.16e-10	1.3e-08	MMP7,TIMP1,CYR61,MMP9,CCL11,SHH,IFNG,IL10,MMP3,MMP10,MMP1,OSM,MMP14,IL11,CCL2,CXCL8
JUN	jun proto-oncogene	16	1.06e-09	2.13e-08	MMP7,IL23A,MMP9,CCL2,CXCL8,IL24,MMP13,CSF2,MMP3,MMP12,IBSP,PTN,IFNG,PLAU,TNF,MMP1
STAT1	signal transducer and activator of transcription 1, 91kDa	10	5.76e-07	9.69e-06	MMP9,IFNG,CCL2,CTSB,TIMP1,TNFSF13B,MMP13,CCL3,IL10,CXCL10
SP1	Sp1 transcription factor	23	9.73e-07	1.4e-05	TNFSF14,MMRN1,F10,WIF1,CCL2,HYAL1,SERPINB5,TNF,CTSB,PLAU,COMP,SERPINE1,TIMP1,CXCL1,MMP9,IL10,MMP11,MMP14,SPP1,COL1A1,IGFBP1,PTN,ACAN
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	5	4.18e-06	5.28e-05	IL23A,TNF,TNFAIP6,CCL20,CXCL1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	7.62e-06	8.55e-05	MMP1,CXCL8,VWF,CSF2,MMP3,MMP9
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	6	1.56e-05	0.000157	CCL11,CXCL8,COL1A2,CCL26,EGLN3,COL1A1
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	7	3.38e-05	0.000311	IL10,CXCL8,MMP1,TNF,TNFAIP6,IL24,SFTPD
EGR1	early growth response 1	8	5.8e-05	0.000488	IFNG,MMP14,TNF,HYAL1,LTB,PLAU,CXCL8,GDNF
IRF1	interferon regulatory factor 1	6	0.000119	0.000923	CXCL10,IFNG,IL10,SLPI,OGN,MMP9
