Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	19	2.59e-10	1.74e-08	IFNB1,CXCL10,MMP9,IL6,IL1B,BMP2,HYAL1,PLAU,CXCL2,MMP12,MMP1,MMP13,CXCL5,COL1A1,VWF,SERPINA3,MMP3,MUC5AC,HBEGF
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	18	2.07e-09	6.94e-08	HYAL1,MMP3,MMP1,SERPINA3,IL1B,PLAU,CXCL10,MMP9,MMP13,BMP2,CXCL5,VWF,MUC5AC,IL6,HBEGF,COL1A1,IFNB1,CXCL2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	7.32e-09	1.63e-07	MMP10,MUC4,MMP1,PLAU,MMP13,MMP3,VWF,IGFBP1,COL1A1,MMP9
SP1	Sp1 transcription factor	21	1.54e-08	2.59e-07	MUC4,MMRN1,F10,WIF1,GDF5,HYAL1,MUC5AC,EGF,CXCL5,AREG,PLAU,COMP,IL6,HBEGF,MMP9,CXCL14,TGM4,MMP11,SPP1,COL1A1,IGFBP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	5	1.07e-06	1.43e-05	MMP3,IL1B,IFNB1,MMP1,MMP9
NFIL3	nuclear factor, interleukin 3 regulated	4	2.08e-06	2.13e-05	VWF,EREG,IL1B,AREG
STAT1	signal transducer and activator of transcription 1, 91kDa	8	2.23e-06	2.13e-05	FGF2,IFNB1,MMP9,MUC4,IL6,IL1B,MMP13,CXCL10
JUN	jun proto-oncogene	10	3e-06	2.51e-05	IL1B,MMP9,MMP13,MMP3,MMP12,PLAU,MGP,IFNB1,IL6,MMP1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000152	0.00111	ADAMTS1,SPP1,FGF2,VWF
IRF1	interferon regulatory factor 1	5	0.000166	0.00111	CXCL10,IFNB1,SLPI,OGN,MMP9
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.000299	0.00182	MMP1,VWF,MMP3,MMP9
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	7	0.000632	0.00333	FGF2,MMP9,MUC4,MMP3,MMP10,IL6,MMP1
PPARA	peroxisome proliferator-activated receptor alpha	4	0.000646	0.00333	IL6,ANGPTL4,MMP9,IGFBP1
RUNX2	runt-related transcription factor 2	3	0.000891	0.00426	MMP13,IHH,PLAU
SP3	Sp3 transcription factor	6	0.00105	0.00469	HBEGF,GDF5,TGM4,IGFBP1,COL1A1,MUC4
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	5	0.00158	0.00662	FGF2,HBEGF,PLAU,MUC3A,EGLN3
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.00202	0.00762	MMP9,PLG,PLAU
EGR1	early growth response 1	5	0.00205	0.00762	GDF15,HYAL1,FGF2,PLAU,IL6
RARA	retinoic acid receptor, alpha	3	0.00227	0.008	ANXA8,PLAU,MUC5AC
FOS	FBJ murine osteosarcoma viral oncogene homolog	4	0.00269	0.00807	MMP9,MMP3,MMP1,PLAU
