Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	21	1.35e-11	4.91e-10	IFNB1,MMP9,CXCL8,IL12A,CCL20,MMP12,TNC,TIMP1,CSF2,SDC1,SFTPA1,FGF8,MUC5B,CCL11,IL17C,MMP1,MMP13,AGT,IFNG,MMP3,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	21	1.54e-11	4.91e-10	MMP3,SDC1,MMP1,IL17C,IFNG,SFTPA1,TNC,TIMP1,CXCL8,AGT,MMP9,MMP13,CCL20,CCL11,CSF2,MUC5B,FGF8,IL12A,CXCL1,IFNB1,A2M
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	13	4.75e-09	1.01e-07	TIMP1,LEP,MUC5B,MMP9,CCL11,A2M,IFNG,FGL1,MUC4,MMP3,MMP10,MMP1,CXCL8
JUN	jun proto-oncogene	13	8.55e-09	1.37e-07	IL12A,MMP9,CXCL8,MMP13,CSF2,MMP3,MMP12,IBSP,PTN,IFNG,TNC,IFNB1,MMP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	1.06e-06	1.36e-05	MMP1,CXCL8,CSF2,MMP3,MMP9,TNC
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	5	1.44e-06	1.54e-05	MMP3,IFNB1,MMP1,CXCL8,MMP9
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	8	2.19e-06	2e-05	CSF2,MMP10,MUC4,MMP1,MMP13,MMP3,TNC,MMP9
SP1	Sp1 transcription factor	17	1.53e-05	0.000123	MUC4,AGT,WIF1,TNC,COMP,LOXL4,TIMP1,CXCL1,MMP9,COL11A2,CXCL14,TGFA,MMP11,SPP1,IGFBP3,LEP,PTN
TFCP2	transcription factor CP2	3	9.97e-05	0.000709	SPP1,A2M,FGA
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.000299	0.00191	IFNB1,MMP9,MUC4,IFNG,TIMP1,MMP13
ING4	inhibitor of growth family, member 4	3	0.000515	0.00299	CXCL8,ANGPT1,SPP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.000595	0.00318	CCL11,CXCL8,CCL26,EGLN3
ELF4	E74-like factor 4 (ets domain transcription factor)	2	0.00114	0.0052	MMP9,CXCL8
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00114	0.0052	MMP1,CXCL8
FOXQ1	forkhead box Q1	2	0.0017	0.00678	WNT3A,RSPO2
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	2	0.0017	0.00678	CXCL8,MMP9
POU5F1	POU class 5 homeobox 1	3	0.00213	0.00792	SPP1,SEMA6A,TDGF1
IRF1	interferon regulatory factor 1	4	0.00223	0.00792	IFNB1,IFNG,MMP9,IL12A
TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	2	0.00236	0.00794	MUC4,IFNG
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00312	0.00957	MMP9,MMP1
EP300	E1A binding protein p300	4	0.00314	0.00957	IFNG,IGFBP3,MMP9,CXCL8
FOS	FBJ murine osteosarcoma viral oncogene homolog	4	0.00335	0.00974	MMP9,MMP3,MMP1,CXCL8
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00398	0.0111	IGFBP3,SFRP5
SMAD3	SMAD family member 3	3	0.00448	0.0119	TNC,ANGPTL4,MMP9
PPARD	peroxisome proliferator-activated receptor delta	2	0.00494	0.0127	ANGPTL4,TIMP1
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.00632	0.0155	CXCL8,S100P,FGF19
HDAC1	histone deacetylase 1	4	0.00733	0.0174	MMP9,IGFBP3,SPP1,CXCL8
GATA3	GATA binding protein 3	3	0.00795	0.0175	IFNG,MMP1,CXCL1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.00795	0.0175	SPP1,MUC4,S100P
SNAI2	snail homolog 2 (Drosophila)	2	0.00972	0.0207	MMP17,MMP9
FOSL2	FOS-like antigen 2	2	0.0111	0.023	IBSP,TIMP1
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	2	0.0142	0.0284	CCL20,CXCL1
SIRT1	sirtuin 1	3	0.0151	0.0292	COL10A1,MMP9,ADAMTS5
CREB1	cAMP responsive element binding protein 1	4	0.0165	0.031	BDNF,IFNG,IBSP,MUC4
RUNX2	runt-related transcription factor 2	2	0.0176	0.0322	IBSP,MMP13
PAX5	paired box 5	2	0.0213	0.0379	MMP1,TIMP1
ETV4	ets variant 4	2	0.0233	0.0393	MUC4,MMP1
SOX2	SRY (sex determining region Y)-box 2	2	0.0233	0.0393	SEMA6A,MMP3
FLI1	Friend leukemia virus integration 1	2	0.0275	0.0451	MMP1,IGFBP3
PARP1	poly (ADP-ribose) polymerase 1	2	0.0296	0.0474	IFNG,CXCL1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	2	0.0342	0.0516	SPP1,CXCL8
