Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	34	3.64e-16	3.5e-14	HYAL1,AMH,MMP1,IL17C,SFTPA1,IL1B,TNC,CXCL12,COL1A2,FN1,CCL3,AGT,MMP13,BMP2,CCL20,CSF2,MUC5B,CCL13,VWF,GDNF,IL12B,MUC5AC,SERPINE1,HBEGF,TNF,CCL4,IL12A,CCL22,IL18,COL1A1,CCL19,A2M,CCL2,TNFSF10
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	33	2.01e-15	9.67e-14	CCL4,CCL19,IL12A,IL1B,CXCL12,COL1A2,IL12B,BMP2,HYAL1,CCL20,CCL22,TNFSF10,CCL2,MMP12,TNC,CCL3,CSF2,SFTPA1,MUC5B,SERPINE1,IL17C,MMP1,TNF,MMP13,COL1A1,VWF,AGT,CCL13,MUC5AC,FN1,IL18,HBEGF,AMH
SP1	Sp1 transcription factor	30	2.8e-08	8.97e-07	MUC4,MMRN1,FGL2,F10,AGT,ADAM23,WIF1,CCL2,HYAL1,TNC,SERPINB5,TNF,MUC5AC,TNFSF10,FBLN1,EGF,AREG,SERPINE1,HBEGF,LTBP4,HGF,MMP28,TIMP3,MMP11,IGF2,SPP1,IGFBP3,COL1A1,LEP,F7
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	11	3.74e-08	8.97e-07	IL1B,IL5,IL12B,CCL2,ELANE,CTSG,PRG2,TNF,CLEC4G,CTSS,IL18
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	11	4.9e-07	9.4e-06	CSF2,MMP10,MUC4,PF4,MMP1,IL5,MMP13,VWF,TNC,BMP4,COL1A1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	9	6.95e-07	1.01e-05	SPP1,S100A9,IL5,SFTPD,LEP,ELANE,IGF2,FN1,CCL2
NFIL3	nuclear factor, interleukin 3 regulated	5	7.37e-07	1.01e-05	VWF,EREG,IL1B,TNFSF10,AREG
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	14	1.06e-06	1.27e-05	HGF,FGF2,LEP,CYR61,MUC5B,FGG,SHH,A2M,FGL1,MUC4,MMP10,MMP1,IL11,CCL2
JUN	jun proto-oncogene	14	1.88e-06	2.01e-05	IL1B,DCN,IL12A,CCL2,MMP13,CSF2,IL12B,MMP12,CSTA,TNC,MGP,ELN,TNF,MMP1
GLI1	GLI family zinc finger 1	5	2.93e-05	0.000281	CYR61,MUC5AC,S100A7,SFRP1,S100A9
