Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	28	3.86e-14	3.32e-12	HYAL1,MMP3,MMP1,SERPINA3,SFTPA1,TNC,COL2A1,PLAU,CXCL10,CCL3,IL1A,AGT,MMP9,MMP13,BMP2,CCL20,VWF,GDNF,IL12B,IL6,SERPINE1,HBEGF,CCL4,CCL22,COL1A1,A2M,CXCL2,IL23A
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	27	2.32e-13	9.96e-12	CCL4,CXCL10,MMP9,IL6,IL12B,IL23A,BMP2,HYAL1,CCL20,CCL22,PLAU,CXCL2,MMP12,TNC,CCL3,SFTPA1,SERPINE1,MMP1,MMP13,COL1A1,VWF,AGT,COL2A1,SERPINA3,IL1A,MMP3,HBEGF
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	14	1.8e-11	5.17e-10	FGFBP1,MMP10,PF4,MMP1,PLAU,IL5,CTGF,MMP13,MMP3,VWF,IGFBP1,TNC,COL1A1,MMP9
SP1	Sp1 transcription factor	30	6.86e-11	1.47e-09	FGFBP1,MMRN1,F10,AGT,ADAM23,WIF1,HYAL1,TNC,SERPINB5,EGF,CTGF,PLAU,COL2A1,COMP,IL6,SERPINE1,HBEGF,LTBP4,MMP9,MMP28,CXCL14,TGFA,TIMP3,TGM4,MMP11,PLAT,SPP1,COL1A1,IGFBP1,PTN
JUN	jun proto-oncogene	17	1.75e-10	3e-09	DCN,MMP7,PLAT,IL23A,MMP9,CTGF,MMP13,IL12B,MMP3,IL1A,MMP12,PTN,TNC,PLAU,MGP,IL6,MMP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	7	4.99e-07	7.15e-06	MMP1,VWF,IL12B,MMP3,MMP9,IL5,TNC
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	1.41e-05	0.000174	MMP7,FGF2,MMP9,CTGF,FGG,A2M,MMP3,MMP10,IL6,MMP1,IL11
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	2.81e-05	0.000302	MMP9,FGFBP1,MMP7,MMP3,MMP1,IL1A,PLAU
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	5.4e-05	0.000516	ADAMTS1,SPP1,WNT11,FGF2,VWF
JUND	jun D proto-oncogene	5	0.00017	0.00146	IL6,PLAT,FGFBP1,IL5,SFTPD
POU2F1	POU class 2 homeobox 1	5	0.000292	0.0021	IL5,VWF,PLAU,LGALS4,SPP1
TFCP2	transcription factor CP2	3	0.000293	0.0021	SPP1,A2M,FGA
SRF	serum response factor (c-fos serum response element-binding transcription factor)	4	0.000564	0.00373	MMP9,SERPINE1,PLG,PLAU
DNMT1	DNA (cytosine-5-)-methyltransferase 1	4	0.0013	0.00747	TIMP3,RELN,SFRP5,BMP2
SMAD3	SMAD family member 3	4	0.0013	0.00747	LTBP4,SERPINE1,TNC,MMP9
EP300	E1A binding protein p300	5	0.00177	0.00935	IL5,IL12B,LAMA3,MMP9,IL6
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	6	0.00188	0.00935	FGF2,SERPINE1,HBEGF,PLAU,MUC3A,CTGF
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.00199	0.00935	FGF2,MMP9,IL6,MMP13,CCL3,CXCL10
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	4	0.00207	0.00935	S100P,IL6,PLAU,IGFBP1
