Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	20	7.15e-11	3.14e-09	MMP9,CXCL8,IL12A,COL1A2,MMP14,IL23A,PLAU,MMP12,SFTPA1,SERPINE1,MMP1,MMP13,COL1A1,BGN,COL2A1,MMP3,MUC5AC,MUC6,COL7A1,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	20	8.05e-11	3.14e-09	MMP3,BGN,MMP1,SFTPA1,COL2A1,COL1A2,CXCL8,COL7A1,PLAU,MMP9,MMP13,GDNF,MUC6,MUC5AC,SERPINE1,MMP14,IL12A,CXCL1,COL1A1,IL23A
SP1	Sp1 transcription factor	23	1.18e-09	3.08e-08	FGFBP1,WIF1,COL7A1,MUC5AC,PLAU,COL2A1,SERPINE1,COL18A1,CXCL1,MMP9,MMP28,COL11A2,TGFA,MUC6,TGM4,MMP11,MMP14,SPP1,IGFBP3,COL1A1,LEP,F7,ACAN
JUN	jun proto-oncogene	12	6.37e-08	1.24e-06	MMP7,IL12A,IL23A,MMP9,CXCL8,IL24,MMP13,MMP3,MMP12,IBSP,PLAU,MMP1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	8	1.89e-06	2.95e-05	FGFBP1,MMP10,MMP1,PLAU,MMP13,MMP3,COL1A1,MMP9
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	2.28e-06	2.96e-05	MMP9,FGFBP1,MMP7,MMP3,MMP1,CXCL8,PLAU
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	10	2.8e-06	3.12e-05	MMP7,LEP,MMP9,FGL1,MMP3,MMP10,MMP1,MMP14,IL11,CXCL8
SRF	serum response factor (c-fos serum response element-binding transcription factor)	5	5.68e-06	5.54e-05	MMP14,MMP9,SERPINE1,PLG,PLAU
HDAC1	histone deacetylase 1	7	1.01e-05	8.76e-05	MMP9,IGFBP3,SPP1,CXCL8,SFRP1,MMP28,COL1A2
SMAD3	SMAD family member 3	5	1.73e-05	0.000135	COL7A1,SERPINE1,ANGPTL4,BGLAP,MMP9
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	5	3.19e-05	0.000226	CXCL8,BGLAP,S100P,F7,PLAU
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	4.19e-05	0.000251	MMP3,MMP1,CXCL8,MMP9
RUNX2	runt-related transcription factor 2	4	4.19e-05	0.000251	IBSP,MMP13,IHH,PLAU
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	3	6.31e-05	0.000352	MMP9,MMP14,MMP1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	9.4e-05	0.000489	IGFBP3,SFRP1,SFRP5
EPAS1	endothelial PAS domain protein 1	3	0.000133	0.000649	SERPINE1,COL10A1,MMP14
RARA	retinoic acid receptor, alpha	4	0.000152	0.000699	FGFBP1,PLAU,MUC5AC,SFTPB
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.000349	0.00151	MMP1,CXCL8,MMP3,MMP9
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.000553	0.00227	CXCL8,COL1A2,EGLN3,COL1A1
FOXA2	forkhead box A2	3	0.000851	0.00332	SERPINC1,MMP7,COL18A1
ELF4	E74-like factor 4 (ets domain transcription factor)	2	0.00109	0.00388	MMP9,CXCL8
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00109	0.00388	MMP1,CXCL8
SP3	Sp3 transcription factor	6	0.0013	0.0044	IGFBP3,TGM4,COL1A1,MUC6,COL11A2,COL2A1
ETV4	ets variant 4	3	0.00156	0.00445	MMP14,MMP7,MMP1
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00163	0.00445	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00163	0.00445	WNT3A,RSPO2
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	2	0.00163	0.00445	CXCL8,MMP9
NKX2-1	NK2 homeobox 1	2	0.00163	0.00445	SFTPA1,SFTPB
SIRT1	sirtuin 1	4	0.00165	0.00445	ACAN,COL10A1,COL1A2,MMP9
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	5	0.00189	0.00491	SERPINE1,PLAU,MUC3A,EGLN3,LEP
FLI1	Friend leukemia virus integration 1	3	0.00201	0.00505	MMP1,COL1A2,IGFBP3
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.00207	0.00505	SPP1,SFTPD,LEP,SERPINC1
MSX2	msh homeobox 2	2	0.00227	0.0052	BGLAP,IBSP
NCOA3	nuclear receptor coactivator 3	2	0.00227	0.0052	MMP10,MMP7
SMAD4	SMAD family member 4	3	0.00255	0.00568	COL7A1,BGLAP,SERPINE1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3	0.00284	0.00599	SPP1,WNT11,CXCL8
HDAC2	histone deacetylase 2	3	0.00284	0.00599	MUC5AC,CXCL8,COL1A2
EP300	E1A binding protein p300	4	0.00292	0.006	IGFBP3,MMP9,CXCL8,COL1A2
KLF8	Kruppel-like factor 8	2	0.003	0.006	MMP14,MMP9
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	4	0.00376	0.00712	CXCL8,MMP1,IL24,SFTPD
FOSL1	FOS-like antigen 1	2	0.00383	0.00712	SFTPD,MMP1
TFCP2	transcription factor CP2	2	0.00383	0.00712	SPP1,FGA
CIITA	class II, major histocompatibility complex, transactivator	3	0.00424	0.00768	COL1A1,MMP9,COL1A2
PPARG	peroxisome proliferator-activated receptor gamma	4	0.00529	0.00937	SERPINE1,ANGPTL4,MMP9,MMP1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.00753	0.0131	SPP1,S100P,BGLAP
KLF5	Kruppel-like factor 5 (intestinal)	2	0.00807	0.0134	MMP9,FGFBP1
PPARA	peroxisome proliferator-activated receptor alpha	3	0.0081	0.0134	SERPINE1,ANGPTL4,MMP9
ESR1	estrogen receptor 1	4	0.00867	0.0141	F12,MMP13,TGFA,SERPINE1
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	3	0.00994	0.0158	BGLAP,IGFBP3,CXCL8
ING4	inhibitor of growth family, member 4	2	0.0107	0.0167	CXCL8,SPP1
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	2	0.0137	0.0205	IL23A,CXCL1
FOXM1	forkhead box M1	2	0.0137	0.0205	FGB,SFTPB
E2F1	E2F transcription factor 1	5	0.0141	0.0206	SERPINE1,CTSV,TNFSF11,IL23A,PCSK6
EGR1	early growth response 1	4	0.0143	0.0206	MMP14,PLAU,CXCL8,GDNF
ESR2	estrogen receptor 2 (ER beta)	2	0.017	0.0236	TGFA,SERPINE1
GLI1	GLI family zinc finger 1	2	0.017	0.0236	MUC5AC,SFRP1
FOXA1	forkhead box A1	2	0.0206	0.0281	SFTPB,SERPINC1
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2	0.0225	0.0302	MMP7,MMP14
SOX9	SRY (sex determining region Y)-box 9	2	0.0244	0.0323	COL11A2,COL2A1
PARP1	poly (ADP-ribose) polymerase 1	2	0.0286	0.0365	CXCL1,SERPINE1
TCF4	transcription factor 4	2	0.0286	0.0365	VCAN,CLEC4C
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.033	0.0415	COL18A1,COL1A1
LEF1	lymphoid enhancer-binding factor 1	2	0.0376	0.0466	MMP7,CCL7
DNMT1	DNA (cytosine-5-)-methyltransferase 1	2	0.0425	0.051	SFRP5,SFRP1
RB1	retinoblastoma 1	2	0.0425	0.051	SFTPD,TGFBI
JUND	jun D proto-oncogene	2	0.0502	0.0594	FGFBP1,SFTPD
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0584	0.068	COL1A1,COL1A2
GATA3	GATA binding protein 3	2	0.0613	0.0693	MMP1,CXCL1
POU2F1	POU class 2 homeobox 1	2	0.0613	0.0693	PLAU,SPP1
CREB1	cAMP responsive element binding protein 1	3	0.0706	0.0787	MUC5AC,IBSP,PLAU
HNF4A	hepatocyte nuclear factor 4, alpha	2	0.0823	0.0904	SERPINC1,MMP7
TP53	tumor protein p53	4	0.0971	0.105	MMP1,BGLAP,VCAN,IGFBP3
IRF1	interferon regulatory factor 1	2	0.102	0.109	MMP9,IL12A
BRCA1	breast cancer 1, early onset	2	0.122	0.129	S100A2,CXCL1
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	2	0.174	0.181	MMP9,COL1A1
STAT1	signal transducer and activator of transcription 1, 91kDa	2	0.224	0.23	MMP9,MMP13
YY1	YY1 transcription factor	2	0.251	0.254	COL1A2,POSTN
AR	androgen receptor	2	0.259	0.259	IGFBP3,TGFA
