Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	1.11e-07	4.09e-06	MMP10,MMP1,PLAU,IL5,MMP13,MMP3,VWF,TNC,COL1A1,MMP9
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	18	1.63e-07	4.09e-06	MMP9,COL1A2,HYAL1,PLAU,MMP12,TNC,SFTPA1,MUC5B,IL17C,MMP1,MMP13,COL1A1,VWF,AGT,SERPINA3,MMP3,HBEGF,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	18	1.8e-07	4.09e-06	HYAL1,MMP3,MMP1,IL17C,SERPINA3,SFTPA1,TNC,COL1A2,COL7A1,PLAU,AGT,MMP9,MMP13,MUC5B,VWF,GDNF,HBEGF,COL1A1
SP1	Sp1 transcription factor	22	5.18e-07	8.8e-06	MMRN1,F10,AGT,WIF1,GDF5,COL7A1,HYAL1,TNC,PLAU,COMP,COL18A1,HBEGF,MMP9,MMP28,TGFA,TIMP3,MMP11,SPP1,IGFBP3,COL1A1,LEP,PTN
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	3.95e-06	5.38e-05	MMP1,VWF,MMP3,MMP9,IL5,TNC
JUN	jun proto-oncogene	10	3.69e-05	0.000418	MMP9,MMP13,MMP3,MMP12,PTN,TNC,PLAU,NGF,MGP,MMP1
EP300	E1A binding protein p300	6	0.000108	0.00104	IL5,S100A4,IGFBP3,LAMA3,MMP9,COL1A2
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	7	0.000134	0.00104	LOX,FGF2,HBEGF,PLAU,MUC3A,EGLN3,LEP
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	0.00014	0.00104	FGF2,LEP,MUC5B,MMP9,FGL1,MMP3,MMP10,MMP1,IL11
POU2F1	POU class 2 homeobox 1	5	0.000154	0.00104	IL5,VWF,PLAU,LGALS4,SPP1
HDAC1	histone deacetylase 1	6	0.000402	0.00249	MMP9,IGFBP3,SPP1,SFRP1,MMP28,COL1A2
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000454	0.00257	SPP1,WNT11,FGF2,VWF
CIITA	class II, major histocompatibility complex, transactivator	4	0.00078	0.00379	COL1A1,S100A4,MMP9,COL1A2
SMAD3	SMAD family member 3	4	0.00078	0.00379	COL7A1,TNC,ANGPTL4,MMP9
ING4	inhibitor of growth family, member 4	3	0.000995	0.00442	NGF,ANGPT1,SPP1
FOS	FBJ murine osteosarcoma viral oncogene homolog	5	0.00104	0.00442	MMP9,NGF,MMP3,MMP1,PLAU
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00204	0.00769	MMP3,MMP1,MMP9
RUNX2	runt-related transcription factor 2	3	0.00204	0.00769	MMP13,IHH,PLAU
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00265	0.0082	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00265	0.0082	WNT3A,RSPO2
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00265	0.0082	IL5,MMP13
NKX2-1	NK2 homeobox 1	2	0.00265	0.0082	SFTPA1,SFTPB
FLI1	Friend leukemia virus integration 1	3	0.00405	0.012	MMP1,COL1A2,IGFBP3
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.00455	0.0128	MMP9,PLG,PLAU
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00486	0.0128	MMP9,MMP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.00501	0.0128	SPP1,S100A9,IL5,LEP
RARA	retinoic acid receptor, alpha	3	0.00509	0.0128	ANXA8,PLAU,SFTPB
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00567	0.0136	VWF,COL18A1,COL1A1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.0062	0.0136	IGFBP3,SFRP1
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.0062	0.0136	MMP9,TIMP3
GATA6	GATA binding protein 6	2	0.0062	0.0136	PLAU,VWF
HOXB7	homeobox B7	2	0.00768	0.0158	THBS2,FGF2
POU2F2	POU class 2 homeobox 2	2	0.00768	0.0158	IL5,SPP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.0127	0.0253	COL1A2,EGLN3,COL1A1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.0136	0.0265	COL1A1,COL1A2,CLEC4G
GATA3	GATA binding protein 3	3	0.0147	0.0275	IL5,LOX,MMP1
