Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000171	0.00768	ADAMTS1,SPP1,FGF2,VWF
SP1	Sp1 transcription factor	13	0.00147	0.018	FGFBP1,MMRN1,ADAM23,WIF1,PDGFB,EPO,AREG,COL2A1,COMP,CXCL14,TIMP3,MMP11,SPP1
FOXQ1	forkhead box Q1	2	0.0016	0.018	WNT3A,RSPO2
POU5F1	POU class 5 homeobox 1	3	0.00196	0.018	SPP1,SEMA6A,TDGF1
NCOA3	nuclear receptor coactivator 3	2	0.00222	0.018	EPO,MMP7
HDAC5	histone deacetylase 5	2	0.00294	0.018	SLIT2,FGF2
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00376	0.018	SFRP1,SFRP5
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.00412	0.018	TIMP3,SFRP5,SFRP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3	0.00451	0.018	VWF,IL12B,MMP3
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	9	0.0046	0.018	IL12B,CCL20,MMP12,SDC1,SFTPA1,IL17C,VWF,COL2A1,MMP3
NFIL3	nuclear factor, interleukin 3 regulated	2	0.00466	0.018	VWF,AREG
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	9	0.0048	0.018	MMP3,SDC1,IL17C,SFTPA1,COL2A1,CCL20,VWF,GDNF,IL12B
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	4	0.00958	0.0331	FGFBP1,PF4,MMP3,VWF
ING4	inhibitor of growth family, member 4	2	0.0105	0.0338	ANGPT1,SPP1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	4	0.0113	0.034	FGF2,EPO,MUC3A,MUC1
EGR1	early growth response 1	4	0.0138	0.0389	PDGFB,GDF15,FGF2,GDNF
RUNX2	runt-related transcription factor 2	2	0.0167	0.0397	IBSP,IHH
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	5	0.0171	0.0397	MMP7,FGF2,FGL1,MMP3,MUC1
ELK1	ELK1, member of ETS oncogene family	2	0.0184	0.0397	WISP2,PDGFB
JUN	jun proto-oncogene	5	0.0205	0.0397	MMP7,IL12B,MMP3,MMP12,IBSP
BRCA1	breast cancer 1, early onset	3	0.022	0.0397	FST,AREG,S100A2
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2	0.022	0.0397	FST,MMP7
FOS	FBJ murine osteosarcoma viral oncogene homolog	3	0.022	0.0397	FGFBP1,MMP7,MMP3
GATA1	GATA binding protein 1 (globin transcription factor 1)	3	0.022	0.0397	MUC1,EPO,PF4
SOX2	SRY (sex determining region Y)-box 2	2	0.022	0.0397	SEMA6A,MMP3
TCF4	transcription factor 4	2	0.0281	0.0468	FST,CLEC4C
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0281	0.0468	GDF15,SRPX
RARA	retinoic acid receptor, alpha	2	0.0302	0.0485	FGFBP1,ANXA8
SMAD3	SMAD family member 3	2	0.0417	0.0648	EPO,FST
JUND	jun D proto-oncogene	2	0.0494	0.074	FGFBP1,SFTPD
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.052	0.0755	GDF15,SRPX
GATA3	GATA binding protein 3	2	0.0602	0.0797	MUC1,EPO
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.0602	0.0797	SPP1,S100P
POU2F1	POU class 2 homeobox 1	2	0.0602	0.0797	VWF,SPP1
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.0659	0.0847	ADAMTS1,SFRP1
USF2	upstream transcription factor 2, c-fos interacting	2	0.0871	0.109	PF4,TGFB2
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	2	0.1	0.122	SPP1,SFTPD
EP300	E1A binding protein p300	2	0.117	0.138	EPO,IL12B
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	2	0.131	0.151	GDF15,SFTPD
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	2	0.138	0.155	IL12B,CTSK
USF1	upstream transcription factor 1	2	0.149	0.163	TGFB2,PF4
HDAC1	histone deacetylase 1	2	0.171	0.183	SPP1,SFRP1
STAT1	signal transducer and activator of transcription 1, 91kDa	2	0.22	0.231	FGF2,MUC1
CREB1	cAMP responsive element binding protein 1	2	0.244	0.249	BDNF,IBSP
TP53	tumor protein p53	2	0.515	0.515	GDF15,FGF2
