Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	24	7.69e-12	6.69e-10	CCL4,IL2,MMP9,FASLG,CXCL8,IL23A,HYAL1,PLAU,CXCL2,MMP12,TNC,CCL3,CSF2,SFTPA1,MMP1,MMP13,COL1A1,VWF,AGT,COL2A1,MMP3,MUC5AC,AMH,MUC6
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	23	5.79e-11	2.52e-09	IL2,HYAL1,MMP3,AMH,MMP1,SFTPA1,TNC,COL2A1,CXCL8,PLAU,CCL3,AGT,MMP9,MMP13,CSF2,VWF,MUC6,MUC5AC,CCL4,COL1A1,FASLG,CXCL2,IL23A
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	12	1.05e-09	3.05e-08	CSF2,MMP10,PF4,MMP1,PLAU,MMP13,MMP3,VWF,IL2,TNC,COL1A1,MMP9
JUN	jun proto-oncogene	14	2.55e-08	5.55e-07	DCN,MMP7,IL23A,MMP9,CXCL8,MMP13,CSF2,IL2,MMP3,MMP12,FASLG,TNC,PLAU,MMP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	7	2.54e-07	4.42e-06	MMP1,CXCL8,VWF,CSF2,MMP3,MMP9,TNC
SP1	Sp1 transcription factor	21	3.66e-06	5.31e-05	IL2,AGT,WIF1,GDF5,HYAL1,TNC,MUC5AC,FASLG,PLAU,COL2A1,COMP,HGF,MMP9,MMP28,MUC6,TIMP3,MMP11,SPP1,COL1A1,F7,ACAN
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	5.51e-06	6.84e-05	MMP7,HGF,FGF2,MMP9,FGL1,IL2,MMP3,MMP10,MMP1,MUC1,CXCL8
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	1.48e-05	0.000161	MMP9,MMP7,MMP3,MMP1,CXCL8,NTF3,PLAU
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	7	2.08e-05	0.000201	GDF15,CXCL8,MMP1,S100A9,IL13,FASLG,SFTPD
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	0.000127	0.001	MMP3,MMP1,CXCL8,MMP9
RUNX2	runt-related transcription factor 2	4	0.000127	0.001	MMP13,IHH,ELANE,PLAU
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	5	0.000141	0.00102	CXCL8,CCL26,EGLN3,COL1A1,IL13
RUNX1	runt-related transcription factor 1	5	0.000235	0.00152	CCL3,IL2,ELANE,PF4,CSF2
EGR1	early growth response 1	7	0.000245	0.00152	GDF15,HYAL1,FGF2,PLAU,CXCL8,FASLG,IL2
RARA	retinoic acid receptor, alpha	4	0.000452	0.00262	ANXA8,PLAU,MUC5AC,SFTPB
HDAC1	histone deacetylase 1	6	0.000492	0.00268	IL2,MMP9,SPP1,CXCL8,SFRP1,MMP28
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000524	0.00268	SPP1,FGF2,VWF,CXCL8
CIITA	class II, major histocompatibility complex, transactivator	4	9e-04	0.00412	FASLG,COL1A1,S100A4,MMP9
SMAD3	SMAD family member 3	4	9e-04	0.00412	TNC,ANGPTL4,MMP9,FST
ING4	inhibitor of growth family, member 4	3	0.00111	0.00483	CXCL8,ANGPT1,SPP1
ELF4	E74-like factor 4 (ets domain transcription factor)	2	0.00193	0.00739	MMP9,CXCL8
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00193	0.00739	MMP1,CXCL8
POU2F1	POU class 2 homeobox 1	4	0.00195	0.00739	VWF,PLAU,SPP1,IL2
GLI1	GLI family zinc finger 1	3	0.00227	0.00823	MUC5AC,SFRP1,S100A9
PPARG	peroxisome proliferator-activated receptor gamma	5	0.00238	0.00827	FASLG,GDF15,ANGPTL4,MMP9,MMP1
FOXQ1	forkhead box Q1	2	0.00286	0.00889	WNT3A,RSPO2
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	2	0.00286	0.00889	CXCL8,MMP9
NKX2-1	NK2 homeobox 1	2	0.00286	0.00889	SFTPA1,SFTPB
ILF3	interleukin enhancer binding factor 3, 90kDa	2	0.00397	0.0115	PLAU,IL2
NCOA3	nuclear receptor coactivator 3	2	0.00397	0.0115	MMP10,MMP7
POU5F1	POU class 5 homeobox 1	3	0.0045	0.0126	SPP1,SEMA6A,TDGF1
CREM	cAMP responsive element modulator	3	0.00506	0.013	IL2,FASLG,CCL4
HDAC5	histone deacetylase 5	2	0.00524	0.013	SLIT2,FGF2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00524	0.013	MMP9,MMP1
ZFP36	ZFP36 ring finger protein	2	0.00524	0.013	CXCL8,IL2
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.00574	0.0132	SPP1,S100A9,SFTPD,ELANE
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00631	0.0132	HGF,VWF,COL1A1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	5	0.00636	0.0132	FGF2,PLAU,MUC3A,MUC1,EGLN3
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00668	0.0132	SFRP1,SFRP5
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.00668	0.0132	MMP9,TIMP3
FOSL1	FOS-like antigen 1	2	0.00668	0.0132	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00668	0.0132	PLAU,VWF
TFCP2	transcription factor CP2	2	0.00668	0.0132	SPP1,FGA
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.00669	0.0132	FGF2,MMP9,MUC1,MMP13,CCL3
EP300	E1A binding protein p300	4	0.00798	0.0153	S100A4,LAMA3,MMP9,CXCL8
HOXB7	homeobox B7	2	0.00827	0.0153	THBS2,FGF2
NFIL3	nuclear factor, interleukin 3 regulated	2	0.00827	0.0153	VWF,EREG
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.0093	0.0169	TIMP3,SFRP5,SFRP1
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.013	0.0226	CXCL8,F7,PLAU
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.013	0.0226	GDF15,SRPX,MMP1
ZEB1	zinc finger E-box binding homeobox 1	2	0.0139	0.0238	MUC1,COL4A3
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	4	0.0179	0.03	HGF,MMP9,COL1A1,IGFBP5
PTTG1	pituitary tumor-transforming 1	2	0.0184	0.0302	S100A4,FGF2
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	3	0.0212	0.0342	IL2,AMH,CXCL8
SP3	Sp3 transcription factor	5	0.022	0.0347	HGF,GDF5,COL1A1,MUC6,COL2A1
FOXM1	forkhead box M1	2	0.0234	0.0364	FGB,SFTPB
GLI2	GLI family zinc finger 2	2	0.0261	0.0398	FST,MUC5AC
GATA4	GATA binding protein 4	2	0.0289	0.0434	AMH,FGF10
SIRT1	sirtuin 1	3	0.0301	0.0443	ACAN,COL10A1,MMP9
IRF1	interferon regulatory factor 1	3	0.0351	0.0509	FASLG,OGN,MMP9
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2	0.038	0.0515	FST,MMP7
ETV4	ets variant 4	2	0.038	0.0515	MMP7,MMP1
NR5A1	nuclear receptor subfamily 5, group A, member 1	2	0.038	0.0515	AMH,NOV
SOX2	SRY (sex determining region Y)-box 2	2	0.038	0.0515	SEMA6A,MMP3
CREB1	cAMP responsive element binding protein 1	4	0.0384	0.0515	BDNF,IL2,MUC5AC,PLAU
SOX9	SRY (sex determining region Y)-box 9	2	0.0412	0.0544	AMH,COL2A1
FLI1	Friend leukemia virus integration 1	2	0.0446	0.0579	PF4,MMP1
WT1	Wilms tumor 1	3	0.0464	0.058	NOV,AMH,EREG
CREBBP	CREB binding protein	2	0.048	0.058	CSF2,S100A4
SRF	serum response factor (c-fos serum response element-binding transcription factor)	2	0.048	0.058	MMP9,PLAU
TCF4	transcription factor 4	2	0.048	0.058	FST,VCAN
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.048	0.058	GDF15,SRPX
HDAC2	histone deacetylase 2	2	0.0552	0.0657	MUC5AC,CXCL8
LEF1	lymphoid enhancer-binding factor 1	2	0.0627	0.0737	MMP7,ELANE
YBX1	Y box binding protein 1	2	0.0665	0.0772	MMP13,AGT
ATF2	activating transcription factor 2	2	0.0745	0.0853	FASLG,PLAU
ESR1	estrogen receptor 1	3	0.0922	0.104	F12,AMH,MMP13
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0956	0.107	ELANE,COL1A1
GATA3	GATA binding protein 3	2	0.1	0.11	MUC1,MMP1
PPARA	peroxisome proliferator-activated receptor alpha	2	0.104	0.114	ANGPTL4,MMP9
KLF4	Kruppel-like factor 4 (gut)	2	0.109	0.117	LAMA3,GDF15
E2F1	E2F transcription factor 1	4	0.121	0.129	CTSV,IL23A,PCSK6,CCL3
AR	androgen receptor	3	0.144	0.151	WNT7B,MUC1,NOV
GATA1	GATA binding protein 1 (globin transcription factor 1)	2	0.192	0.199	MUC1,PF4
TP53	tumor protein p53	4	0.201	0.206	GDF15,MMP1,VCAN,FGF2
USF1	upstream transcription factor 1	2	0.233	0.236	AGT,PF4
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2	0.413	0.413	SFRP1,FASLG
