Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	15	1.15e-06	3.5e-05	IFNB1,HYAL1,CCL20,MMP12,FGF8,CCL11,MMP1,MMP13,CXCL5,COL1A1,VWF,AGT,SERPINA3,IL1A,MUC5AC
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	15	1.25e-06	3.5e-05	HYAL1,MMP1,SERPINA3,IL1A,AGT,MMP13,CCL20,CXCL5,CCL11,VWF,MUC5AC,FGF8,COL1A1,IFNB1,A2M
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	2.77e-06	5.17e-05	FGFBP1,MMP7,CSTA,NGF,MMP1,NTF3,IL1A
SP1	Sp1 transcription factor	18	4.46e-06	6.25e-05	FGFBP1,MUC4,F10,AGT,WIF1,HYAL1,SERPINB5,MUC5AC,FBLN1,EGF,CXCL5,AREG,LTBP4,CXCL14,MMP11,SPP1,IGFBP3,COL1A1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	7	2.48e-05	0.000278	FGFBP1,MUC4,PF4,MMP1,MMP13,VWF,COL1A1
JUN	jun proto-oncogene	9	3.84e-05	0.000358	MMP7,IL24,MMP13,IL1A,MMP12,CSTA,NGF,IFNB1,MMP1
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000145	0.00116	VWF,EREG,AREG
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000199	0.00139	SPP1,WNT11,FGF2,VWF
ING4	inhibitor of growth family, member 4	3	0.000529	0.00329	NGF,ANGPT1,SPP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.000618	0.00346	CCL11,CCL26,EGLN3,COL1A1
RUNX2	runt-related transcription factor 2	3	0.00109	0.00556	MMP13,IHH,ELANE
ETV4	ets variant 4	3	0.00169	0.00745	MUC4,MMP7,MMP1
FOXQ1	forkhead box Q1	2	0.00173	0.00745	WNT3A,RSPO2
FLI1	Friend leukemia virus integration 1	3	0.00219	0.00876	PF4,MMP1,IGFBP3
CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon	2	0.0024	0.00897	PRG2,CTSG
RARA	retinoic acid receptor, alpha	3	0.00277	0.00969	FGFBP1,ANXA8,MUC5AC
HDAC5	histone deacetylase 5	2	0.00318	0.0105	SLIT2,FGF2
LEF1	lymphoid enhancer-binding factor 1	3	0.0038	0.0118	MMP7,EDA,ELANE
TFCP2	transcription factor CP2	2	0.00406	0.012	SPP1,A2M
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	6	0.00471	0.0128	MMP7,FGF2,CCL11,A2M,MUC4,MMP1
HOXB7	homeobox B7	2	0.00504	0.0128	THBS2,FGF2
TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	2	0.00504	0.0128	CSTA,ECM1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.00758	0.0185	ELANE,COL1A1,CTSG
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.00817	0.0191	SPP1,MUC4,S100P
STAT1	signal transducer and activator of transcription 1, 91kDa	4	0.0135	0.0302	FGF2,IFNB1,MUC4,MMP13
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2	0.018	0.0387	IFNB1,MMP1
ELK1	ELK1, member of ETS oncogene family	2	0.0198	0.0411	WISP2,MUC4
GATA1	GATA binding protein 1 (globin transcription factor 1)	3	0.0244	0.0487	PRG2,PF4,LTBP4
POU5F1	POU class 5 homeobox 1	2	0.028	0.054	SPP1,SEMA6A
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	3	0.0303	0.0565	ELANE,CTSG,PRG2
HDAC2	histone deacetylase 2	2	0.0348	0.06	MUC5AC,BMP7
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0348	0.06	VWF,COL1A1
SP3	Sp3 transcription factor	4	0.0354	0.06	FBLN1,IGFBP3,COL1A1,MUC4
YBX1	Y box binding protein 1	2	0.0422	0.0663	MMP13,AGT
HDAC1	histone deacetylase 1	3	0.0427	0.0663	IGFBP3,SPP1,SERPINB5
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0427	0.0663	MUC4,ECM1,COL1A1
