Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	9	1.8e-07	8.64e-06	FGFBP1,MUC4,PF4,MMP1,MMP13,MMP3,VWF,BMP4,COL1A1
SP1	Sp1 transcription factor	17	1.53e-05	0.000368	FGFBP1,MUC4,F10,WIF1,HYAL1,FBLN1,AREG,COMP,CXCL1,MMP28,CXCL14,TIMP3,MMP11,IGF2,SPP1,COL1A1,F7
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	13	2.51e-05	0.000401	BMP2,HYAL1,CXCL2,MMP12,SFTPA1,MUC5B,MMP1,MMP13,COL1A1,VWF,MMP3,AMH,CXCL1
HDAC5	histone deacetylase 5	3	6.7e-05	0.000804	IGF2,SLIT2,FGF2
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	12	0.000118	0.00113	HYAL1,MMP3,AMH,MMP1,SFTPA1,MMP13,BMP2,MUC5B,VWF,CXCL1,COL1A1,CXCL2
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000141	0.00113	VWF,EREG,AREG
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000191	0.00131	ADAMTS1,SPP1,FGF2,VWF
WT1	Wilms tumor 1	5	0.000373	0.00224	NOV,CX3CL1,IGF2,AMH,EREG
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	7	0.000902	0.00481	FGF2,MUC5B,FGL1,MUC4,MMP3,MMP1,OSM
POU5F1	POU class 5 homeobox 1	3	0.00213	0.0102	SPP1,LEFTY1,BMP4
BRCA1	breast cancer 1, early onset	4	0.00335	0.0146	FST,AREG,S100A2,CXCL1
FOSL1	FOS-like antigen 1	2	0.00398	0.0159	SFTPD,MMP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3	0.0049	0.0181	MMP1,VWF,MMP3
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.00795	0.0273	SPP1,MUC4,S100P
GATA4	GATA binding protein 4	2	0.0176	0.0473	AMH,FGF10
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2	0.0176	0.0473	MMP3,MMP1
RUNX2	runt-related transcription factor 2	2	0.0176	0.0473	MMP13,IHH
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	3	0.0177	0.0473	SPP1,SFTPD,IGF2
ELK1	ELK1, member of ETS oncogene family	2	0.0194	0.0491	WISP2,MUC4
ETV4	ets variant 4	2	0.0233	0.0496	MUC4,MMP1
NR5A1	nuclear receptor subfamily 5, group A, member 1	2	0.0233	0.0496	AMH,NOV
SOX2	SRY (sex determining region Y)-box 2	2	0.0233	0.0496	BMP4,MMP3
FOS	FBJ murine osteosarcoma viral oncogene homolog	3	0.0238	0.0496	FGFBP1,MMP3,MMP1
FLI1	Friend leukemia virus integration 1	2	0.0275	0.0547	PF4,MMP1
TCF4	transcription factor 4	2	0.0296	0.0547	FST,CLEC4C
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0296	0.0547	POSTN,SRPX
RARA	retinoic acid receptor, alpha	2	0.0319	0.0567	FGFBP1,ANXA8
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0342	0.0586	VWF,COL1A1
DNMT1	DNA (cytosine-5-)-methyltransferase 1	2	0.0441	0.0729	TIMP3,BMP2
ESR1	estrogen receptor 1	3	0.0493	0.0788	F12,AMH,MMP13
JUND	jun D proto-oncogene	2	0.052	0.0797	FGFBP1,SFTPD
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	2	0.0548	0.0797	S100P,F7
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0548	0.0797	SRPX,MMP1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0605	0.0823	COL1A1,CTSG
STAT1	signal transducer and activator of transcription 1, 91kDa	3	0.0628	0.0823	FGF2,MUC4,MMP13
GATA3	GATA binding protein 3	2	0.0634	0.0823	MMP1,CXCL1
POU2F1	POU class 2 homeobox 1	2	0.0634	0.0823	VWF,SPP1
EGR1	early growth response 1	3	0.0701	0.0886	HYAL1,FGF2,IGF2
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	2	0.0756	0.0911	AMH,CST5
YY1	YY1 transcription factor	3	0.0759	0.0911	VWF,MUC4,POSTN
JUN	jun proto-oncogene	4	0.0785	0.0918	MMP13,MMP3,MMP12,MMP1
IRF1	interferon regulatory factor 1	2	0.105	0.12	SLPI,OGN
SP3	Sp3 transcription factor	3	0.124	0.138	FBLN1,COL1A1,MUC4
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	2	0.137	0.15	MMP1,SFTPD
E2F1	E2F transcription factor 1	3	0.177	0.183	MUC4,CTSV,TNFSF11
HDAC1	histone deacetylase 1	2	0.179	0.183	SPP1,MMP28
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	2	0.179	0.183	MUC4,COL1A1
TP53	tumor protein p53	2	0.531	0.531	MMP1,FGF2
