Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	21	3.41e-13	1.22e-11	IFNB1,CCL19,IL6,IL1B,VEGFA,HYAL1,CXCL2,MMP12,FGF8,MUC5B,MMP1,MMP13,VWF,CCL13,SERPINA3,IL1A,MMP3,MUC5AC,HBEGF,AMH,MUC6
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	21	3.88e-13	1.22e-11	HYAL1,MMP3,AMH,MMP1,SERPINA3,IL1B,VEGFA,IL1A,MMP13,MUC5B,CCL13,VWF,GDNF,MUC6,MUC5AC,FGF8,IL6,HBEGF,CCL19,IFNB1,CXCL2
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	12	5.66e-09	1.19e-07	MMP7,LEP,CYR61,MUC5B,CTGF,FGG,SHH,VEGFA,MMP3,MMP10,IL6,MMP1
JUN	jun proto-oncogene	11	1.01e-07	1.59e-06	IL1B,MMP7,CTGF,MMP13,MMP3,IL1A,MMP12,VEGFA,IFNB1,IL6,MMP1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	7	6.86e-06	8.64e-05	MMP10,PF4,MMP1,CTGF,MMP13,MMP3,VWF
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	2.17e-05	0.000195	MMP3,IL1B,IFNB1,MMP1
RUNX2	runt-related transcription factor 2	4	2.17e-05	0.000195	MMP13,VEGFC,IHH,VEGFA
KLF4	Kruppel-like factor 4 (gut)	5	2.77e-05	0.000218	VEGFA,IL6,IL1B,LAMA3,GDF15
ZFP36	ZFP36 ring finger protein	3	3.82e-05	0.000268	VEGFA,SERPINB2,IL6
SP1	Sp1 transcription factor	14	9.14e-05	0.000576	WIF1,HYAL1,MUC5AC,CTGF,VEGFA,COMP,IL6,HBEGF,CXCL14,MUC6,TIMP3,MMP11,SPP1,LEP
EGR1	early growth response 1	6	0.000139	0.000797	GDF15,HYAL1,LTB,VEGFA,IL6,GDNF
WT1	Wilms tumor 1	5	0.000156	0.000818	THBS1,VEGFA,HBEGF,CTGF,AMH
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	5	0.000199	0.000964	GDF15,IL1B,MMP1,IL6,IL13
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	5	0.000897	0.00403	VEGFA,HBEGF,MUC3A,LEP,CTGF
AHR	aryl hydrocarbon receptor	3	0.000959	0.00403	IL6,IL13,IL1B
FOXQ1	forkhead box Q1	2	0.00117	0.0046	WNT3A,VEGFA
FLI1	Friend leukemia virus integration 1	3	0.00124	0.00461	PF4,MMP1,CTGF
NCOA3	nuclear receptor coactivator 3	2	0.00163	0.00555	MMP10,MMP7
FOS	FBJ murine osteosarcoma viral oncogene homolog	4	0.00169	0.00555	MMP7,MMP3,MMP1,IL1A
HDAC2	histone deacetylase 2	3	0.00176	0.00555	MUC5AC,BMP7,VEGFA
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.00264	0.00789	TIMP3,SFRP5,VEGFA
TFCP2	transcription factor CP2	2	0.00275	0.00789	SPP1,FGA
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3	0.00289	0.00792	MMP1,VWF,MMP3
EPAS1	endothelial PAS domain protein 1	2	0.00342	0.00829	COL10A1,VEGFA
