Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	25	2.35e-16	1.11e-14	CCL4,IL6,CXCL8,IL1B,IL10,BMP2,HYAL1,CCL20,CCL22,CCL2,CXCL2,MMP12,CSF2,SERPINE1,MMP1,MMP13,CXCL5,COL1A1,VWF,COL2A1,IL1A,MMP3,FN1,HBEGF,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	2.75e-16	1.11e-14	HYAL1,MMP3,MMP1,IL1B,COL2A1,CXCL8,FN1,IL1A,MMP13,BMP2,CCL20,CXCL5,CSF2,VWF,GDNF,IL10,IL6,SERPINE1,HBEGF,CCL4,CCL22,CXCL1,COL1A1,CXCL2,CCL2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	5.12e-09	1.38e-07	CSF2,FGFBP1,MMP10,PF4,MMP1,MMP13,MMP3,VWF,BMP4,COL1A1
SP1	Sp1 transcription factor	21	7.95e-09	1.61e-07	FGFBP1,MMRN1,WIF1,CCL2,HYAL1,PDGFB,EGF,CXCL5,AREG,COL2A1,COMP,IL6,SERPINE1,HBEGF,CXCL1,IL10,CXCL14,TGM4,MMP11,SPP1,COL1A1
JUN	jun proto-oncogene	12	2.69e-08	4.36e-07	IL1B,CCL2,CXCL8,MMP13,CSF2,MMP3,IL1A,MMP12,IBSP,NGF,IL6,MMP1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	1.55e-07	2.09e-06	FGG,IL10,FGL1,MMP3,MMP10,IL6,MMP1,OSM,CCL2,MUC1,CXCL8
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	7	6.23e-07	7.21e-06	SPP1,IL10,S100A9,ELANE,IL6,FN1,CCL2
NFIL3	nuclear factor, interleukin 3 regulated	4	1.79e-06	1.81e-05	VWF,EREG,IL1B,AREG
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	1.39e-05	0.000125	MMP1,CXCL8,VWF,CSF2,MMP3
FOS	FBJ murine osteosarcoma viral oncogene homolog	6	1.96e-05	0.000159	FGFBP1,NGF,MMP3,MMP1,CXCL8,IL1A
EGR1	early growth response 1	7	2.52e-05	0.000178	PDGFB,HYAL1,FN1,LTB,CXCL8,IL6,GDNF
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	6	2.64e-05	0.000178	IL10,CXCL8,IL1B,MMP1,IL6,S100A9
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	3.09e-05	0.000179	MMP3,IL1B,MMP1,CXCL8
RUNX2	runt-related transcription factor 2	4	3.09e-05	0.000179	IBSP,MMP13,IHH,ELANE
ZFP36	ZFP36 ring finger protein	3	5.01e-05	0.00027	SERPINB2,IL6,CXCL8
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	4	5.69e-05	0.000288	IL6,CCL2,IL1B,IL10
PARP1	poly (ADP-ribose) polymerase 1	4	9.62e-05	0.000459	CXCL1,SERPINE1,FN1,IL10
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000131	0.000592	ADAMTS1,SPP1,VWF,CXCL8
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.000176	0.000751	IL6,CCL2,MUC1,IL1B,MMP13,IL10
ING4	inhibitor of growth family, member 4	3	0.000387	0.00157	CXCL8,NGF,SPP1
GATA3	GATA binding protein 3	4	0.000508	0.00196	MUC1,IL10,MMP1,CXCL1
XBP1	X-box binding protein 1	3	8e-04	0.00295	CCL2,IL6,CXCL8
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.000938	0.00316	MMP1,CXCL8
ZNF300	zinc finger protein 300	2	0.000938	0.00316	CXCL8,IL6
SOX2	SRY (sex determining region Y)-box 2	3	0.00124	0.00403	BMP4,SEMA6A,MMP3
FLI1	Friend leukemia virus integration 1	3	0.00161	0.00484	PF4,MMP1,IL10
POU5F1	POU class 5 homeobox 1	3	0.00161	0.00484	SPP1,SEMA6A,BMP4
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00228	0.0066	CCL2,VWF,COL1A1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00329	0.0086	SFRP1,SFRP5
TFCP2	transcription factor CP2	2	0.00329	0.0086	SPP1,FGA
ZNF148	zinc finger protein 148	2	0.00329	0.0086	CXCL5,MMP3
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.0034	0.00862	SFRP5,BMP2,SFRP1
EPAS1	endothelial PAS domain protein 1	2	0.00409	0.00973	SERPINE1,COL10A1
SNAI1	snail homolog 1 (Drosophila)	2	0.00409	0.00973	FN1,HBEGF
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.00482	0.0106	CXCL8,IL6,CCL2
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.00482	0.0106	SRPX,MMP1,FN1
IRF8	interferon regulatory factor 8	2	0.00496	0.0106	IL10,IL1B
MSC	musculin	2	0.00496	0.0106	LTA,IL10
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.00522	0.0108	CXCL8,CCL17,COL1A1
RUNX1	runt-related transcription factor 1	3	0.00702	0.0142	ELANE,PF4,CSF2
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	3	0.00804	0.0159	IL6,IL10,CXCL8
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	4	0.009	0.0174	SERPINE1,HBEGF,MUC3A,MUC1
TBP	TATA box binding protein	2	0.00923	0.0174	IL6,PPBP
SIRT1	sirtuin 1	3	0.0116	0.0208	IL1B,COL10A1,ADAMTS5
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	2	0.0118	0.0208	CCL20,CXCL1
HMGA1	high mobility group AT-hook 1	2	0.0118	0.0208	CXCL1,IL1B
DDIT3	DNA-damage-inducible transcript 3	2	0.0132	0.0227	IL6,CXCL8
GLI1	GLI family zinc finger 1	2	0.0147	0.0247	SFRP1,S100A9
EP300	E1A binding protein p300	3	0.0176	0.029	S100A4,CXCL8,IL6
AHR	aryl hydrocarbon receptor	2	0.0194	0.0315	IL6,IL1B
FOXO1	forkhead box O1	2	0.0229	0.0351	PDGFB,IL6
HDAC4	histone deacetylase 4	2	0.0229	0.0351	MMP13,IL10
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	3	0.023	0.0351	IL1B,CCL2,ELANE
CREBBP	CREB binding protein	2	0.0247	0.0364	CSF2,S100A4
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0247	0.0364	FN1,SRPX
SP3	Sp3 transcription factor	4	0.0252	0.0364	HBEGF,TGM4,COL1A1,COL2A1
NR1I2	nuclear receptor subfamily 1, group I, member 2	2	0.0266	0.0372	CCL2,IL10
RARA	retinoic acid receptor, alpha	2	0.0266	0.0372	FGFBP1,ANXA8
HDAC2	histone deacetylase 2	2	0.0286	0.0392	CXCL8,CCL2
HDAC1	histone deacetylase 1	3	0.0326	0.044	SPP1,CXCL8,SFRP1
CIITA	class II, major histocompatibility complex, transactivator	2	0.0369	0.0482	COL1A1,S100A4
HSF1	heat shock transcription factor 1	2	0.0369	0.0482	IL1B,SERPINE1
JUND	jun D proto-oncogene	2	0.0437	0.0562	IL6,FGFBP1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0509	0.0644	ELANE,COL1A1
POU2F1	POU class 2 homeobox 1	2	0.0534	0.0665	VWF,SPP1
PPARA	peroxisome proliferator-activated receptor alpha	2	0.0559	0.0686	SERPINE1,IL6
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.0585	0.0689	ADAMTS1,SFRP1
KLF4	Kruppel-like factor 4 (gut)	2	0.0585	0.0689	IL6,IL1B
CREB1	cAMP responsive element binding protein 1	3	0.0587	0.0689	IBSP,IL6,IL10
BRCA1	breast cancer 1, early onset	2	0.108	0.121	AREG,CXCL1
GATA1	GATA binding protein 1 (globin transcription factor 1)	2	0.108	0.121	MUC1,PF4
WT1	Wilms tumor 1	2	0.108	0.121	HBEGF,EREG
USF1	upstream transcription factor 1	2	0.134	0.148	SERPINE1,PF4
PPARG	peroxisome proliferator-activated receptor gamma	2	0.137	0.15	SERPINE1,MMP1
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	2	0.154	0.166	ECM1,COL1A1
ESR1	estrogen receptor 1	2	0.171	0.182	MMP13,SERPINE1
YY1	YY1 transcription factor	2	0.224	0.236	IL1B,VWF
AR	androgen receptor	2	0.232	0.24	FN1,MUC1
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2	0.257	0.263	SFRP1,IL6
E2F1	E2F transcription factor 1	2	0.379	0.384	IL1B,SERPINE1
TP53	tumor protein p53	2	0.479	0.479	S100B,MMP1
