Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RUNX2	runt-related transcription factor 2	4	1.39e-05	0.000514	IBSP,MMP13,IHH,ELANE
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	4.07e-05	0.000753	IGFBP3,SFRP1,SFRP5
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	5	0.000429	0.00529	PF4,MMP1,MMP13,MMP3,IGFBP1
FLI1	Friend leukemia virus integration 1	3	0.000899	0.00735	PF4,MMP1,IGFBP3
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	6	0.000994	0.00735	FGF2,FGL1,MMP3,MMP1,IL11,MUC1
SP1	Sp1 transcription factor	11	0.00147	0.00908	WIF1,HYAL1,MUC5AC,EGF,COMP,CXCL14,TGM4,MMP11,SPP1,IGFBP3,IGFBP1
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	8	0.00296	0.0142	HYAL1,CCL22,MMP12,SDC1,MMP1,MMP13,MMP3,MUC5AC
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	8	0.00308	0.0142	HYAL1,MMP3,SDC1,MMP1,MMP13,GDNF,MUC5AC,CCL22
EGR1	early growth response 1	4	0.00546	0.0224	GDF15,HYAL1,FGF2,GDNF
HOXA10	homeobox A10	2	0.00624	0.0231	IGFBP1,IL11
JUN	jun proto-oncogene	5	0.00698	0.0235	MMP13,MMP3,MMP12,IBSP,MMP1
HDAC9	histone deacetylase 9	2	0.00895	0.0255	MMP13,IGFBP1
GLI1	GLI family zinc finger 1	2	0.00995	0.0255	MUC5AC,SFRP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2	0.00995	0.0255	MMP3,MMP1
TP53	tumor protein p53	5	0.0103	0.0255	S100B,GDF15,MMP1,FGF2,IGFBP3
POU5F1	POU class 5 homeobox 1	2	0.0156	0.0346	SPP1,TDGF1
PPARG	peroxisome proliferator-activated receptor gamma	3	0.0159	0.0346	GDF15,ANGPTL4,MMP1
RARA	retinoic acid receptor, alpha	2	0.0182	0.0362	ANXA8,MUC5AC
HDAC1	histone deacetylase 1	3	0.0193	0.0362	IGFBP3,SPP1,SFRP1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	2	0.0196	0.0362	SPP1,FGF2
DNMT1	DNA (cytosine-5-)-methyltransferase 1	2	0.0254	0.0448	SFRP5,SFRP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	2	0.027	0.0454	MMP1,MMP3
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3	0.029	0.0461	FGF2,MUC3A,MUC1
STAT1	signal transducer and activator of transcription 1, 91kDa	3	0.0299	0.0461	FGF2,MUC1,MMP13
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0319	0.0472	GDF15,MMP1
CREB1	cAMP responsive element binding protein 1	3	0.0356	0.0502	BDNF,MUC5AC,IBSP
GATA3	GATA binding protein 3	2	0.0371	0.0502	MUC1,MMP1
PPARA	peroxisome proliferator-activated receptor alpha	2	0.0389	0.0502	ANGPTL4,IGFBP1
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.0407	0.0502	IGFBP1,SFRP1
RUNX1	runt-related transcription factor 1	2	0.0407	0.0502	ELANE,PF4
SP3	Sp3 transcription factor	3	0.0623	0.0727	IGFBP3,TGM4,IGFBP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	2	0.0629	0.0727	SPP1,ELANE
FOS	FBJ murine osteosarcoma viral oncogene homolog	2	0.0763	0.0831	MMP3,MMP1
GATA1	GATA binding protein 1 (globin transcription factor 1)	2	0.0763	0.0831	MUC1,PF4
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	2	0.0834	0.0881	GDF15,MMP1
ESR1	estrogen receptor 1	2	0.124	0.127	F12,MMP13
AR	androgen receptor	2	0.171	0.171	MUC1,IGFBP3
