Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	29	1.85e-16	1.46e-14	MMP9,IL6,IL1RN,IL23A,BMP2,HYAL1,CCL22,PLAU,CXCL2,MMP12,TIMP1,CSF2,SFTPA1,MUC5B,MUC17,IL17C,MMP1,MMP13,CXCL5,COL1A1,VWF,AGT,CCL13,SERPINA3,MMP3,MUC5AC,HBEGF,MUC6,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	28	1.85e-15	7.31e-14	HYAL1,MMP3,MUC17,MMP1,IL17C,SERPINA3,SFTPA1,TIMP1,COL7A1,PLAU,AGT,MMP9,MMP13,BMP2,CXCL5,CSF2,MUC5B,CCL13,VWF,MUC6,IL1RN,MUC5AC,IL6,HBEGF,CCL22,COL1A1,CXCL2,IL23A
SP1	Sp1 transcription factor	25	1e-08	2.65e-07	MUC4,MMRN1,AGT,WIF1,COL7A1,HYAL1,SERPINB5,MUC5AC,CXCL5,PLAU,COMP,IL6,TIMP1,HBEGF,MMP9,MMP28,COL11A2,TGFA,MUC6,TIMP3,TGM4,MMP11,SPP1,COL1A1,PTN
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	1.33e-07	2.64e-06	CSF2,MUC4,PF4,MMP1,PLAU,MMP13,MMP3,VWF,COL1A1,MMP9
JUN	jun proto-oncogene	12	1.12e-06	1.77e-05	MMP7,IL23A,MMP9,MMP13,CSF2,MMP3,MMP12,IBSP,PTN,PLAU,IL6,MMP1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	4.6e-06	6.05e-05	MMP7,TIMP1,IL1RN,CYR61,MUC5B,MMP9,FGG,MUC4,MMP3,IL6,MMP1
DNMT1	DNA (cytosine-5-)-methyltransferase 1	5	6.16e-05	0.000695	TIMP3,RELN,SFRP5,BMP2,SFRP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	7.22e-05	0.000713	MMP1,VWF,CSF2,MMP3,MMP9
RUNX2	runt-related transcription factor 2	4	0.000118	0.00103	IBSP,MMP13,IHH,PLAU
HDAC1	histone deacetylase 1	6	0.000445	0.00352	MMP9,SPP1,RELN,SERPINB5,SFRP1,MMP28
SMAD3	SMAD family member 3	4	0.000838	0.00602	COL7A1,ANGPTL4,MMP9,FST
SP3	Sp3 transcription factor	7	0.000991	0.00652	HBEGF,TIMP1,TGM4,COL1A1,MUC6,COL11A2,MUC4
FOS	FBJ murine osteosarcoma viral oncogene homolog	5	0.00113	0.00689	MMP9,MMP7,MMP3,MMP1,PLAU
POU2F1	POU class 2 homeobox 1	4	0.00182	0.0103	VWF,PLAU,LGALS4,SPP1
GLI1	GLI family zinc finger 1	3	0.00215	0.0106	CYR61,MUC5AC,SFRP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00215	0.0106	MMP3,MMP1,MMP9
FOXQ1	forkhead box Q1	2	0.00276	0.0121	WNT3A,RSPO2
NKX2-1	NK2 homeobox 1	2	0.00276	0.0121	SFTPA1,SFTPB
ETV4	ets variant 4	3	0.00332	0.0138	MUC4,MMP7,MMP1
POU5F1	POU class 5 homeobox 1	3	0.00427	0.0164	SPP1,SEMA6A,TDGF1
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00505	0.0164	MMP9,MMP1
ZFP36	ZFP36 ring finger protein	2	0.00505	0.0164	SERPINB2,IL6
RARA	retinoic acid receptor, alpha	3	0.00537	0.0164	PLAU,MUC5AC,SFTPB
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3	0.00599	0.0164	ADAMTS1,SPP1,VWF
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.00619	0.0164	MMP9,MUC4,IL6,TIMP1,MMP13
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00644	0.0164	SFRP1,SFRP5
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.00644	0.0164	MMP9,TIMP3
FOSL1	FOS-like antigen 1	2	0.00644	0.0164	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00644	0.0164	PLAU,VWF
TFCP2	transcription factor CP2	2	0.00644	0.0164	SPP1,FGA
ZNF148	zinc finger protein 148	2	0.00644	0.0164	CXCL5,MMP3
HOXB7	homeobox B7	2	0.00797	0.0185	THBS2,WNT5A
PPARD	peroxisome proliferator-activated receptor delta	2	0.00797	0.0185	ANGPTL4,TIMP1
SPDEF	SAM pointed domain containing ets transcription factor	2	0.00797	0.0185	SERPINB5,MMP9
CREB1	cAMP responsive element binding protein 1	5	0.00824	0.0186	MUC5AC,IBSP,MUC4,IL6,PLAU
JUND	jun D proto-oncogene	3	0.0114	0.025	IL6,TIMP1,SFTPD
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.0124	0.0257	S100P,IL6,PLAU
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.0124	0.0257	TIMP1,SRPX,MMP1
ZEB1	zinc finger E-box binding homeobox 1	2	0.0134	0.0272	LAMC2,COL4A3
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.0154	0.0305	SPP1,MUC4,S100P
PPARA	peroxisome proliferator-activated receptor alpha	3	0.0166	0.0312	IL6,ANGPTL4,MMP9
RUNX1	runt-related transcription factor 1	3	0.0177	0.0312	TIMP1,PF4,CSF2
FOSL2	FOS-like antigen 2	2	0.0178	0.0312	IBSP,TIMP1
ING4	inhibitor of growth family, member 4	2	0.0178	0.0312	ANGPT1,SPP1
TBP	TATA box binding protein	2	0.0178	0.0312	IL6,PPBP
FOXA2	forkhead box A2	2	0.0252	0.0424	TPO,MMP7
GLI2	GLI family zinc finger 2	2	0.0252	0.0424	FST,MUC5AC
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	4	0.0281	0.0462	HBEGF,PLAU,MUC3A,EGLN3
ELK1	ELK1, member of ETS oncogene family	2	0.0307	0.0496	WISP2,MUC4
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	3	0.0335	0.0522	SPP1,SFTPD,IL6
PAX5	paired box 5	2	0.0337	0.0522	MMP1,TIMP1
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	2	0.0367	0.0547	FST,MMP7
SOX2	SRY (sex determining region Y)-box 2	2	0.0367	0.0547	SEMA6A,MMP3
FLI1	Friend leukemia virus integration 1	2	0.0431	0.063	PF4,MMP1
SRF	serum response factor (c-fos serum response element-binding transcription factor)	2	0.0464	0.0655	MMP9,PLAU
TCF4	transcription factor 4	2	0.0464	0.0655	FST,VCAN
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	3	0.0503	0.0697	MMP1,IL6,SFTPD
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0533	0.0726	VWF,COL1A1
PPARG	peroxisome proliferator-activated receptor gamma	3	0.0634	0.0833	ANGPTL4,MMP9,MMP1
RUNX3	runt-related transcription factor 3	2	0.0643	0.0833	TIMP1,MMP9
YBX1	Y box binding protein 1	2	0.0643	0.0833	MMP13,AGT
CIITA	class II, major histocompatibility complex, transactivator	2	0.0682	0.0855	COL1A1,MMP9
RB1	retinoblastoma 1	2	0.0682	0.0855	SFTPD,TGFBI
CDX2	caudal type homeobox 2	2	0.0721	0.089	MUC17,REG4
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	3	0.0754	0.0916	MUC4,MMP9,COL1A1
ESR1	estrogen receptor 1	3	0.0883	0.104	F12,MMP13,TGFA
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2	0.0884	0.104	EGLN3,COL1A1
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.106	0.123	ADAMTS1,SFRP1
E2F1	E2F transcription factor 1	4	0.115	0.132	MUC4,SERPINB5,TNFSF11,IL23A
EGR1	early growth response 1	3	0.123	0.138	HYAL1,PLAU,IL6
YY1	YY1 transcription factor	3	0.132	0.147	VWF,MUC4,CCL13
SIRT1	sirtuin 1	2	0.142	0.156	COL10A1,MMP9
IRF1	interferon regulatory factor 1	2	0.157	0.17	OGN,MMP9
EP300	E1A binding protein p300	2	0.181	0.194	MMP9,IL6
BRCA1	breast cancer 1, early onset	2	0.186	0.196	FST,S100A2
USF1	upstream transcription factor 1	2	0.227	0.236	AGT,PF4
AR	androgen receptor	2	0.369	0.379	SERPINB5,TGFA
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2	0.404	0.409	SFRP1,IL6
TP53	tumor protein p53	2	0.665	0.665	MMP1,VCAN
