Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	28	9.46e-16	7.85e-14	CCL4,CCL19,CXCL10,MMP9,IL6,COL1A2,IL12B,MMP14,IL23A,HYAL1,CCL20,TNFSF10,PLAU,MMP12,TNC,TIMP1,MUC5B,SERPINE1,IL17C,MMP1,MMP13,COL1A1,BGN,MMP3,MUC5AC,MUC6,COL7A1,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	27	9.22e-15	3.82e-13	HYAL1,MMP3,BGN,MMP1,IL17C,TNC,TIMP1,COL1A2,COL7A1,PLAU,CXCL10,MMP9,MMP13,CCL20,MUC5B,MUC6,IL12B,MUC5AC,IL6,SERPINE1,MMP14,CCL4,CXCL1,COL1A1,CCL19,TNFSF10,IL23A
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	15	9.34e-10	2.58e-08	MMP7,TIMP1,FGF2,CYR61,MUC5B,PGF,MMP9,FGL1,MUC4,MMP3,IL6,MMP1,OSM,MMP14,IL11
JUN	jun proto-oncogene	14	1.58e-08	3.27e-07	MMP7,IL23A,MMP9,IL24,MMP13,IL12B,MMP3,MMP12,LGALS3,CSTA,TNC,PLAU,IL6,MMP1
SP1	Sp1 transcription factor	24	3.02e-08	5.01e-07	MUC4,WIF1,COL7A1,HYAL1,TNC,MUC5AC,TNFSF10,IGFBP4,PLAU,COMP,IL6,SERPINE1,TIMP1,COL18A1,CXCL1,MMP9,CXCL14,MUC6,TIMP3,MMP11,MMP14,SPP1,COL1A1,ACAN
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	1.11e-07	1.54e-06	MUC4,PF4,MMP1,PLAU,IL5,MMP13,MMP3,TNC,COL1A1,MMP9
EGR1	early growth response 1	9	3.02e-06	3.58e-05	TNFSF10,MMP14,GDF15,HYAL1,LTB,FGF2,WNT4,PLAU,IL6
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	3.95e-06	4.1e-05	MMP1,IL12B,MMP3,MMP9,IL5,TNC
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	7	1.63e-05	0.000142	GDF15,MMP1,IL6,IL5,S100A9,TNFAIP6,IL24
STAT1	signal transducer and activator of transcription 1, 91kDa	8	1.83e-05	0.000142	FGF2,MMP9,MUC4,IL6,TIMP1,MMP13,S100A10,CXCL10
SRF	serum response factor (c-fos serum response element-binding transcription factor)	5	1.88e-05	0.000142	MMP14,MMP9,SERPINE1,PLG,PLAU
SMAD3	SMAD family member 3	5	5.62e-05	0.000389	COL7A1,SERPINE1,TNC,ANGPTL4,MMP9
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	4	6.85e-05	0.000437	IL23A,TNFAIP6,CCL20,CXCL1
EP300	E1A binding protein p300	6	0.000108	0.000604	IL5,IL12B,LAMA3,MMP9,IL6,COL1A2
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	0.000109	0.000604	TNFSF10,MMP3,MMP1,MMP9
FOS	FBJ murine osteosarcoma viral oncogene homolog	6	0.000119	0.000619	MMP9,MMP7,CSTA,MMP3,MMP1,PLAU
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	3	0.000131	0.000641	MMP9,MMP14,MMP1
ETV4	ets variant 4	4	2e-04	0.00092	MMP14,MUC4,MMP7,MMP1
EPAS1	endothelial PAS domain protein 1	3	0.000276	0.00121	SERPINE1,COL10A1,MMP14
IRF1	interferon regulatory factor 1	5	0.000623	0.00259	CXCL10,TNFSF10,IL12B,OGN,MMP9
RUNX3	runt-related transcription factor 3	4	0.000687	0.00271	WNT4,TIMP1,MMP9,CLEC4G
TBP	TATA box binding protein	3	0.000995	0.00375	IL6,PPBP,IGFBP4
JUND	jun D proto-oncogene	4	0.00111	0.00402	IL6,CSTA,IL5,TIMP1
PPARA	peroxisome proliferator-activated receptor alpha	4	0.00187	0.00626	SERPINE1,IL6,ANGPTL4,MMP9
PPARG	peroxisome proliferator-activated receptor gamma	5	0.00201	0.00626	SERPINE1,GDF15,ANGPTL4,MMP9,MMP1
GLI1	GLI family zinc finger 1	3	0.00204	0.00626	CYR61,MUC5AC,S100A9
