Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	9	1.59e-07	7.46e-06	CSF2,FGFBP1,PF4,MMP1,PRL,VWF,TNC,BMP4,COL1A1
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	13	2.15e-05	0.00036	MMP12,TNC,TIMP1,CSF2,SDC1,MUC5B,MMP1,COL1A1,VWF,BGN,MUC5AC,HBEGF,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	13	2.3e-05	0.00036	SDC1,BGN,MMP1,TNC,TIMP1,CSF2,MUC5B,VWF,GDNF,MUC5AC,HBEGF,CXCL1,COL1A1
POU5F1	POU class 5 homeobox 1	4	0.000112	0.00132	SPP1,LEFTY1,SEMA6A,BMP4
SP1	Sp1 transcription factor	15	0.000167	0.00157	FGFBP1,MMRN1,GDF5,TNC,SERPINB5,MUC5AC,COMP,TIMP1,ADIPOQ,HBEGF,CXCL1,CXCL14,MMP11,SPP1,COL1A1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.000355	0.00278	MMP1,VWF,CSF2,TNC
RUNX1	runt-related transcription factor 1	4	0.000845	0.00568	TIMP1,ELANE,PF4,CSF2
RUNX2	runt-related transcription factor 2	3	0.00102	0.00598	VEGFC,IHH,ELANE
RARA	retinoic acid receptor, alpha	3	0.00258	0.0135	FGFBP1,ANXA8,MUC5AC
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3	0.00288	0.0136	ADAMTS1,SPP1,VWF
LEF1	lymphoid enhancer-binding factor 1	3	0.00355	0.0151	MMP7,PRL,ELANE
TFCP2	transcription factor CP2	2	0.00387	0.0151	SPP1,FGA
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	6	0.00418	0.0151	MMP7,TIMP1,MUC5B,FGG,MMP1,MUC1
NFIL3	nuclear factor, interleukin 3 regulated	2	0.0048	0.0161	VWF,EREG
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.00606	0.019	TIMP1,GDF15,MMP1
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.00709	0.0208	ELANE,COL1A1,CLEC4G
GATA3	GATA binding protein 3	3	0.00764	0.0211	MUC1,MMP1,CXCL1
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	2	0.0138	0.0361	PRL,CXCL1
FOXA2	forkhead box A2	2	0.0154	0.0382	TPO,MMP7
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	3	0.017	0.0401	SPP1,PRL,ELANE
PAX5	paired box 5	2	0.0208	0.0413	MMP1,TIMP1
JUN	jun proto-oncogene	5	0.0218	0.0413	MMP7,CSF2,MMP12,TNC,MMP1
ETV4	ets variant 4	2	0.0227	0.0413	MMP7,MMP1
SOX2	SRY (sex determining region Y)-box 2	2	0.0227	0.0413	BMP4,SEMA6A
FOS	FBJ murine osteosarcoma viral oncogene homolog	3	0.0229	0.0413	FGFBP1,MMP7,MMP1
WT1	Wilms tumor 1	3	0.0229	0.0413	NOV,HBEGF,EREG
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	3	0.0261	0.0449	GDF15,MMP1,PRL
FLI1	Friend leukemia virus integration 1	2	0.0267	0.0449	PF4,MMP1
SP3	Sp3 transcription factor	4	0.0328	0.0506	HBEGF,TIMP1,GDF5,COL1A1
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0333	0.0506	VWF,COL1A1
PPARG	peroxisome proliferator-activated receptor gamma	3	0.0334	0.0506	GDF15,ADIPOQ,MMP1
RUNX3	runt-related transcription factor 3	2	0.0404	0.0593	TIMP1,CLEC4G
JUND	jun D proto-oncogene	2	0.0507	0.0722	FGFBP1,TIMP1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3	0.0589	0.0807	HBEGF,MUC3A,MUC1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.0618	0.0807	SPP1,S100P
POU2F1	POU class 2 homeobox 1	2	0.0618	0.0807	VWF,SPP1
EZH2	enhancer of zeste homolog 2 (Drosophila)	2	0.0676	0.0837	ADAMTS1,PRL
KLF4	Kruppel-like factor 4 (gut)	2	0.0676	0.0837	LAMA3,GDF15
CREB1	cAMP responsive element binding protein 1	3	0.0714	0.0861	BDNF,MUC5AC,PRL
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	2	0.0737	0.0866	PRL,CST5
AR	androgen receptor	3	0.0771	0.0884	SERPINB5,MUC1,NOV
GATA1	GATA binding protein 1 (globin transcription factor 1)	2	0.123	0.138	MUC1,PF4
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	2	0.141	0.155	ELANE,CLEC4G
HDAC1	histone deacetylase 1	2	0.175	0.187	SPP1,SERPINB5
STAT1	signal transducer and activator of transcription 1, 91kDa	2	0.225	0.235	MUC1,TIMP1
EGR1	early growth response 1	2	0.241	0.246	GDF15,GDNF
TP53	tumor protein p53	2	0.523	0.523	GDF15,MMP1
