Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
SP1	Sp1 transcription factor	27	1.67e-07	1.44e-05	MUC4,MMRN1,FGL2,F10,TIMP2,ADAM23,WIF1,MMP2,HYAL1,PDGFB,SERPINB5,MUC5AC,FBLN1,FBN1,EGF,CXCL5,COL2A1,LTBP4,HGF,MMP9,MMP28,TIMP3,PLAT,SPP1,IGFBP1,PTN,ACAN
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	13	2.04e-06	8.75e-05	HGF,FGF2,MUC5B,PGF,MMP9,MMP2,FGG,A2M,FGL1,MUC4,LTBP1,FGF1,MUC1
PTTG1	pituitary tumor-transforming 1	4	0.000126	0.00289	S100A4,TIMP2,FGF2,LGALS1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	8	0.000135	0.00289	MMP2,CXCL12,LOX,TGFB3,FGF2,TIMP2,MUC3A,MUC1
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	7	0.000307	0.00485	HGF,MMP2,MUC4,MMP9,ECM1,IGFBP5,TIMP2
RUNX2	runt-related transcription factor 2	4	0.000339	0.00485	MMP2,MMP13,IHH,ELANE
JUN	jun proto-oncogene	10	0.000411	0.00505	DCN,PLAT,MMP9,MMP2,MMP13,MMP12,PTN,CSTA,TIMP2,FGF7
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	7	0.000591	0.00626	MUC4,PF4,IL5,MMP13,VWF,IGFBP1,MMP9
TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	3	0.000655	0.00626	CSTA,MMP2,ECM1
SP3	Sp3 transcription factor	8	0.00109	0.00923	FBLN1,TIMP2,HGF,IGFBP1,PLAT,MMP2,COL2A1,MUC4
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	14	0.00131	0.00923	FGF7,MMP9,CXCL12,COL1A2,MMP2,HYAL1,MMP12,MUC5B,MMP13,CXCL5,VWF,COL2A1,SERPINA3,MUC5AC
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.00137	0.00923	SPP1,WNT11,FGF2,VWF
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	14	0.0014	0.00923	HYAL1,SERPINA3,CXCL12,COL2A1,COL1A2,MMP2,FGF7,MMP9,MMP13,CXCL5,MUC5B,VWF,MUC5AC,A2M
HDAC1	histone deacetylase 1	6	0.00186	0.0108	MMP9,SPP1,SERPINB5,SFRP1,MMP28,COL1A2
SNAI2	snail homolog 2 (Drosophila)	3	0.00188	0.0108	MMP17,MMP9,CXCL12
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.00231	0.0117	SPP1,S100A9,IL5,SFTPD,ELANE
SMAD3	SMAD family member 3	4	0.00231	0.0117	LTBP4,FSTL3,MMP9,FST
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.00261	0.0125	VWF,MMP9,MMP2,IL5
JUND	jun D proto-oncogene	4	0.00327	0.0148	PLAT,CSTA,IL5,SFTPD
GLI1	GLI family zinc finger 1	3	0.00468	0.0177	MUC5AC,SFRP1,S100A9
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00474	0.0177	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00474	0.0177	WNT3A,RSPO2
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00474	0.0177	IL5,MMP13
ELK1	ELK1, member of ETS oncogene family	3	0.00544	0.0195	WISP2,PDGFB,MUC4
ETV4	ets variant 4	3	0.00715	0.0246	MUC4,TIMP2,MMP2
HDAC5	histone deacetylase 5	2	0.00863	0.0285	SLIT2,FGF2
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.0103	0.0308	MMP2,MMP9,PLG
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.011	0.0308	SFRP1,SFRP5
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.011	0.0308	MMP9,TIMP3
TFCP2	transcription factor CP2	2	0.011	0.0308	SPP1,A2M
SIRT1	sirtuin 1	4	0.0112	0.0308	ACAN,COL1A2,MMP9,ADAMTS5
RARA	retinoic acid receptor, alpha	3	0.0114	0.0308	ANXA8,MUC5AC,SFTPB
HDAC2	histone deacetylase 2	3	0.0127	0.0315	MUC5AC,COL1A2,BMP7
HOXB7	homeobox B7	2	0.0135	0.0315	FGF2,MMP2
NFIL3	nuclear factor, interleukin 3 regulated	2	0.0135	0.0315	VWF,EREG
POU2F2	POU class 2 homeobox 2	2	0.0135	0.0315	IL5,SPP1
SPDEF	SAM pointed domain containing ets transcription factor	2	0.0135	0.0315	SERPINB5,MMP9
CIITA	class II, major histocompatibility complex, transactivator	3	0.0185	0.0397	S100A4,MMP9,COL1A2
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.0185	0.0397	TIMP3,SFRP5,SFRP1
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.0187	0.0397	FGF2,MMP9,MUC4,MUC1,MMP13
EP300	E1A binding protein p300	4	0.0189	0.0397	IL5,S100A4,MMP9,COL1A2
ATF2	activating transcription factor 2	3	0.0202	0.0413	PLAT,TGFB2,MMP2
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	4	0.0238	0.0476	IL5,S100A9,TNFAIP6,SFTPD
NF1	neurofibromin 1	2	0.0261	0.0506	SFTPB,PLAT
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	4	0.0265	0.0506	IL5,ELANE,CLEC4G,CTSK
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.0295	0.0512	ELANE,COL1A2,CLEC4G
ING4	inhibitor of growth family, member 4	2	0.0298	0.0512	ANGPT1,SPP1
NR4A1	nuclear receptor subfamily 4, group A, member 1	2	0.0298	0.0512	TIMP2,MMP2
RFX1	regulatory factor X, 1 (influences HLA class II expression)	2	0.0298	0.0512	FGF1,COL1A2
SATB1	SATB homeobox 1	2	0.0298	0.0512	SPARC,IL5
GATA3	GATA binding protein 3	3	0.0317	0.0524	MUC1,IL5,LOX
POU2F1	POU class 2 homeobox 1	3	0.0317	0.0524	IL5,VWF,SPP1
EZH2	enhancer of zeste homolog 2 (Drosophila)	3	0.0361	0.0586	MMP2,IGFBP1,SFRP1
GLI2	GLI family zinc finger 2	2	0.0418	0.0654	FST,MUC5AC
HDAC9	histone deacetylase 9	2	0.0418	0.0654	MMP13,IGFBP1
GATA4	GATA binding protein 4	2	0.0462	0.071	FGF10,IL5
ESR1	estrogen receptor 1	4	0.0501	0.0752	F12,CRHBP,MMP13,CXCL12
VHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	2	0.0507	0.0752	COL4A2,SPARC
NR5A1	nuclear receptor subfamily 5, group A, member 1	2	0.0602	0.0878	NOV,INSL3
FLI1	Friend leukemia virus integration 1	2	0.0703	0.0975	PF4,COL1A2
FOXO1	forkhead box O1	2	0.0703	0.0975	PDGFB,IGFBP1
HDAC4	histone deacetylase 4	2	0.0703	0.0975	MMP13,IL5
PARP1	poly (ADP-ribose) polymerase 1	2	0.0755	0.101	FBN1,SERPINF1
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0755	0.101	SRPX,MMP2
MITF	microphthalmia-associated transcription factor	2	0.0809	0.107	CTSK,SERPINF1
CREB1	cAMP responsive element binding protein 1	4	0.0822	0.107	PLAT,MUC5AC,MUC4,MMP2
YY1	YY1 transcription factor	4	0.0848	0.108	COL1A2,VWF,MUC4,IL5
GATA1	GATA binding protein 1 (globin transcription factor 1)	3	0.0856	0.108	MUC1,PF4,LTBP4
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0863	0.108	HGF,VWF
RUNX3	runt-related transcription factor 3	2	0.103	0.125	MMP9,CLEC4G
YBX1	Y box binding protein 1	2	0.103	0.125	MMP2,MMP13
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.133	0.159	MMP2,SRPX
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	2	0.14	0.164	COL1A2,CCL26
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	2	0.152	0.177	SPP1,MUC4
PPARA	peroxisome proliferator-activated receptor alpha	2	0.159	0.182	MMP9,IGFBP1
RUNX1	runt-related transcription factor 1	2	0.165	0.187	ELANE,PF4
USF2	upstream transcription factor 2, c-fos interacting	2	0.211	0.236	PF4,TGFB2
EGR1	early growth response 1	3	0.217	0.239	PDGFB,HYAL1,FGF2
IRF1	interferon regulatory factor 1	2	0.238	0.259	OGN,MMP9
AR	androgen receptor	3	0.241	0.259	SERPINB5,MUC1,NOV
FOS	FBJ murine osteosarcoma viral oncogene homolog	2	0.279	0.292	MMP9,CSTA
WT1	Wilms tumor 1	2	0.279	0.292	NOV,EREG
USF1	upstream transcription factor 1	2	0.333	0.345	TGFB2,PF4
PPARG	peroxisome proliferator-activated receptor gamma	2	0.339	0.347	MMP9,FGF1
E2F1	E2F transcription factor 1	2	0.705	0.713	MUC4,SERPINB5
TP53	tumor protein p53	2	0.803	0.803	FGF2,MMP2
