Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	26	3.1e-15	2.14e-13	IFNB1,CCL4,CXCL10,MMP9,IL6,IL4,IL17A,HYAL1,CCL22,CCL2,CXCL2,MMP12,TNC,CCL3,CSF2,MUC5B,MMP1,MMP13,COL1A1,VWF,AGT,COL2A1,SERPINA3,MMP3,MUC5AC,HBEGF
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	3.14e-14	1.08e-12	HYAL1,MMP3,MMP1,SERPINA3,TNC,COL2A1,IL17A,CXCL10,CCL3,AGT,MMP9,MMP13,CSF2,MUC5B,VWF,MUC5AC,IL6,HBEGF,CCL4,CCL22,COL1A1,IL4,IFNB1,CXCL2,CCL2
JUN	jun proto-oncogene	12	2.41e-07	5.55e-06	MMP7,MMP9,CCL2,MMP13,CSF2,MMP3,MMP12,IBSP,TNC,IFNB1,IL6,MMP1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	9	4.28e-07	7.38e-06	CSF2,PF4,MMP1,MMP13,MMP3,VWF,TNC,COL1A1,MMP9
SP1	Sp1 transcription factor	20	1.08e-06	1.31e-05	MMRN1,F10,AGT,WIF1,CCL2,HYAL1,TNC,MUC5AC,AREG,COL2A1,COMP,IL6,HBEGF,MMP9,MMP28,TIMP3,MMP11,SPP1,IGFBP3,COL1A1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	1.14e-06	1.31e-05	MMP7,MUC5B,MMP9,FGG,FGL1,MMP3,IL6,MMP1,IL11,CCL2,MUC1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	1.92e-06	1.9e-05	MMP1,VWF,CSF2,MMP3,MMP9,TNC
STAT1	signal transducer and activator of transcription 1, 91kDa	8	7.43e-06	6.41e-05	IFNB1,MMP9,IL6,CCL2,MUC1,MMP13,CCL3,CXCL10
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	6.74e-05	0.000465	MMP3,IFNB1,MMP1,MMP9
RUNX2	runt-related transcription factor 2	4	6.74e-05	0.000465	IBSP,MMP13,VEGFC,IHH
