Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	18	8e-09	4.24e-07	HYAL1,MMP3,SERPINA3,SFTPA1,CCL5,FN1,MMP13,CCL11,MUC5B,VWF,MUC5AC,IL6,SERPINE1,TNF,IL12A,CCL22,COL1A1,A2M
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	17	4.44e-08	1.18e-06	IL6,IL12A,HYAL1,CCL22,SFTPA1,MUC5B,SERPINE1,CCL11,TNF,MMP13,CCL5,COL1A1,VWF,SERPINA3,MMP3,MUC5AC,FN1
SP1	Sp1 transcription factor	18	5.47e-06	9.66e-05	MUC4,MMRN1,F10,WIF1,HYAL1,TNF,MUC5AC,EGF,AREG,COMP,IL6,SERPINE1,CXCL14,TGM4,MMP11,IGF2,CCL5,COL1A1
HDAC5	histone deacetylase 5	3	7.2e-05	0.000954	IGF2,SLIT2,FGF2
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000152	0.00161	VWF,EREG,AREG
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	8	0.000186	0.00164	FGF2,MUC5B,FGG,CCL11,A2M,MUC4,MMP3,IL6
JUN	jun proto-oncogene	8	0.000259	0.00196	CCL5,IL12A,MMP13,MMP3,IBSP,MGP,TNF,IL6
EGR1	early growth response 1	6	0.000437	0.00289	TNF,HYAL1,FN1,FGF2,IL6,IGF2
RUNX2	runt-related transcription factor 2	3	0.00114	0.0067	IBSP,MMP13,IHH
FOXQ1	forkhead box Q1	2	0.00178	0.00887	WNT3A,RSPO2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	5	0.00184	0.00887	MUC4,MMP13,MMP3,VWF,COL1A1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	4	0.00243	0.0107	SFTPD,IL6,IGF2,FN1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	3	0.00322	0.0123	WNT11,FGF2,VWF
CREB1	cAMP responsive element binding protein 1	5	0.00326	0.0123	MUC5AC,IBSP,MUC4,IL6,CCL5
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00418	0.0138	SFRP1,SFRP5
EGR2	early growth response 2	2	0.00418	0.0138	IGF2,IL6
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.00479	0.0149	RELN,SFRP5,SFRP1
EPAS1	endothelial PAS domain protein 1	2	0.00518	0.0153	SERPINE1,COL10A1
JUND	jun D proto-oncogene	3	0.00622	0.0174	IL6,SFTPD,CCL5
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.00731	0.0194	CCL11,CCL17,COL1A1
NR4A1	nuclear receptor subfamily 4, group A, member 1	2	0.0117	0.0294	SERPINE1,TNF
STAT1	signal transducer and activator of transcription 1, 91kDa	4	0.0142	0.0341	FGF2,MUC4,IL6,MMP13
GLI1	GLI family zinc finger 1	2	0.0184	0.0407	MUC5AC,SFRP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	2	0.0184	0.0407	MMP3,CCL5
ETV4	ets variant 4	2	0.0244	0.0479	MUC4,TNF
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	2	0.0244	0.0479	IL6,CCL5
SOX2	SRY (sex determining region Y)-box 2	2	0.0244	0.0479	SEMA6A,MMP3
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	3	0.0289	0.052	IL6,TNF,SFTPD
PARP1	poly (ADP-ribose) polymerase 1	2	0.031	0.052	SERPINE1,FN1
SRF	serum response factor (c-fos serum response element-binding transcription factor)	2	0.031	0.052	SERPINE1,PLG
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.031	0.052	FN1,SRPX
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	3	0.0314	0.052	CTSG,CCL5,TNF
RARA	retinoic acid receptor, alpha	2	0.0333	0.0535	ANXA8,MUC5AC
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	2	0.0357	0.0557	VWF,COL1A1
HSF1	heat shock transcription factor 1	2	0.046	0.0697	TNF,SERPINE1
ATF2	activating transcription factor 2	2	0.0487	0.0698	FN1,TNF
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	2	0.0487	0.0698	VWF,MMP3
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.0572	0.0798	SRPX,FN1
E2F1	E2F transcription factor 1	4	0.0619	0.0836	TNF,MUC4,SERPINE1,NELL2
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	2	0.0631	0.0836	COL1A1,CTSG
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	3	0.0646	0.0836	FGF2,SERPINE1,MUC3A
PPARA	peroxisome proliferator-activated receptor alpha	2	0.0693	0.0874	SERPINE1,IL6
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	2	0.0788	0.0971	IL6,CST5
SIRT1	sirtuin 1	2	0.0989	0.119	COL10A1,TNF
IRF1	interferon regulatory factor 1	2	0.11	0.129	CCL5,IL12A
SP3	Sp3 transcription factor	3	0.13	0.148	TGM4,COL1A1,MUC4
WT1	Wilms tumor 1	2	0.131	0.148	IGF2,EREG
HDAC1	histone deacetylase 1	2	0.186	0.201	RELN,SFRP1
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	2	0.186	0.201	MUC4,COL1A1
ESR1	estrogen receptor 1	2	0.206	0.218	MMP13,SERPINE1
YY1	YY1 transcription factor	2	0.267	0.278	VWF,MUC4
AR	androgen receptor	2	0.275	0.281	FN1,WNT7B
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2	0.304	0.304	SFRP1,IL6
