Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
SP1	Sp1 transcription factor	21	1.01e-05	0.000362	MMRN1,F10,ADAM23,WIF1,FBLN1,EGF,CXCL5,COL2A1,COMP,IL6,ADIPOQ,HBEGF,LTBP4,MMP9,IL10,MUC6,TIMP3,TGM4,MMP11,SPP1,COL1A1
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	16	1.39e-05	0.000362	MMP9,IL6,CXCL12,IL10,CXCL2,MMP12,SFTPA1,MMP1,MMP13,CXCL5,COL1A1,VWF,COL2A1,SERPINA3,HBEGF,MUC6
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	16	1.51e-05	0.000362	MMP1,SERPINA3,SFTPA1,CXCL12,COL2A1,MMP9,MMP13,CXCL5,VWF,MUC6,IL10,IL6,HBEGF,COL1A1,A2M,CXCL2
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	4.58e-05	0.000825	ADAMTS1,SPP1,WNT11,FGF2,VWF
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	7	0.000186	0.00268	MMP10,PF4,MMP1,MMP13,VWF,COL1A1,MMP9
TFCP2	transcription factor CP2	3	0.000265	0.00287	SPP1,A2M,FGA
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	6	0.000279	0.00287	GDF15,IL10,MMP1,IL6,IL13,SFTPD
JUN	jun proto-oncogene	9	0.000432	0.00389	DCN,MMP9,MMP13,MMP12,IBSP,MGP,MMP20,IL6,MMP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.000993	0.00751	SPP1,IL10,IGF1,SFTPD,IL6
SNAI2	snail homolog 2 (Drosophila)	3	0.00109	0.00751	MMP17,MMP9,CXCL12
DNMT1	DNA (cytosine-5-)-methyltransferase 1	4	0.00115	0.00751	TIMP3,RELN,SFRP5,SFRP1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	8	0.0014	0.00841	FGF2,MMP9,A2M,IL10,FGL1,MMP10,IL6,MMP1
RUNX2	runt-related transcription factor 2	3	0.00273	0.0151	IBSP,MMP13,IHH
FOXQ1	forkhead box Q1	2	0.00325	0.0167	WNT3A,RSPO2
FLI1	Friend leukemia virus integration 1	3	0.0054	0.0226	PF4,MMP1,IL10
POU5F1	POU class 5 homeobox 1	3	0.0054	0.0226	SPP1,LEFTY1,SEMA6A
HDAC5	histone deacetylase 5	2	0.00595	0.0226	SLIT2,FGF2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00595	0.0226	MMP9,MMP1
ZFP36	ZFP36 ring finger protein	2	0.00595	0.0226	SERPINB2,IL6
SP3	Sp3 transcription factor	6	0.00727	0.0237	FBLN1,HBEGF,TGM4,COL1A1,MUC6,COL2A1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00758	0.0237	SFRP1,SFRP5
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.00758	0.0237	MMP9,TIMP3
FOSL1	FOS-like antigen 1	2	0.00758	0.0237	SFTPD,MMP1
STAT1	signal transducer and activator of transcription 1, 91kDa	5	0.00875	0.0262	FGF2,MMP9,IL6,MMP13,IL10
HOXB7	homeobox B7	2	0.00938	0.027	THBS2,FGF2
EP300	E1A binding protein p300	4	0.00999	0.0277	IGF1,LAMA3,MMP9,IL6
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	3	0.0121	0.0323	MMP1,VWF,MMP9
OTX2	orthodenticle homeobox 2	2	0.0135	0.0335	IL6,IGF1
TBX21	T-box 21	2	0.0135	0.0335	IL10,IL13
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.0155	0.0371	GDF15,SRPX,MMP1
