Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	29	1.47e-15	8.22e-14	CCL4,CXCL10,IL6,FASLG,IL12A,IL1B,COL1A2,IL10,CSF1,PLAU,MMP12,TIMP1,CCL3,SFTPA1,MUC5B,MMP1,TNF,MMP13,CCL5,COL1A1,VWF,AGT,IFNG,SERPINA3,MMP3,MUC5AC,MUC6,EBI3,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	29	1.75e-15	8.22e-14	MMP3,EBI3,MMP1,SERPINA3,IFNG,SFTPA1,IL1B,CCL5,TIMP1,COL1A2,CSF1,TNFSF13B,COL7A1,PLAU,CXCL10,CCL3,AGT,MMP13,MUC5B,VWF,MUC6,IL10,MUC5AC,IL6,TNF,CCL4,IL12A,COL1A1,FASLG
JUN	jun proto-oncogene	17	9.12e-11	2.86e-09	IL1B,MMP7,CCL5,IL12A,CSF1,IL24,MMP13,CTSL,MMP3,MMP12,IBSP,FASLG,IFNG,PLAU,TNF,IL6,MMP1
SP1	Sp1 transcription factor	27	2.57e-09	6.05e-08	FGFBP1,MUC4,FGL2,CTSL,AGT,WIF1,COL7A1,SERPINB5,TNF,MUC5AC,FASLG,EGF,PLAU,COMP,IL6,TIMP1,MMP28,IL10,CXCL14,MUC6,TGM4,MMP11,CCL5,SPP1,IGFBP3,COL1A1,ACAN
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	10	1.84e-08	3.45e-07	IL10,IL1B,MMP1,IL6,IL5,TNF,IL13,FASLG,IL24,SFTPD
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	11	2.49e-08	3.9e-07	FGFBP1,MMP10,MUC4,PF4,MMP1,PLAU,IL5,MMP13,MMP3,VWF,COL1A1
STAT1	signal transducer and activator of transcription 1, 91kDa	11	4.79e-08	6.43e-07	MUC4,IFNG,IL6,CTSL,TIMP1,TNFSF13B,IL1B,MMP13,CCL3,IL10,CXCL10
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	13	2.17e-07	2.55e-06	MMP7,TIMP1,MUC5B,FGG,IFNG,IL10,FGL1,MUC4,MMP3,MMP10,IL6,MMP1,IL11
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	5	7.04e-06	7.35e-05	MMP3,IL1B,EBI3,MMP1,CCL5
JUND	jun D proto-oncogene	6	9.97e-06	9.37e-05	IL6,FGFBP1,IL5,TIMP1,SFTPD,CCL5
