Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	18	1.11e-11	1.04e-09	MMP7,HGF,FGF2,LEP,MUC5B,MMP9,FGG,CCL11,A2M,FGL1,MUC4,MMP3,MMP10,IL6,MMP1,IL11,MUC1,CXCL8
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	24	1.03e-10	4.84e-09	HYAL1,MMP3,MMP1,IL17C,SFTPA1,CXCL8,PLAU,IL1A,MMP9,MMP13,BMP2,CCL20,CCL11,MUC5B,VWF,GDNF,MUC5AC,IL6,HBEGF,CXCL1,COL1A1,CCL19,A2M,CXCL2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	13	3.13e-10	9.8e-09	FGFBP1,MMP10,MUC4,PF4,MMP1,PLAU,IL5,PRL,MMP13,MMP3,VWF,COL1A1,MMP9
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	23	5.21e-10	1.22e-08	CCL19,MMP9,IL6,CXCL8,BMP2,HYAL1,CCL20,PLAU,CXCL2,MMP12,SFTPA1,MUC5B,CCL11,IL17C,MMP1,MMP13,COL1A1,VWF,IL1A,MMP3,MUC5AC,HBEGF,CXCL1
FOS	FBJ murine osteosarcoma viral oncogene homolog	9	2.56e-07	4.82e-06	MMP9,FGFBP1,MMP7,MMP3,MMP1,CXCL8,NTF3,IL1A,PLAU
SP1	Sp1 transcription factor	24	5.48e-07	8.59e-06	FGFBP1,MUC4,MMRN1,F10,ADAM23,WIF1,HYAL1,PDGFB,MUC5AC,FBLN1,EGF,PLAU,COMP,IL6,HBEGF,HGF,CXCL1,MMP9,CXCL14,TGM4,MMP11,SPP1,COL1A1,LEP
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	9.62e-06	0.000125	MMP1,CXCL8,VWF,MMP3,MMP9,IL5
EGR1	early growth response 1	9	1.06e-05	0.000125	PDGFB,GDF15,HYAL1,LTB,FGF2,PLAU,CXCL8,IL6,GDNF
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	5.85e-05	0.000611	ADAMTS1,SPP1,FGF2,VWF,CXCL8
JUN	jun proto-oncogene	10	0.000134	0.00126	MMP7,MMP9,CXCL8,MMP13,MMP3,IL1A,MMP12,PLAU,IL6,MMP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	6	0.000149	0.00127	SPP1,IL5,PRL,LEP,ELANE,IL6
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	0.000198	0.0014	MMP3,MMP1,CXCL8,MMP9
RUNX2	runt-related transcription factor 2	4	0.000198	0.0014	MMP13,IHH,ELANE,PLAU
ZFP36	ZFP36 ring finger protein	3	0.000208	0.0014	SERPINB2,IL6,CXCL8
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	6	0.000367	0.0023	GDF15,CXCL8,MMP1,IL6,IL5,PRL
RARA	retinoic acid receptor, alpha	4	0.000701	0.00412	FGFBP1,ANXA8,PLAU,MUC5AC
LEF1	lymphoid enhancer-binding factor 1	4	0.00107	0.00593	MMP7,PRL,EDA,ELANE
ING4	inhibitor of growth family, member 4	3	0.00156	0.00812	CXCL8,ANGPT1,SPP1
EP300	E1A binding protein p300	5	0.0019	0.00877	IL5,LAMA3,MMP9,CXCL8,IL6
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	6	0.00204	0.00877	FGF2,HBEGF,PLAU,MUC3A,MUC1,LEP
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.00217	0.00877	FGF2,MMP9,MUC4,IL6,MUC1,MMP13
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	4	0.0022	0.00877	CXCL8,S100P,IL6,PLAU
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	3	0.00227	0.00877	CCL20,PRL,CXCL1
ELF4	E74-like factor 4 (ets domain transcription factor)	2	0.00242	0.00877	MMP9,CXCL8
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00242	0.00877	MMP1,CXCL8
ZNF300	zinc finger protein 300	2	0.00242	0.00877	CXCL8,IL6
GATA3	GATA binding protein 3	4	0.00298	0.00996	MUC1,IL5,MMP1,CXCL1
POU2F1	POU class 2 homeobox 1	4	0.00298	0.00996	IL5,VWF,PLAU,SPP1
CREB1	cAMP responsive element binding protein 1	6	0.00307	0.00996	BDNF,MUC5AC,MUC4,IL6,PRL,PLAU
IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	2	0.0036	0.0108	CXCL8,MMP9
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.0036	0.0108	IL5,MMP13
ELK1	ELK1, member of ETS oncogene family	3	0.00368	0.0108	WISP2,PDGFB,MUC4
ETV4	ets variant 4	3	0.00485	0.0138	MUC4,MMP7,MMP1
NCOA3	nuclear receptor coactivator 3	2	0.00499	0.0138	MMP10,MMP7
FOXO1	forkhead box O1	3	0.00623	0.0167	PDGFB,PRL,IL6
HDAC5	histone deacetylase 5	2	0.00658	0.0167	SLIT2,FGF2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00658	0.0167	MMP9,MMP1
SRF	serum response factor (c-fos serum response element-binding transcription factor)	3	0.007	0.0173	MMP9,PLG,PLAU
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00837	0.0192	SFRP1,SFRP5
GATA6	GATA binding protein 6	2	0.00837	0.0192	PLAU,VWF
TFCP2	transcription factor CP2	2	0.00837	0.0192	SPP1,A2M
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00869	0.0195	HGF,VWF,COL1A1
SP3	Sp3 transcription factor	6	0.00924	0.0202	FBLN1,HBEGF,HGF,TGM4,COL1A1,MUC4
HOXB7	homeobox B7	2	0.0104	0.0212	THBS2,FGF2
NFIL3	nuclear factor, interleukin 3 regulated	2	0.0104	0.0212	VWF,EREG
POU2F2	POU class 2 homeobox 2	2	0.0104	0.0212	IL5,SPP1
PITX2	paired-like homeodomain 2	2	0.0125	0.025	PRL,FGF16
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.0128	0.025	SFRP5,BMP2,SFRP1
JUND	jun D proto-oncogene	3	0.0164	0.0315	IL6,FGFBP1,IL5
KLF5	Kruppel-like factor 5 (intestinal)	2	0.0174	0.0321	MMP9,FGFBP1
ZEB1	zinc finger E-box binding homeobox 1	2	0.0174	0.0321	MUC1,COL4A3
TWIST1	twist basic helix-loop-helix transcription factor 1	3	0.0177	0.0321	GDF15,SRPX,MMP1
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	3	0.0191	0.0339	CCL11,CXCL8,COL1A1
SNAI2	snail homolog 2 (Drosophila)	2	0.0201	0.035	MMP17,MMP9
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.0221	0.0377	SPP1,MUC4,S100P
TBP	TATA box binding protein	2	0.0229	0.0385	IL6,PPBP
EZH2	enhancer of zeste homolog 2 (Drosophila)	3	0.0253	0.041	ADAMTS1,SFRP1,PRL
KLF4	Kruppel-like factor 4 (gut)	3	0.0253	0.041	IL6,LAMA3,GDF15
HDAC1	histone deacetylase 1	4	0.0262	0.041	MMP9,SPP1,CXCL8,SFRP1
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	4	0.0262	0.041	HGF,MUC4,MMP9,COL1A1
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	3	0.0287	0.0442	IL6,CXCL8,PRL
DDIT3	DNA-damage-inducible transcript 3	2	0.0324	0.0476	IL6,CXCL8
GLI2	GLI family zinc finger 2	2	0.0324	0.0476	MUC5AC,WNT2B
HDAC9	histone deacetylase 9	2	0.0324	0.0476	MMP13,PRL
GATA4	GATA binding protein 4	2	0.0358	0.0503	FGF10,IL5
