Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	1.83e-07	1.12e-05	MMP10,MUC4,MMP1,IL5,MMP13,VWF,IL2,TNC,BMP4,COL1A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	17	1.84e-06	5.62e-05	IL2,HYAL1,MMP1,SERPINA3,SFTPA1,TNC,IFNA1,CXCL12,CXCL10,CCL3,MMP13,BMP2,CCL20,VWF,GDNF,COL1A1,A2M
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	16	7.39e-06	0.00015	CXCL10,IL2,CXCL12,BMP2,HYAL1,CCL20,MMP12,TNC,CCL3,SFTPA1,MMP1,MMP13,COL1A1,VWF,SERPINA3,IFNA1
JUN	jun proto-oncogene	11	1.01e-05	0.000153	DCN,MMP13,IL2,MMP12,PTN,TNC,NGF,MGP,ELN,MMP20,MMP1
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	3.6e-05	0.000439	ADAMTS1,SPP1,WNT11,FGF2,VWF
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	6	8.5e-05	0.000864	SPP1,S100A9,IL5,SFTPD,LEP,SERPINC1
POU2F1	POU class 2 homeobox 1	5	0.000197	0.00155	IL5,VWF,LGALS4,SPP1,IL2
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	9	0.000209	0.00155	FGF2,LEP,PGF,A2M,FGL1,MUC4,IL2,MMP10,MMP1
TFCP2	transcription factor CP2	3	0.000228	0.00155	SPP1,A2M,FGA
SP1	Sp1 transcription factor	17	0.000474	0.00289	MUC4,MMRN1,F10,IL2,HYAL1,TNC,AREG,LTBP4,MMP28,TIMP3,TGM4,MMP11,SPP1,COL1A1,LEP,PTN,F7
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.00107	0.0059	MMP1,VWF,IL5,TNC
ING4	inhibitor of growth family, member 4	3	0.00116	0.0059	NGF,ANGPT1,SPP1
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.0013	0.00608	FGF2,MUC4,IFNA1,MMP13,CCL3,CXCL10
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.00168	0.00733	CCL17,CCL26,EGLN3,COL1A1
FOXQ1	forkhead box Q1	2	0.00295	0.0112	WNT3A,RSPO2
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00295	0.0112	IL5,MMP13
HDAC5	histone deacetylase 5	2	0.0054	0.0194	SLIT2,FGF2
IRF1	interferon regulatory factor 1	4	0.00604	0.0205	CXCL10,SLPI,OGN,IFNA1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	5	0.00677	0.021	CXCL12,FGF2,MUC3A,EGLN3,LEP
FOSL1	FOS-like antigen 1	2	0.00687	0.021	SFTPD,MMP1
HOXB7	homeobox B7	2	0.00851	0.0219	THBS2,FGF2
NFIL3	nuclear factor, interleukin 3 regulated	2	0.00851	0.0219	VWF,AREG
POU2F2	POU class 2 homeobox 2	2	0.00851	0.0219	IL5,SPP1
EGR1	early growth response 1	5	0.00862	0.0219	HYAL1,LTB,FGF2,GDNF,IL2
