Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	30	5.32e-15	4.95e-13	IL2,HYAL1,MMP3,BGN,AMH,MMP1,SFTPA1,TNC,COL1A2,COL7A1,PLAU,MMP2,CXCL10,MMP9,MMP13,BMP2,CXCL5,CCL11,CSF2,CCL13,VWF,GDNF,FGF8,IL6,HBEGF,MMP14,COL1A1,A2M,CXCL2,IL23A
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	29	3.15e-14	1.47e-12	CXCL10,IL2,MMP9,IL6,COL1A2,MMP2,MMP14,IL23A,BMP2,HYAL1,PLAU,CXCL2,MMP12,TNC,CSF2,SFTPA1,FGF8,CCL11,MMP1,MMP13,CXCL5,COL1A1,VWF,CCL13,BGN,MMP3,HBEGF,AMH,COL7A1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	15	3.46e-12	1.07e-10	CSF2,FGFBP1,MMP10,MUC4,PF4,MMP1,PLAU,MMP13,MMP3,VWF,IL2,IGFBP1,TNC,COL1A1,MMP9
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	17	2.61e-10	6.06e-09	FGF2,LEP,MMP9,MMP2,FGG,CCL11,SHH,A2M,FGL1,MUC4,IL2,MMP3,MMP10,IL6,MMP1,MMP14,IL11
SP1	Sp1 transcription factor	27	3.13e-08	5.82e-07	FGFBP1,MUC4,MMRN1,F10,IL2,COL7A1,MMP2,HYAL1,TNC,SERPINB5,CXCL5,PLAU,COMP,IL6,COL18A1,HBEGF,MMP9,MMP28,TGFA,MMP11,MMP14,SPP1,IGFBP3,COL1A1,LEP,IGFBP1,ACAN
JUN	jun proto-oncogene	14	2.24e-07	3.46e-06	IL23A,MMP9,MMP2,MMP13,CSF2,IL2,MMP3,MMP12,IBSP,TNC,PLAU,MGP,IL6,MMP1
RUNX2	runt-related transcription factor 2	6	4.83e-07	6.41e-06	MMP2,IBSP,MMP13,IHH,ELANE,PLAU
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	7	8.27e-07	9.61e-06	MMP1,VWF,CSF2,MMP3,MMP9,MMP2,TNC
HDAC1	histone deacetylase 1	8	2.45e-05	0.000254	IL2,MMP9,IGFBP3,SPP1,RELN,SERPINB5,MMP28,COL1A2
SRF	serum response factor (c-fos serum response element-binding transcription factor)	5	5.22e-05	0.000485	MMP14,MMP2,MMP9,PLG,PLAU
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	5	7.71e-05	0.000652	ADAMTS1,SPP1,WNT11,FGF2,VWF
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	3	0.000247	0.00177	MMP9,MMP14,MMP1
ZFP36	ZFP36 ring finger protein	3	0.000247	0.00177	SERPINB2,IL6,IL2
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	5	0.000318	0.00211	CCL11,COL1A2,CCL26,EGLN3,COL1A1
TFCP2	transcription factor CP2	3	0.000366	0.00227	SPP1,A2M,FGA
POU2F1	POU class 2 homeobox 1	5	0.000412	0.0024	VWF,PLAU,LGALS4,SPP1,IL2
ETV4	ets variant 4	4	0.00045	0.00246	MMP14,MUC4,MMP1,MMP2
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	7	0.000491	0.00253	MMP2,LOX,FGF2,HBEGF,PLAU,EGLN3,LEP
HOXB7	homeobox B7	3	0.000516	0.00253	THBS2,FGF2,MMP2
FLI1	Friend leukemia virus integration 1	4	0.000636	0.0028	PF4,MMP1,COL1A2,IGFBP3
POU5F1	POU class 5 homeobox 1	4	0.000636	0.0028	SPP1,LEFTY1,SEMA6A,TDGF1
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	5	0.000662	0.0028	IL6,IL2,IGFBP3,AMH,CST5
EGR1	early growth response 1	7	0.000699	0.00283	MMP14,HYAL1,FGF2,PLAU,IL6,GDNF,IL2
RARA	retinoic acid receptor, alpha	4	0.000872	0.00338	FGFBP1,ANXA8,PLAU,SFTPB
SIRT1	sirtuin 1	5	0.00123	0.00456	ACAN,COL10A1,COL1A2,MMP9,ADAMTS5
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.00162	0.00578	SPP1,SFTPD,LEP,ELANE,IL6
EP300	E1A binding protein p300	5	0.00245	0.00845	IGFBP3,LAMA3,MMP9,IL6,COL1A2
FOS	FBJ murine osteosarcoma viral oncogene homolog	5	0.00265	0.00882	MMP9,FGFBP1,MMP3,MMP1,PLAU
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.0029	0.00931	FGF2,MMP9,MUC4,IL6,MMP13,CXCL10
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4	0.00333	0.0103	ELANE,COL1A1,COL1A2,CTSG
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00373	0.0109	MMP3,MMP1,MMP9
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00404	0.0109	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00404	0.0109	WNT3A,RSPO2
NKX2-1	NK2 homeobox 1	2	0.00404	0.0109	SFTPA1,SFTPB
CREB1	cAMP responsive element binding protein 1	6	0.00409	0.0109	IL2,IBSP,MUC4,IL6,MMP2,PLAU
RUNX1	runt-related transcription factor 1	4	0.00443	0.0115	IL2,ELANE,PF4,CSF2
CEBPE	CCAAT/enhancer binding protein (C/EBP), epsilon	2	0.00559	0.0137	MMP2,CTSG
ILF3	interleukin enhancer binding factor 3, 90kDa	2	0.00559	0.0137	PLAU,IL2
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	5	0.00683	0.0163	MMP2,MUC4,MMP9,ECM1,COL1A1
HDAC5	histone deacetylase 5	2	0.00737	0.0167	SLIT2,FGF2
KLF8	Kruppel-like factor 8	2	0.00737	0.0167	MMP14,MMP9
TWIST2	twist basic helix-loop-helix transcription factor 2	3	0.00821	0.0182	POSTN,SRPX,MMP2
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00937	0.0189	IGFBP3,SFRP5
FOSL1	FOS-like antigen 1	2	0.00937	0.0189	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00937	0.0189	PLAU,VWF
ZNF148	zinc finger protein 148	2	0.00937	0.0189	CXCL5,MMP3
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.0102	0.0202	VWF,COL18A1,COL1A1
IRF1	interferon regulatory factor 1	4	0.0105	0.0203	CXCL10,SLPI,OGN,MMP9
EPAS1	endothelial PAS domain protein 1	2	0.0116	0.0207	COL10A1,MMP14
NFIL3	nuclear factor, interleukin 3 regulated	2	0.0116	0.0207	VWF,EREG
SPDEF	SAM pointed domain containing ets transcription factor	2	0.0116	0.0207	SERPINB5,MMP9
TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	2	0.0116	0.0207	MMP2,ECM1
SP3	Sp3 transcription factor	6	0.0121	0.0212	HBEGF,IGFBP3,IGFBP1,COL1A1,MMP2,MUC4
LEF1	lymphoid enhancer-binding factor 1	3	0.0124	0.0214	CCL7,EDA,ELANE
MECP2	methyl CpG binding protein 2 (Rett syndrome)	2	0.014	0.0237	IGFBP3,RELN
CIITA	class II, major histocompatibility complex, transactivator	3	0.0149	0.0239	COL1A1,MMP9,COL1A2
DNMT1	DNA (cytosine-5-)-methyltransferase 1	3	0.0149	0.0239	RELN,SFRP5,BMP2
SMAD3	SMAD family member 3	3	0.0149	0.0239	COL7A1,TNC,MMP9
YY1	YY1 transcription factor	5	0.0186	0.0294	COL1A2,VWF,MUC4,CCL13,POSTN
JUND	jun D proto-oncogene	3	0.0191	0.0296	IL6,FGFBP1,SFTPD
KLF5	Kruppel-like factor 5 (intestinal)	2	0.0194	0.0296	MMP9,FGFBP1
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	3	0.0207	0.0305	IL6,PLAU,IGFBP1
