Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	25	1.73e-13	8.44e-12	MMP9,IL6,IL12A,COL1A2,IL12B,HYAL1,CCL22,PLAU,MMP12,TNC,TIMP1,SDC1,FGF8,SERPINE1,MMP1,MMP13,CCL5,COL1A1,VWF,AGT,IFNG,BGN,COL2A1,MMP3,MUC5AC
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	2.01e-13	8.44e-12	HYAL1,MMP3,SDC1,BGN,MMP1,IFNG,TNC,CCL5,TIMP1,COL2A1,COL1A2,PLAU,AGT,MMP9,MMP13,VWF,GDNF,IL12B,MUC5AC,FGF8,IL6,SERPINE1,IL12A,CCL22,COL1A1
JUN	jun proto-oncogene	16	1.03e-10	2.33e-09	MMP7,PLAT,CCL5,IL12A,MMP9,MMP13,IL12B,MMP3,MMP12,IBSP,IFNG,TNC,PLAU,NGF,IL6,MMP1
SP1	Sp1 transcription factor	27	1.11e-10	2.33e-09	MMRN1,F10,AGT,WIF1,HYAL1,TNC,MUC5AC,EGF,PLAU,COL2A1,COMP,IL6,SERPINE1,TIMP1,ADIPOQ,LTBP4,MMP9,CXCL14,TGM4,MMP11,PLAT,CCL5,SPP1,IGFBP3,COL1A1,LEP,ACAN
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	7.39e-08	1.24e-06	MMP10,PF4,MMP1,PLAU,MMP13,MMP3,VWF,TNC,COL1A1,MMP9
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	3.07e-06	4.25e-05	MMP1,VWF,IL12B,MMP3,MMP9,TNC
RUNX2	runt-related transcription factor 2	5	3.55e-06	4.25e-05	IBSP,MMP13,IHH,ELANE,PLAU
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	10	1.67e-05	0.000175	MMP7,TIMP1,LEP,MMP9,IFNG,MMP3,MMP10,IL6,MMP1,IL11
CREB1	cAMP responsive element binding protein 1	8	2.22e-05	0.000207	BDNF,PLAT,IFNG,MUC5AC,IBSP,IL6,PLAU,CCL5
SMAD3	SMAD family member 3	5	4.56e-05	0.000379	LTBP4,SERPINE1,TNC,ANGPTL4,MMP9
IRF1	interferon regulatory factor 1	6	4.97e-05	0.000379	CCL5,IL12B,IFNG,SLPI,MMP9,IL12A
EP300	E1A binding protein p300	6	8.48e-05	0.000563	IFNG,IL12B,IGFBP3,MMP9,IL6,COL1A2
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	9.21e-05	0.000563	MMP3,MMP1,MMP9,CCL5
FOS	FBJ murine osteosarcoma viral oncogene homolog	6	9.38e-05	0.000563	MMP9,MMP7,NGF,MMP3,MMP1,PLAU
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	0.000171	0.00096	IGFBP3,SFRP1,SFRP5
PPARG	peroxisome proliferator-activated receptor gamma	6	0.000213	0.00112	SERPINE1,GDF15,ADIPOQ,ANGPTL4,MMP9,MMP1
FLI1	Friend leukemia virus integration 1	4	0.00024	0.00119	PF4,MMP1,COL1A2,IGFBP3
ING4	inhibitor of growth family, member 4	3	0.000876	0.00409	NGF,ANGPT1,SPP1
JUND	jun D proto-oncogene	4	0.000946	0.00418	IL6,PLAT,TIMP1,CCL5
EGR1	early growth response 1	6	0.001	0.00421	IFNG,GDF15,HYAL1,PLAU,IL6,GDNF
ATF3	activating transcription factor 3	3	0.00107	0.00427	CCL5,IFNG,GDF15
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.00118	0.0045	COL1A2,CCL17,EGLN3,COL1A1
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	5	0.00125	0.00458	IL12B,ELANE,CCL5,CLEC4G,CTSK
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4	0.00131	0.00458	ELANE,COL1A1,COL1A2,CLEC4G
POU2F1	POU class 2 homeobox 1	4	0.00145	0.00486	VWF,PLAU,LGALS4,SPP1
