Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	29	7.51e-16	7.14e-14	IFNB1,CCL19,MMP9,IL6,IL1B,IL12B,BMP2,CCL20,PLAU,CCL2,CXCL2,MMP12,SDC1,TNFSF14,SFTPA1,FGF8,CCL11,MMP1,MMP13,CXCL5,COL1A1,VWF,COL2A1,SERPINA3,IL1A,MMP3,MUC5AC,HBEGF,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	28	7.09e-15	3.37e-13	MMP3,SDC1,MMP1,SERPINA3,SFTPA1,IL1B,COL2A1,COL7A1,PLAU,IL1A,MMP9,MMP13,BMP2,CCL20,CXCL5,CCL11,TNFSF14,VWF,IL12B,MUC5AC,FGF8,IL6,HBEGF,COL1A1,CCL19,IFNB1,CXCL2,CCL2
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	13	1.11e-10	3.53e-09	FGFBP1,MMP10,MUC4,PF4,MMP1,PLAU,IL5,MMP13,MMP3,VWF,TNFSF14,COL1A1,MMP9
JUN	jun proto-oncogene	15	4.87e-09	1.16e-07	IL1B,MMP7,MMP9,CCL2,MMP13,IL12B,MMP3,IL1A,MMP12,IBSP,PTN,PLAU,IFNB1,IL6,MMP1
SP1	Sp1 transcription factor	24	1.17e-07	2.23e-06	TNFSF14,FGFBP1,MUC4,MMRN1,WIF1,COL7A1,CCL2,SERPINB5,MUC5AC,FBLN1,EGF,CXCL5,PLAU,COL2A1,COMP,IL6,HBEGF,MMP9,CXCL14,MMP11,SPP1,IGFBP3,COL1A1,PTN
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	12	1.16e-06	1.83e-05	MMP7,FGF2,MMP9,FGG,CCL11,FGL1,MUC4,MMP3,MMP10,IL6,MMP1,CCL2
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	6	5.97e-06	6.57e-05	MMP1,VWF,IL12B,MMP3,MMP9,IL5
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	5	6.23e-06	6.57e-05	MMP3,IL1B,IFNB1,MMP1,MMP9
RUNX2	runt-related transcription factor 2	5	6.23e-06	6.57e-05	IBSP,MMP13,IHH,ELANE,PLAU
FOS	FBJ murine osteosarcoma viral oncogene homolog	7	1.83e-05	0.000174	MMP9,FGFBP1,MMP7,MMP3,MMP1,IL1A,PLAU
