Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
SP1	Sp1 transcription factor	23	2.78e-10	1.89e-08	MUC4,MMRN1,F10,WIF1,SERPINB5,TNF,FASLG,FBN1,EGF,COL2A1,COMP,IL6,ADIPOQ,CXCL1,IL10,CXCL14,TIMP3,TGM4,MMP11,CCL5,SPP1,COL1A1,ACAN
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	18	1.12e-09	2.81e-08	CCL4,CXCL10,IL6,FASLG,IL4,IL10,CCL22,MMP12,MUC5B,MMP1,TNF,CCL5,COL1A1,VWF,IFNG,COL2A1,MMP3,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	18	1.24e-09	2.81e-08	MMP3,MMP1,IFNG,CCL5,COL2A1,CXCL10,MUC5B,VWF,IL10,IL6,TNF,CCL4,CCL22,CXCL1,COL1A1,FASLG,IL4,A2M
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	1.64e-07	2.78e-06	MUC5B,A2M,IFNG,IL10,FGL1,MUC4,MMP3,MMP10,IL6,MMP1,MUC1
GATA3	GATA binding protein 3	6	1.79e-06	2.19e-05	MUC1,IFNG,IL10,IL4,MMP1,CXCL1
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	7	2e-06	2.19e-05	GDF15,IL4,IL10,MMP1,IL6,TNF,FASLG
JUN	jun proto-oncogene	10	2.26e-06	2.19e-05	DCN,CCL5,MMP3,MMP12,IBSP,FASLG,IFNG,TNF,IL6,MMP1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	7	1.28e-05	0.000109	MMP10,MUC4,PF4,MMP1,MMP3,VWF,COL1A1
PARP1	poly (ADP-ribose) polymerase 1	4	9.83e-05	0.000742	FBN1,IFNG,CXCL1,IL10
IRF1	interferon regulatory factor 1	5	0.000143	0.000974	CXCL10,CCL5,IFNG,IL10,FASLG
STAT1	signal transducer and activator of transcription 1, 91kDa	6	0.000181	0.0011	MUC4,IFNG,IL6,MUC1,IL10,CXCL10
TBX21	T-box 21	3	0.000194	0.0011	IL4,IFNG,IL10
CREB1	cAMP responsive element binding protein 1	6	0.000265	0.00138	IFNG,IBSP,MUC4,IL6,IL10,CCL5
ATF3	activating transcription factor 3	3	0.00048	0.00233	CCL5,IFNG,GDF15
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.000813	0.00345	MMP3,MMP1,CCL5
