Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	9.61e-11	8.75e-09	MMP3,MMP1,SFTPA1,TNC,CXCL12,TIMP1,COL1A2,CXCL8,PLAU,FGF7,FN1,CCL3,MMP13,BMP2,CCL20,CXCL5,MUC5B,VWF,GDNF,MUC5AC,IL6,IL12A,IFNB1,A2M,IL23A
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	24	4.65e-10	2.12e-08	IFNB1,FGF7,IL6,CXCL8,IL12A,CXCL12,COL1A2,IL23A,BMP2,CCL20,PLAU,MMP12,TNC,TIMP1,CCL3,SFTPA1,MUC5B,MMP1,MMP13,CXCL5,VWF,MMP3,MUC5AC,FN1
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	14	1.6e-07	4.86e-06	TIMP1,FGF2,MUC5B,PGF,A2M,FGL1,MUC4,MMP3,MMP10,IL6,MMP1,FGF1,OSM,CXCL8
JUN	jun proto-oncogene	14	2.91e-07	6.63e-06	DCN,IL12A,IL23A,CXCL8,MMP13,MMP3,MMP12,IBSP,TNC,PLAU,FGF7,IFNB1,IL6,MMP1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	10	9.72e-07	1.77e-05	MMP10,MUC4,PF4,MMP1,PLAU,MMP13,MMP3,VWF,IGFBP1,TNC
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	6	5.33e-06	8.08e-05	ADAMTS1,SPP1,WNT11,FGF2,VWF,CXCL8
SP1	Sp1 transcription factor	23	7.51e-06	9.76e-05	LAMA1,MUC4,MMRN1,F10,WIF1,TNC,MUC5AC,FBLN1,FBN1,CXCL5,PLAU,IL6,LOXL4,TIMP1,LTBP4,MMP28,CXCL14,TGFA,TIMP3,TGM4,MMP11,SPP1,IGFBP1
DNMT1	DNA (cytosine-5-)-methyltransferase 1	5	0.00017	0.00172	TIMP3,RELN,SFRP5,BMP2,SFRP1
SMAD3	SMAD family member 3	5	0.00017	0.00172	LTBP4,FSTL3,TNC,ANGPTL4,FST
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	0.000199	0.00181	MMP1,CXCL8,VWF,MMP3,TNC
