Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	25	3.07e-15	1.42e-13	IFNB1,CCL19,FGF7,IL6,IL12A,IL1B,COL1A2,MMP14,CCL22,PLAU,CXCL2,MMP12,TIMP1,SFTPA1,CCL11,MMP1,MMP13,CXCL5,COL1A1,MMP3,MUC5AC,HBEGF,AMH,MUC6,COL7A1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	3.58e-15	1.42e-13	MMP3,AMH,MMP1,SFTPA1,IL1B,TIMP1,COL1A2,COL7A1,PLAU,FGF7,MMP13,CXCL5,CCL11,GDNF,MUC6,MUC5AC,IL6,HBEGF,MMP14,IL12A,CCL22,COL1A1,CCL19,IFNB1,CXCL2
SP1	Sp1 transcription factor	20	2.46e-07	6.48e-06	WIF1,COL7A1,SERPINB5,MUC5AC,CXCL5,AREG,PLAU,COMP,IL6,TIMP1,HBEGF,CXCL14,MUC6,TGM4,MMP11,MMP14,SPP1,IGFBP3,COL1A1,LEP
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	11	4.56e-07	9.01e-06	MMP7,TIMP1,LEP,CCL11,FGL1,MMP3,MMP10,IL6,MMP1,OSM,MMP14
JUN	jun proto-oncogene	11	7.39e-07	1.17e-05	IL1B,MMP7,IL12A,MMP13,MMP3,MMP12,PLAU,FGF7,IFNB1,IL6,MMP1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	8	2.35e-06	3.1e-05	MMP10,PF4,MMP1,PLAU,IL5,MMP13,MMP3,COL1A1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	6	1.88e-05	0.000212	SPP1,S100A9,IL5,LEP,IL6,SERPINC1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	4.7e-05	0.000422	MMP3,IL1B,IFNB1,MMP1
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	6	4.81e-05	0.000422	GDF15,IL1B,MMP1,IL6,IL5,S100A9
FLI1	Friend leukemia virus integration 1	4	0.000123	0.000975	PF4,MMP1,COL1A2,IGFBP3
POU2F1	POU class 2 homeobox 1	4	0.000761	0.00546	IL5,PLAU,LGALS4,SPP1
FOXA2	forkhead box A2	3	0.000927	0.0061	TPO,SERPINC1,MMP7
GATA4	GATA binding protein 4	3	0.00109	0.00664	AMH,FGF10,IL5
SP3	Sp3 transcription factor	6	0.00151	0.00759	HBEGF,IGFBP3,TIMP1,TGM4,COL1A1,MUC6
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	3	0.00169	0.00759	FST,MMP7,MMP14
ETV4	ets variant 4	3	0.00169	0.00759	MMP14,MMP7,MMP1
