Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	20	1.75e-13	1.72e-11	MMP7,TIMP1,FGF2,LEP,MUC5B,PGF,MMP9,CTGF,FGG,SHH,A2M,IL10,FGL1,MMP3,MMP1,OSM,MMP14,IL11,MUC1,CXCL8
SP1	Sp1 transcription factor	34	3.72e-13	1.82e-11	MMRN1,F10,AGT,WIF1,GDF5,COL7A1,HYAL1,TNC,SERPINB5,MUC5AC,FBLN1,EGF,CTGF,PLAU,COL2A1,COMP,TIMP1,PDGFC,ADIPOQ,LTBP4,MMP9,MMP28,IL10,TGFA,MMP11,PLAT,MMP14,SPP1,IGFBP3,COL1A1,LEP,IGFBP1,PTN,ACAN
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	24	1.9e-10	6.19e-09	HYAL1,MMP3,SDC1,MMP1,SERPINA3,SFTPA1,TNC,TIMP1,COL2A1,COL1A2,CXCL8,COL7A1,PLAU,AGT,MMP9,MMP13,MUC5B,VWF,GDNF,IL10,MUC5AC,MMP14,COL1A1,A2M
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	23	9.3e-10	2.28e-08	MMP9,CXCL8,COL1A2,MMP14,IL10,HYAL1,PLAU,MMP12,TNC,TIMP1,SDC1,SFTPA1,MUC5B,MMP1,MMP13,COL1A1,VWF,AGT,COL2A1,SERPINA3,MMP3,MUC5AC,COL7A1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	12	5.51e-09	1.08e-07	PF4,MMP1,PLAU,IL5,CTGF,MMP13,MMP3,VWF,IGFBP1,TNC,COL1A1,MMP9
JUN	jun proto-oncogene	15	2.23e-08	3.64e-07	MMP7,PLAT,MMP9,CXCL8,CTGF,MMP13,MMP3,MMP12,PTN,TNC,PLAU,NGF,ELN,MMP20,MMP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	7	6.82e-07	9.54e-06	MMP1,CXCL8,VWF,MMP3,MMP9,IL5,TNC
FLI1	Friend leukemia virus integration 1	6	1.89e-06	2.31e-05	PF4,MMP1,COL1A2,IGFBP3,IL10,CTGF
HDAC1	histone deacetylase 1	9	2.23e-06	2.43e-05	MMP9,IGFBP3,SPP1,RELN,SERPINB5,CXCL8,SFRP1,MMP28,COL1A2
FOS	FBJ murine osteosarcoma viral oncogene homolog	8	3.78e-06	3.55e-05	MMP9,MMP7,NGF,MMP3,MMP1,CXCL8,NTF3,PLAU
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	6	3.98e-06	3.55e-05	ADAMTS1,SPP1,WNT11,FGF2,VWF,CXCL8
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	7	5.29e-05	0.000432	GDF15,IL10,CXCL8,MMP1,IL5,S100A9,TNFAIP6
ING4	inhibitor of growth family, member 4	4	8.24e-05	0.000621	CXCL8,NGF,ANGPT1,SPP1
EGR1	early growth response 1	8	9.5e-05	0.000665	MMP14,GDF15,HYAL1,FGF2,PLAU,CXCL8,GDNF,PDGFC
SMAD3	SMAD family member 3	5	0.000134	0.000878	COL7A1,LTBP4,TNC,ANGPTL4,MMP9
GLI1	GLI family zinc finger 1	4	0.000222	0.00124	MUC5AC,S100A7,SFRP1,S100A9
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4	0.000222	0.00124	MMP3,MMP1,CXCL8,MMP9
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	3	0.000227	0.00124	MMP9,MMP14,MMP1
EP300	E1A binding protein p300	6	0.000294	0.00152	IL5,IGFBP3,LAMA3,MMP9,CXCL8,COL1A2
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	3	0.000336	0.00157	IGFBP3,SFRP1,SFRP5
TFCP2	transcription factor CP2	3	0.000336	0.00157	SPP1,A2M,FGA
POU2F1	POU class 2 homeobox 1	5	0.000361	0.00161	IL5,VWF,PLAU,LGALS4,SPP1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	7	0.000413	0.00176	FGF2,PLAU,MUC3A,MUC1,EGLN3,LEP,CTGF
SP3	Sp3 transcription factor	8	0.000532	0.00217	FBLN1,IGFBP3,TIMP1,GDF5,IGFBP1,COL1A1,PLAT,COL2A1
POU5F1	POU class 5 homeobox 1	4	0.000571	0.00224	SPP1,LEFTY1,SEMA6A,TDGF1
SRF	serum response factor (c-fos serum response element-binding transcription factor)	4	0.000671	0.00253	MMP14,MMP9,PLG,PLAU
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	5	0.00142	0.00517	SPP1,IL10,S100A9,IL5,LEP
TWIST1	twist basic helix-loop-helix transcription factor 1	4	0.00244	0.00813	TIMP1,GDF15,SRPX,MMP1
