Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	26	3.84e-15	1.69e-13	CCL4,CXCL10,IL6,CXCL8,IL12A,IL1B,CSF1,BMP2,HYAL1,CCL2,CXCL2,TNFSF14,SFTPA1,SERPINE1,CCL11,MMP1,TNF,MMP13,CXCL5,CCL13,SERPINA3,IL1A,HBEGF,AMH,MUC6,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	26	4.5e-15	1.69e-13	HYAL1,AMH,MMP1,SERPINA3,SFTPA1,IL1B,CXCL8,CSF1,CXCL10,IL1A,MMP13,BMP2,CXCL5,CCL11,TNFSF14,CCL13,MUC6,IL6,SERPINE1,HBEGF,TNF,CCL4,IL12A,CXCL1,CXCL2,CCL2
JUN	jun proto-oncogene	15	3.7e-10	9.24e-09	IL1B,DCN,IL12A,CCL2,CXCL8,CSF1,CTGF,MMP13,IL1A,IBSP,CSTA,MGP,TNF,IL6,MMP1
SP1	Sp1 transcription factor	25	6.13e-10	1.15e-08	TNFSF14,LAMA1,MUC4,FGL2,F10,CCL2,HYAL1,TNF,EGF,CXCL5,CTGF,IL6,SERPINE1,HBEGF,LTBP4,CXCL1,MMP28,COL11A2,MUC6,TIMP3,TGM4,MMP11,IGF2,SPP1,LEP
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	13	1.81e-08	2.71e-07	FGF2,LEP,CYR61,CTGF,CCL11,FGL1,MUC4,IL6,MMP1,OSM,CCL2,MUC1,CXCL8
STAT1	signal transducer and activator of transcription 1, 91kDa	8	7.92e-06	9.9e-05	FGF2,MUC4,IL6,CCL2,MUC1,IL1B,MMP13,CXCL10
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	6	3.32e-05	0.000356	SPP1,CSF1,LEP,IL6,IGF2,CCL2
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	6	8.44e-05	0.000777	CXCL8,IL1B,MMP1,IL6,TNF,IL13
ZFP36	ZFP36 ring finger protein	3	9.32e-05	0.000777	SERPINB2,IL6,CXCL8
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000293	0.00219	ADAMTS1,SPP1,FGF2,CXCL8
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	6	0.000388	0.00264	MUC4,PF4,MMP1,CTGF,MMP13,TNFSF14
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	6	0.000506	0.00316	FGF2,SERPINE1,HBEGF,MUC1,LEP,CTGF
WT1	Wilms tumor 1	5	0.000618	0.00357	NOV,HBEGF,CTGF,IGF2,AMH
EGR1	early growth response 1	6	0.000691	0.0037	TNF,HYAL1,FGF2,CXCL8,IL6,IGF2
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	4	0.00081	0.00401	CXCL8,S100P,IL6,CCL2
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	4	0.000902	0.00401	CCL11,CXCL8,CCL26,IL13
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	5	0.00091	0.00401	IL1B,CCL2,CSF1,TNF,CLEC4G
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00142	0.00498	MMP1,CXCL8
ZNF300	zinc finger protein 300	2	0.00142	0.00498	CXCL8,IL6
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00146	0.00498	IL1B,MMP1,CXCL8
RUNX2	runt-related transcription factor 2	3	0.00146	0.00498	IBSP,MMP13,IHH
XBP1	X-box binding protein 1	3	0.00146	0.00498	CCL2,IL6,CXCL8
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	4	0.00162	0.00528	IL6,AMH,CXCL8,CST5
