Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	25	1.1e-11	5.84e-10	CCL19,MMP9,IL6,IL12A,IL1B,COL1A2,BMP2,HYAL1,CCL2,CXCL2,MMP12,TNFSF14,SFTPA1,MUC5B,IL17C,MMP1,TNF,MMP13,COL1A1,VWF,COL2A1,IL1A,MUC5AC,HBEGF,MUC6
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	25	1.27e-11	5.84e-10	HYAL1,MMP1,IL17C,SFTPA1,IL1B,COL2A1,COL1A2,IL1A,MMP9,MMP13,BMP2,MUC5B,TNFSF14,VWF,MUC6,MUC5AC,IL6,HBEGF,TNF,IL12A,COL1A1,CCL19,A2M,CXCL2,CCL2
SP1	Sp1 transcription factor	30	7.46e-11	2.29e-09	TNFSF14,FGFBP1,MUC4,MMRN1,F10,WIF1,GDF5,CCL2,HYAL1,PDGFB,SERPINB5,TNF,MUC5AC,AREG,COL2A1,COMP,IL6,HBEGF,MMP9,MMP28,TGFA,MUC6,TIMP3,TGM4,MMP11,IGF2,SPP1,COL1A1,LEP,F7
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	12	3.39e-09	7.81e-08	FGFBP1,MUC4,PF4,MMP1,IL5,ANGPT2,MMP13,VWF,TNFSF14,BMP4,COL1A1,MMP9
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	13	3.63e-07	6.68e-06	MMP7,FGF2,LEP,MUC5B,MMP9,SHH,A2M,FGL1,MUC4,IL6,MMP1,IL11,CCL2
JUN	jun proto-oncogene	13	6.33e-07	9.71e-06	IL1B,MMP7,IL12A,MMP9,CCL2,MMP13,IL1A,MMP12,LGALS3,NGF,TNF,IL6,MMP1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	8	1.15e-06	1.51e-05	SPP1,IGF1,IL5,SFTPD,LEP,IL6,IGF2,CCL2
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	7	4.03e-05	0.000463	GDF15,IL1B,MMP1,IL6,IL5,TNF,SFTPD
STAT1	signal transducer and activator of transcription 1, 91kDa	8	5.03e-05	0.000505	FGF2,MMP9,MUC4,IL6,CCL2,IL1B,MMP13,S100A10
HDAC2	histone deacetylase 2	5	5.49e-05	0.000505	MUC5AC,CCL2,COL1A2,BMP7,IGF1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	5	0.000128	0.00107	MMP1,VWF,ANGPT2,MMP9,IL5
HDAC5	histone deacetylase 5	3	2e-04	0.00153	IGF2,SLIT2,FGF2
EP300	E1A binding protein p300	6	0.000233	0.00158	IL5,IGF1,LAMA3,MMP9,IL6,COL1A2
FOS	FBJ murine osteosarcoma viral oncogene homolog	6	0.000257	0.00158	MMP9,FGFBP1,MMP7,NGF,MMP1,IL1A
WT1	Wilms tumor 1	6	0.000257	0.00158	IGF1,NOV,HBEGF,CX3CL1,IGF2,PDGFA
EGR2	early growth response 2	3	0.000296	0.0017	IGF2,LIF,IL6
ETV4	ets variant 4	4	0.000343	0.00185	MUC4,MMP7,MMP1,TNF
HOXB7	homeobox B7	3	0.000418	0.00203	PDGFA,THBS2,FGF2
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000418	0.00203	VWF,IL1B,AREG
EGR1	early growth response 1	7	0.000457	0.00203	PDGFB,GDF15,TNF,HYAL1,FGF2,IL6,IGF2
FOXO1	forkhead box O1	4	0.000486	0.00203	PDGFB,ANGPT2,IL6,PDGFA
POU5F1	POU class 5 homeobox 1	4	0.000486	0.00203	SPP1,LEFTY1,SEMA6A,BMP4
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	4	0.000773	0.00309	ADAMTS1,SPP1,FGF2,VWF
HDAC1	histone deacetylase 1	6	0.000846	0.00324	MMP9,SPP1,SERPINB5,SFRP1,MMP28,COL1A2
ING4	inhibitor of growth family, member 4	3	0.0015	0.00551	NGF,ANGPT1,SPP1
JUND	jun D proto-oncogene	4	0.00187	0.00663	IL6,FGFBP1,IL5,SFTPD
SP3	Sp3 transcription factor	7	0.002	0.0068	HBEGF,GDF5,TGM4,COL1A1,MUC6,COL2A1,MUC4
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	5	0.00282	0.00875	IL1B,IL5,CCL2,CTSG,TNF
POU2F1	POU class 2 homeobox 1	4	0.00284	0.00875	IL5,VWF,LGALS4,SPP1
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00304	0.00875	IL1B,MMP1,MMP9
RUNX2	runt-related transcription factor 2	3	0.00304	0.00875	LGALS3,MMP13,IHH
YY1	YY1 transcription factor	6	0.00304	0.00875	IL1B,COL1A2,VWF,MUC4,IL5,POSTN
KLF4	Kruppel-like factor 4 (gut)	4	0.00343	0.0088	IL6,IL1B,LAMA3,GDF15
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00351	0.0088	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00351	0.0088	WNT3A,RSPO2
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	2	0.00351	0.0088	IL5,MMP13
ELK1	ELK1, member of ETS oncogene family	3	0.00354	0.0088	WISP2,PDGFB,MUC4
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	3	0.00467	0.0113	IL6,CCL2,IL1B
FLI1	Friend leukemia virus integration 1	3	0.006	0.0142	PF4,MMP1,COL1A2
MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)	2	0.00641	0.0147	MMP9,MMP1
SIRT1	sirtuin 1	4	0.00663	0.0149	IL1B,COL1A2,TNF,MMP9
RARA	retinoic acid receptor, alpha	3	0.00753	0.0165	FGFBP1,ANXA8,MUC5AC
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	2	0.00816	0.0167	MMP9,TIMP3
FOSL1	FOS-like antigen 1	2	0.00816	0.0167	SFTPD,MMP1
TFCP2	transcription factor CP2	2	0.00816	0.0167	SPP1,A2M
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	3	0.00838	0.0168	CCL2,VWF,COL1A1
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	5	0.00971	0.0185	FGF2,HBEGF,MUC3A,EGLN3,LEP
LMO2	LIM domain only 2 (rhombotin-like 1)	2	0.0101	0.0185	FGF2,ANGPT2
