Key TF	Description	# of overlapped genes	P value	Q value	List of overlapped genes
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	31	1.4e-16	8.09e-15	CCL4,IL2,IL6,CXCL8,IL1B,COL1A2,IL12B,IL10,HYAL1,CCL20,PLAU,CCL2,CXCL2,MMP12,CCL3,TNFSF14,SFTPA1,MUC5B,SERPINE1,IL17C,MMP1,CXCL5,COL1A1,VWF,COL2A1,IL1A,MUC5AC,IL18,HBEGF,MUC6,CXCL1
NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	31	1.69e-16	8.09e-15	IL2,HYAL1,MMP1,IL17C,SFTPA1,IL1B,COL2A1,COL1A2,CXCL8,PLAU,CCL3,IL1A,CCL20,CXCL5,MUC5B,TNFSF14,VWF,MUC6,IL12B,IL10,MUC5AC,IL6,SERPINE1,HBEGF,CCL4,CXCL1,IL18,COL1A1,A2M,CXCL2,CCL2
SP1	Sp1 transcription factor	36	6.1e-15	1.95e-13	TNFSF14,FGFBP1,MUC4,MMRN1,IL2,WIF1,CCL2,HYAL1,PDGFB,SERPINB5,MUC5AC,EGF,CXCL5,AREG,PLAU,COL2A1,COMP,IL6,SERPINE1,COL18A1,HBEGF,LTBP4,CXCL1,MMP28,IL10,CXCL14,TGFA,MUC6,TIMP3,TGM4,MMP11,SPP1,IGFBP3,COL1A1,LEP,F7
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	16	1.03e-09	2.48e-08	FGF2,LEP,MUC5B,PGF,A2M,IL10,FGL1,MUC4,IL2,MMP10,IL6,MMP1,OSM,IL11,CCL2,CXCL8
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	11	4.85e-08	9.3e-07	FGFBP1,MMP10,F13A1,MUC4,PF4,MMP1,PLAU,VWF,TNFSF14,IL2,COL1A1
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	6	9.41e-07	1.51e-05	IL6,CCL2,IL12B,IL1B,IL2,IL10
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	6	3.49e-06	4.79e-05	ADAMTS1,SPP1,WNT11,FGF2,VWF,CXCL8
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	6	1.72e-05	0.000206	CXCL8,S100P,F7,IL6,PLAU,CCL2
JUN	jun proto-oncogene	11	2.76e-05	0.000294	IL1B,CCL2,CXCL8,IL12B,IL2,IL1A,MMP12,CSTA,PLAU,IL6,MMP1
FLI1	Friend leukemia virus integration 1	5	3.31e-05	0.000317	PF4,MMP1,COL1A2,IGFBP3,IL10
CEBPB	CCAAT/enhancer binding protein (C/EBP), beta	7	4.58e-05	0.000399	IL10,CXCL8,IL1B,MMP1,IL6,IL13,SFTPD
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	6	5.06e-05	0.000405	IL6,IL2,IL12B,IL10,IGFBP3,CXCL8
HDAC2	histone deacetylase 2	5	6.04e-05	0.000446	MUC5AC,CXCL8,CCL2,COL1A2,BMP7
EGR1	early growth response 1	8	8.09e-05	0.000555	PDGFB,HYAL1,LTB,FGF2,PLAU,CXCL8,IL6,IL2
HDAC1	histone deacetylase 1	7	0.000136	0.000869	IL2,IGFBP3,SPP1,SERPINB5,CXCL8,MMP28,COL1A2
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	6	0.000154	0.000924	SPP1,IL10,SFTPD,LEP,IL6,CCL2
ZFP36	ZFP36 ring finger protein	3	0.000212	0.0012	IL6,CXCL8,IL2
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	5	0.000251	0.00131	CXCL8,COL1A2,CCL17,COL1A1,IL13
EP300	E1A binding protein p300	6	0.00026	0.00131	S100A4,IL12B,IGFBP3,CXCL8,IL6,COL1A2
FOS	FBJ murine osteosarcoma viral oncogene homolog	6	0.000287	0.00138	FGFBP1,CSTA,MMP1,CXCL8,IL1A,PLAU
POU2F1	POU class 2 homeobox 1	5	0.000325	0.00149	VWF,PLAU,LGALS4,SPP1,IL2
STAT1	signal transducer and activator of transcription 1, 91kDa	7	0.000388	0.00169	FGF2,MUC4,IL6,CCL2,IL1B,CCL3,IL10
NFIL3	nuclear factor, interleukin 3 regulated	3	0.000444	0.00185	VWF,IL1B,AREG
NFIC	nuclear factor I/C (CCAAT-binding transcription factor)	4	0.000833	0.00333	CCL2,VWF,COL18A1,COL1A1
ING4	inhibitor of growth family, member 4	3	0.00159	0.00592	CXCL8,ANGPT1,SPP1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	4	0.0016	0.00592	MMP1,CXCL8,VWF,IL12B
JUND	jun D proto-oncogene	4	0.00202	0.00717	IL6,FGFBP1,CSTA,SFTPD
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	6	0.00211	0.00724	FGF2,SERPINE1,HBEGF,PLAU,MUC3A,LEP
SP3	Sp3 transcription factor	7	0.00224	0.0074	HBEGF,IGFBP3,TGM4,COL1A1,MUC6,COL2A1,MUC4
NR4A2	nuclear receptor subfamily 4, group A, member 2	2	0.00246	0.00761	MMP1,CXCL8
ZNF300	zinc finger protein 300	2	0.00246	0.00761	CXCL8,IL6
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	5	0.00307	0.00884	IL1B,IL12B,CCL2,CTSG,IL18
CREB1	cAMP responsive element binding protein 1	6	0.00318	0.00884	IL2,MUC5AC,MUC4,IL6,PLAU,IL10
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3	0.00322	0.00884	IL1B,MMP1,CXCL8
XBP1	X-box binding protein 1	3	0.00322	0.00884	CCL2,IL6,CXCL8
CEBPZ	CCAAT/enhancer binding protein (C/EBP), zeta	2	0.00365	0.00946	COL1A2,COL11A1
FOXQ1	forkhead box Q1	2	0.00365	0.00946	WNT3A,RSPO2
AHR	aryl hydrocarbon receptor	3	0.00494	0.0124	IL6,IL13,IL1B
ILF3	interleukin enhancer binding factor 3, 90kDa	2	0.00505	0.0124	PLAU,IL2
E2F1	E2F transcription factor 1	7	0.00574	0.0138	IL1B,MUC4,SERPINE1,SERPINB5,TNFSF11,PCSK6,CCL3
HDAC5	histone deacetylase 5	2	0.00666	0.0156	SLIT2,FGF2
PARP1	poly (ADP-ribose) polymerase 1	3	0.00713	0.0163	CXCL1,SERPINE1,IL10
RARA	retinoic acid receptor, alpha	3	0.00796	0.0173	FGFBP1,PLAU,MUC5AC
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	2	0.00848	0.0173	IGFBP3,SFRP5
FOSL1	FOS-like antigen 1	2	0.00848	0.0173	SFTPD,MMP1
GATA6	GATA binding protein 6	2	0.00848	0.0173	PLAU,VWF
TFCP2	transcription factor CP2	2	0.00848	0.0173	SPP1,A2M
IRF1	interferon regulatory factor 1	4	0.0088	0.0176	IL12B,IL10,SLPI,OGN
EPAS1	endothelial PAS domain protein 1	2	0.0105	0.0201	SERPINE1,COL10A1
HOXB7	homeobox B7	2	0.0105	0.0201	THBS2,FGF2
FOXP3	forkhead box P3	2	0.0127	0.0234	IL10,IL2
IRF8	interferon regulatory factor 8	2	0.0127	0.0234	IL10,IL1B
CIITA	class II, major histocompatibility complex, transactivator	3	0.013	0.0235	COL1A1,S100A4,COL1A2
TBX21	T-box 21	2	0.0151	0.0266	IL10,IL13
YY1	YY1 transcription factor	5	0.0152	0.0266	IL1B,COL1A2,VWF,MUC4,POSTN
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	3	0.0209	0.0359	COL1A1,COL1A2,CTSG
GATA3	GATA binding protein 3	3	0.0225	0.0365	IL10,MMP1,CXCL1
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	3	0.0225	0.0365	SPP1,MUC4,S100P
JUNB	jun B proto-oncogene	2	0.0232	0.0365	IL1B,SFTPD
PTTG1	pituitary tumor-transforming 1	2	0.0232	0.0365	S100A4,FGF2
TBP	TATA box binding protein	2	0.0232	0.0365	IL6,PPBP
RUNX1	runt-related transcription factor 1	3	0.0257	0.0398	CCL3,IL2,PF4
CEBPD	CCAAT/enhancer binding protein (C/EBP), delta	2	0.0295	0.0442	CCL20,CXCL1
HMGA1	high mobility group AT-hook 1	2	0.0295	0.0442	CXCL1,IL1B
DDIT3	DNA-damage-inducible transcript 3	2	0.0328	0.0484	IL6,CXCL8
ESR2	estrogen receptor 2 (ER beta)	2	0.0363	0.052	TGFA,SERPINE1
RUNX2	runt-related transcription factor 2	2	0.0363	0.052	IHH,PLAU
ELK1	ELK1, member of ETS oncogene family	2	0.0399	0.0563	PDGFB,MUC4
SIRT1	sirtuin 1	3	0.041	0.0571	IL1B,COL10A1,COL1A2
ETV4	ets variant 4	2	0.0475	0.0642	MUC4,MMP1
NR5A1	nuclear receptor subfamily 5, group A, member 1	2	0.0475	0.0642	NOV,INSL3
ATF1	activating transcription factor 1	2	0.0556	0.0721	TGFB2,IL10
FOXO1	forkhead box O1	2	0.0556	0.0721	PDGFB,IL6
POU5F1	POU class 5 homeobox 1	2	0.0556	0.0721	SPP1,SEMA6A
CREM	cAMP responsive element modulator	2	0.0598	0.0746	IL2,CCL4
SRF	serum response factor (c-fos serum response element-binding transcription factor)	2	0.0598	0.0746	SERPINE1,PLAU
TWIST2	twist basic helix-loop-helix transcription factor 2	2	0.0598	0.0746	POSTN,SRPX
AR	androgen receptor	4	0.0616	0.0752	SERPINB5,IGFBP3,TGFA,NOV
GATA1	GATA binding protein 1 (globin transcription factor 1)	3	0.0626	0.0752	PF4,F13A1,LTBP4
WT1	Wilms tumor 1	3	0.0626	0.0752	NOV,HBEGF,CX3CL1
NR1I2	nuclear receptor subfamily 1, group I, member 2	2	0.0641	0.076	CCL2,IL10
USF1	upstream transcription factor 1	3	0.0854	0.0985	TGFB2,SERPINE1,PF4
DNMT1	DNA (cytosine-5-)-methyltransferase 1	2	0.0872	0.0985	TIMP3,SFRP5
HSF1	heat shock transcription factor 1	2	0.0872	0.0985	IL1B,SERPINE1
SMAD3	SMAD family member 3	2	0.0872	0.0985	LTBP4,SERPINE1
ATF2	activating transcription factor 2	2	0.092	0.102	TGFB2,PLAU
CDX2	caudal type homeobox 2	2	0.092	0.102	MEP1A,IGFBP3
TWIST1	twist basic helix-loop-helix transcription factor 1	2	0.107	0.117	SRPX,MMP1
ESR1	estrogen receptor 1	3	0.121	0.131	F12,TGFA,SERPINE1
PPARA	peroxisome proliferator-activated receptor alpha	2	0.128	0.137	SERPINE1,IL6
KLF4	Kruppel-like factor 4 (gut)	2	0.133	0.141	IL6,IL1B
USF2	upstream transcription factor 2, c-fos interacting	2	0.172	0.18	PF4,TGFB2
BRCA1	breast cancer 1, early onset	2	0.231	0.238	AREG,CXCL1
PPARG	peroxisome proliferator-activated receptor gamma	2	0.284	0.29	SERPINE1,MMP1
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	2	0.313	0.317	MUC4,COL1A1
TP53	tumor protein p53	3	0.487	0.487	MMP1,FGF2,IGFBP3
