,prize,Category,terminal,type,degree,betweenness,louvain_clusters,location,general_process,specific_process,general_function,specific_function
CTNND1,0.0,,False,protein,49,0.011892612333097373,0,extracellular,cellular process,cellular component organization,binding,protein binding
PLXNC1,3.4312000000000005,ECM-affiliated Proteins,True,protein,1,0.0,0,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
FST,3.4226,Secreted Factors,True,protein,16,0.0,7,extracellular,biological regulation,regulation of biological process,binding,protein binding
MUC1,3.5254,ECM-affiliated Proteins,True,protein,41,0.009805492524330337,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
RUNX2,3.70866,TF,True,protein,56,0.0055394236766471445,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
ANXA3,3.3679,ECM-affiliated Proteins,True,protein,13,0.0,2,vesicle,biological regulation,regulation of biological process,binding,ion binding
LILRB2,0.0,,False,protein,9,0.009615384615384616,0,endomembrane,biological regulation,regulation of biological process,binding,protein binding
PTPN6,0.0,,False,protein,111,0.03185737284044506,0,extracellular,biological regulation,regulation of biological process,binding,protein binding
COL19A1,2.8355,Collagens,True,protein,1,0.0,7,extracellular,biological adhesion,cell adhesion,structural molecule,extracellular matrix structural constituent
MEF2A,0.0,,False,protein,35,5.743985287408015e-05,1,nucleus,biological regulation,regulation of biological process,binding,protein binding
COL20A1,4.002,Collagens,True,protein,3,0.0,1,ER,immune system process,immune effector process,binding,carbohydrate binding
MUC16,2.1326,ECM-affiliated Proteins,True,protein,3,0.0,5,extracellular,cellular process,cell communication,binding,protein binding
STAT1,3.5629,TF,True,protein,170,0.02136716992138028,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
IRF1,2.9706,TF,True,protein,37,0.00041161537161299607,6,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
MET,0.0,,False,protein,121,0.0447389014594965,0,plasma_membrane,biological regulation,regulation of biological process,catalytic,transferase
KRT31,0.0,,False,protein,199,0.008625881968273283,7,extracellular,developmental process,anatomical structure development,structural molecule,structural constituent of cytoskeleton
TNXB,3.3219000000000003,ECM Glycoproteins,True,protein,6,0.0,7,extracellular,cellular process,cellular component organization,binding,protein binding
