protein1,protein2,in_solution,cost
PAX5,MYB,True,0.598835
PAX5,TBP,True,0.399743
PAX5,CREBBP,,0.717078
PAX5,RUNX1,True,0.561127
PAX5,EP300,True,0.388868
PAX5,ETS1,,0.666911
PAX5,RB1,,0.399743
MUC1,ESR1,,0.45648
MUC1,TBP,,0.73224
MUC1,CEBPB,True,0.537305
MUC1,PPARG,True,0.388868
MUC1,JUN,,0.598835
MUC1,GRB2,True,0.328233
MUC1,EP300,,0.598835
MUC1,HIF1A,,0.598835
MUC1,PRKCD,,0.388868
MUC1,CTNNB1,True,0.0472643
MUC1,GALNT12,True,0.549451
RUNX2,HDAC4,True,0.298244
RUNX2,CEBPB,,0.830932
RUNX2,CREBBP,,0.598835
RUNX2,JUN,,0.267119
RUNX2,STAT3,,0.598835
RUNX2,EP300,,0.298244
RUNX2,HIF1A,True,0.45648
RUNX2,HDAC1,,0.279234
RUNX2,ETS1,,0.561127
RUNX2,HDAC3,,0.332937
RUNX2,RB1,,0.598835
RUNX2,SMAD3,True,0.249941
RUNX2,FOS,True,0.267119
RUNX2,CBFB,,0.598835
ANXA3,ATF2,True,0.598835
LILRB2,ANGPTL2,True,0.561127
LILRB2,PTPN6,True,0.402371
PTPN6,ESR1,,0.561127
PTPN6,KDR,,0.598835
PTPN6,GRB2,,0.286657
PTPN6,PRKCD,True,0.388868
PTPN6,SMAD3,,0.598835
PTPN6,CTNNB1,,0.765937
PTPN6,STAT6,,0.85922
PTPN6,HOXA10,True,0.379173
PTPN6,PDGFRB,,0.561127
TGFBI,COL1A1,,0.794225
TGFBI,FBN1,True,0.598835
STAT1,HDAC4,,0.598835
STAT1,NFKBIA,,0.598835
STAT1,KDR,,0.830932
STAT1,CREBBP,,0.0646551
STAT1,JUN,,0.585069
STAT1,IRF1,True,0.322417
STAT1,STAT3,True,0.298244
STAT1,RELA,,0.598835
STAT1,EP300,,0.0802848
STAT1,E2F1,,0.475767
STAT1,HDAC1,,0.598835
STAT1,RXRA,,0.472754
STAT1,PRKCD,True,0.117753
STAT1,HDAC3,,0.598835
STAT1,FOS,,0.410771
STAT1,GFAP,,0.594442
STAT1,PDGFRB,,0.598835
IRF1,NFKB1,,0.85922
IRF1,SUMO1,,0.441963
IRF1,CREBBP,,0.561127
IRF1,RELA,,0.85922
IRF1,EP300,True,0.210129
IRF1,SPI1,True,0.376967
KLF8,PARP1,True,0.429349
KLF8,CREBBP,,0.598835
KLF8,EP300,True,0.598835
TFCP2,HDAC2,True,0.561127
TFCP2,SUMO1,,0.443583
TFCP2,HDAC1,,0.561127
TFCP2,NFE4,True,0.271915
TFCP2,ASAP3,True,0.443583
ATF4,TBP,,0.561127
ATF4,NFKBIA,,0.492989
ATF4,CEBPB,,0.85922
ATF4,ATF2,,0.561127
ATF4,CREBBP,,0.391484
ATF4,JUN,True,0.1715
ATF4,RELA,,0.598835
ATF4,EP300,,0.233609
ATF4,FOSL1,,0.391484
ATF4,JUNB,,0.536542
ATF4,CEBPD,,0.85922
ATF4,FOS,,0.245755
ATF4,CEBPA,,0.484455
ATF4,BTRC,True,0.115535
ATF4,MAF,True,0.484455
ATF4,LDOC1,True,0.274641
BTRC,MYB,,0.85922
BTRC,NFKB1,,0.123568
BTRC,NFKBIA,True,0.016534
BTRC,KDR,,0.289938
BTRC,SMAD4,,0.144906
BTRC,RELA,,0.598835
BTRC,EP300,,0.598835
BTRC,E2F1,,0.561127
BTRC,ELF3,,0.598835
BTRC,SMAD3,,0.598835
BTRC,CTNNB1,,0.0146852
BTRC,SP1,,0.561127
DMBT1,CDK6,True,0.598835
DMBT1,SFTPA1,True,0.475111
EIF1B,ANXA2,True,0.598835
EIF1B,FUS,,0.598835
EIF1B,MXRA5,True,0.598835
EIF1B,HMGB2,True,0.598835
CXCR2,PPBP,True,0.409982
CXCR2,CXCL8,True,0.053099
TAF11,TBP,True,0.0579104
TAF11,APPBP2,True,0.392016
TAF11,RELA,,0.561127
TAF11,RXRA,,0.85922
KLF4,HDAC2,True,0.262588
KLF4,PPARG,True,0.537305
KLF4,CREBBP,,0.2064
KLF4,RELA,,0.598835
KLF4,EP300,True,0.226952
KLF4,HDAC1,,0.561127
KLF4,PRKCD,,0.598835
KLF4,SP1,True,0.364353
TWIST1,NFKB1,True,0.598835
TWIST1,HDAC2,,0.472309
TWIST1,ETS2,True,0.409355
TWIST1,RELA,,0.410771
TWIST1,EP300,,0.441751
TWIST1,SOX2,,0.598835
TWIST1,HDAC3,,0.598835
TWIST1,HOXA5,True,0.369192
ADAM9,MAD2L2,True,0.281077
ADAM9,CDH1,,0.598835
ADAM9,PRKCD,,0.598835
GLI1,HDAC2,,0.598835
GLI1,SMAD4,True,0.598835
GLI1,HDAC1,,0.598835
ADAMTSL3,KRT40,True,0.392016
ADAMTSL3,KRTAP10-8,True,0.392016
ERG,PARP1,True,0.296056
ERG,JUN,,0.561127
ERG,ETS2,True,0.381203
ERG,FLI1,,0.85922
ERG,SPI1,,0.85922
SKI,ESR1,,0.598835
SKI,MYB,,0.45648
SKI,RARA,,0.378985
SKI,CDH1,,0.598835
SKI,JUN,,0.571676
SKI,SMAD4,True,0.0249355
SKI,HDAC3,,0.221602
SKI,RB1,,0.598835
SKI,SMAD3,True,0.0331915
SKI,SPI1,,0.45648
SKI,SIRT1,,0.598835
SOX2,POU5F1,True,0.436465
SOX2,HDAC2,,0.598835
SOX2,SUMO1,,0.392016
SOX2,POU2F1,,0.449981
SOX2,JUND,,0.598835
SOX2,RUNX1,,0.598835
SOX2,HDAC1,,0.598835
SOX2,HDAC3,,0.410771
SOX2,CTNNB1,,0.598835
SOX2,MFAP1,True,0.598835
SOX2,HOXA5,,0.598835
CDK6,RUNX1,,0.344359
CDK6,RB1,True,0.0476394
CDK6,CTNNB1,,0.598835
CDK6,SIRT1,,0.561127
ADAM28,ITGA4,True,0.85922
FSTL1,APPBP2,True,0.259437
FSTL1,BMP4,True,0.561127
FSTL1,TGFB1,True,0.45648
FSTL1,CD14,True,0.342428
USF1,ESR1,,0.85922
USF1,PARP1,,0.598835
USF1,EP300,,0.598835
USF1,FOSL1,True,0.228401
USF1,FOS,,0.392016
USF1,USF2,True,0.0776288
PPARG,ESR1,,0.561127
PPARG,HDAC4,,0.561127
PPARG,NFKB1,,0.45648
PPARG,CEBPB,,0.391484
PPARG,SERPINH1,True,0.561127
PPARG,SUMO1,,0.165007
PPARG,CREBBP,,0.116066
PPARG,JUN,,0.690083
PPARG,NCOA1,True,0.0251322
PPARG,CIITA,,0.598835
PPARG,JUND,,0.561127
PPARG,RELA,,0.123965
PPARG,EP300,True,0.0429005
PPARG,TFAP2A,,0.561127
PPARG,HDAC1,,0.45648
PPARG,RXRA,True,0.0185164
PPARG,HDAC3,,0.159791
PPARG,RB1,,0.45648
PPARG,SMAD3,,0.598835
PPARG,CTNNB1,,0.298244
PPARG,STAT6,,0.45648
PPARG,SP1,,0.214171
PPARG,RXRG,,0.598835
