name	prize	Category	Division
IL16	7.1401	Secreted Factors	Matrisome-associated
SPP1	8.9571	ECM Glycoproteins	Core matrisome
FGA	7.326499999999999	ECM Glycoproteins	Core matrisome
ANXA2	5.7654	ECM-affiliated Proteins	Matrisome-associated
MFAP1	5.3702	ECM Glycoproteins	Core matrisome
MUC5AC	7.3995	ECM-affiliated Proteins	Matrisome-associated
SPARCL1	3.9772	ECM Glycoproteins	Core matrisome
PLG	3.0026	ECM Regulators	Matrisome-associated
COL17A1	4.8404	Collagens	Core matrisome
MXRA5	8.3655	ECM Glycoproteins	Core matrisome
TNC	5.2988	ECM Glycoproteins	Core matrisome
MUC5B	2.5877	ECM-affiliated Proteins	Matrisome-associated
ZFP91	2.3132	Secreted Factors	Matrisome-associated
KNG1	2.109	ECM Regulators	Matrisome-associated
FNDC1	7.3909	ECM Glycoproteins	Core matrisome
LTBP1	4.824400000000001	ECM Glycoproteins	Core matrisome
LTBP2	3.9692	ECM Glycoproteins	Core matrisome
SEMA4B	3.8003	ECM-affiliated Proteins	Matrisome-associated
ADAM17	3.4447	ECM Regulators	Matrisome-associated
VCAN	8.1562	Proteoglycans	Core matrisome
IGFBP3	3.9486	ECM Glycoproteins	Core matrisome
FBLN2	2.0491	ECM Glycoproteins	Core matrisome
ECM2	4.6756	ECM Glycoproteins	Core matrisome
TGM2	2.4450000000000003	ECM Regulators	Matrisome-associated
THBS2	3.7261	ECM Glycoproteins	Core matrisome
MUC1	3.1856	ECM-affiliated Proteins	Matrisome-associated
S100A11	2.6213	Secreted Factors	Matrisome-associated
HRNR	5.8103	Secreted Factors	Matrisome-associated
ANXA3	4.6983	ECM-affiliated Proteins	Matrisome-associated
SFTPA1	4.9458	ECM-affiliated Proteins	Matrisome-associated
IGFBP5	3.7109	ECM Glycoproteins	Core matrisome
TNXB	2.9471	ECM Glycoproteins	Core matrisome
PRG4	2.8434999999999997	Proteoglycans	Core matrisome
GREM1	2.9358	ECM-affiliated Proteins	Matrisome-associated
S100A8	3.3605	Secreted Factors	Matrisome-associated
COL3A1	6.6489	Collagens	Core matrisome
EMCN	7.0032	ECM-affiliated Proteins	Matrisome-associated
MFGE8	2.2637	ECM Glycoproteins	Core matrisome
SPOCK2	6.3092	Proteoglycans	Core matrisome
ABI3BP	2.5988	ECM Glycoproteins	Core matrisome
AGRN	2.3844000000000003	ECM Glycoproteins	Core matrisome
MUC21	3.1618	ECM-affiliated Proteins	Matrisome-associated
S100A16	2.5726999999999998	Secreted Factors	Matrisome-associated
S100A13	3.8087	Secreted Factors	Matrisome-associated
PLXNC1	2.8296	ECM-affiliated Proteins	Matrisome-associated
CTF1	3.8891999999999998	Secreted Factors	Matrisome-associated
LAMB1	4.004	ECM Glycoproteins	Core matrisome
SERPIND1	3.1368	ECM Regulators	Matrisome-associated
FGB	3.3981	ECM Glycoproteins	Core matrisome
POSTN	8.487300000000001	ECM Glycoproteins	Core matrisome
FSTL1	3.8114999999999997	Secreted Factors	Matrisome-associated
PLXNA4	3.0663	ECM-affiliated Proteins	Matrisome-associated
NRG1	3.6066000000000003	Secreted Factors	Matrisome-associated
IGFBP7	2.6162	ECM Glycoproteins	Core matrisome
CLEC4A	2.3128	ECM-affiliated Proteins	Matrisome-associated
F9	2.8223	ECM Regulators	Matrisome-associated
FBN1	3.6402	ECM Glycoproteins	Core matrisome
PRELP	3.3312000000000004	Proteoglycans	Core matrisome
SDC1	2.8562000000000003	ECM-affiliated Proteins	Matrisome-associated
S100A7	9.9034	Secreted Factors	Matrisome-associated
CHRDL1	2.2567	Secreted Factors	Matrisome-associated
S100P	11.1663	Secreted Factors	Matrisome-associated
PAPPA	5.577	ECM Regulators	Matrisome-associated
ANGPTL2	5.7993	Secreted Factors	Matrisome-associated
FSTL3	2.2887	Secreted Factors	Matrisome-associated
FNDC7	4.2679	ECM Glycoproteins	Core matrisome
ANXA7	3.4514	ECM-affiliated Proteins	Matrisome-associated
COL6A2	4.2588	Collagens	Core matrisome
PLXNB1	2.1599	ECM-affiliated Proteins	Matrisome-associated
HTRA3	4.1688	ECM Regulators	Matrisome-associated
COL19A1	3.7785	Collagens	Core matrisome
SULF2	4.7547999999999995	ECM Regulators	Matrisome-associated
S100A3	2.4497	Secreted Factors	Matrisome-associated
FGF1	2.1247	Secreted Factors	Matrisome-associated
FGF16	7.0487	Secreted Factors	Matrisome-associated
PRG3	4.9074	Proteoglycans	Core matrisome
IL9	2.6210999999999998	Secreted Factors	Matrisome-associated
