name	prize	Category	Division
IL16	5.4423	Secreted Factors	Matrisome-associated
SPP1	2.2659000000000002	ECM Glycoproteins	Core matrisome
FGA	4.591799999999999	ECM Glycoproteins	Core matrisome
ANXA2	4.5857	ECM-affiliated Proteins	Matrisome-associated
SPARCL1	3.2817	ECM Glycoproteins	Core matrisome
PLG	3.4563999999999995	ECM Regulators	Matrisome-associated
COL17A1	3.1459	Collagens	Core matrisome
ZFP91	3.7318000000000002	Secreted Factors	Matrisome-associated
KNG1	4.1854	ECM Regulators	Matrisome-associated
FNDC1	2.0362	ECM Glycoproteins	Core matrisome
ADAM9	2.1209999999999996	ECM Regulators	Matrisome-associated
LTBP1	3.4973	ECM Glycoproteins	Core matrisome
LTBP2	5.0923	ECM Glycoproteins	Core matrisome
VCAN	2.5984999999999996	Proteoglycans	Core matrisome
ELFN2	5.0316	ECM-affiliated Proteins	Matrisome-associated
FBLN2	2.701	ECM Glycoproteins	Core matrisome
ECM2	6.5611	ECM Glycoproteins	Core matrisome
FN1	2.8732	ECM Glycoproteins	Core matrisome
MUC1	4.4536	ECM-affiliated Proteins	Matrisome-associated
VTN	2.7616	ECM Glycoproteins	Core matrisome
SERPINC1	5.313899999999999	ECM Regulators	Matrisome-associated
SERPINA10	4.071000000000001	ECM Regulators	Matrisome-associated
ANXA3	4.3563	ECM-affiliated Proteins	Matrisome-associated
IGFBP5	2.0042999999999997	ECM Glycoproteins	Core matrisome
F13A1	2.5093	ECM Regulators	Matrisome-associated
PRG4	4.1676	Proteoglycans	Core matrisome
LGALS1	4.0667	ECM-affiliated Proteins	Matrisome-associated
ADAM10	2.0835	ECM Regulators	Matrisome-associated
ADAMTSL3	4.1179	ECM Regulators	Matrisome-associated
SPOCK2	2.8554000000000004	Proteoglycans	Core matrisome
LAMA4	2.2056000000000004	ECM Glycoproteins	Core matrisome
S100A16	2.1046	Secreted Factors	Matrisome-associated
S100A13	4.1472	Secreted Factors	Matrisome-associated
CTF1	2.645	Secreted Factors	Matrisome-associated
ANXA11	2.243	ECM-affiliated Proteins	Matrisome-associated
SERPIND1	3.7696	ECM Regulators	Matrisome-associated
FGB	3.4558	ECM Glycoproteins	Core matrisome
LAMB2	2.5278	ECM Glycoproteins	Core matrisome
F9	2.466	ECM Regulators	Matrisome-associated
PRELP	2.6206	Proteoglycans	Core matrisome
WISP2	2.6018	ECM Glycoproteins	Core matrisome
S100A4	3.7075	Secreted Factors	Matrisome-associated
MEPE	3.0474	ECM Glycoproteins	Core matrisome
S100P	3.6222	Secreted Factors	Matrisome-associated
VWA3B	3.2356000000000003	ECM Glycoproteins	Core matrisome
F13B	2.7599	ECM Regulators	Matrisome-associated
ANGPT2	3.5337	Secreted Factors	Matrisome-associated
SDC2	5.041399999999999	ECM-affiliated Proteins	Matrisome-associated
TSKU	2.8672000000000004	ECM Glycoproteins	Core matrisome
TCHHL1	2.3840000000000003	Secreted Factors	Matrisome-associated
COL19A1	2.5766999999999998	Collagens	Core matrisome
SPAM1	3.7323	ECM Regulators	Matrisome-associated
SVEP1	2.8118	ECM Glycoproteins	Core matrisome
FST	2.5749	Secreted Factors	Matrisome-associated
CRLF1	6.0146	Secreted Factors	Matrisome-associated
COL6A6	9.1836	Collagens	Core matrisome
GDF15	3.0511	Secreted Factors	Matrisome-associated
