,prize,Category,terminal,type,degree,betweenness,louvain_clusters,location,general_process,specific_process,general_function,specific_function
TBX21,3.87425,TF,True,protein,8,0.0,0,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
PTPRC,0.0,,False,protein,70,0.00832180291709352,1,plasma_membrane,biological regulation,regulation of biological process,catalytic,hydrolase
RUNX2,3.28815,TF,True,protein,56,0.048564547477929404,2,nucleus,biological regulation,regulation of biological process,transcription regulator,DNA-binding transcription factor
LILRB2,0.0,,False,protein,9,0.013513513513513514,1,endomembrane,biological regulation,regulation of biological process,binding,protein binding
PTPN6,0.0,,False,protein,111,0.03560843071236755,1,extracellular,biological regulation,regulation of biological process,binding,protein binding
CD72,0.0,,False,protein,7,0.0034498347963169574,1,plasma_membrane,biological adhesion,cell adhesion,binding,protein binding
TGFBI,2.9153,ECM Glycoproteins,True,protein,11,0.03142618168128372,3,extracellular,cellular process,cellular component organization,binding,protein binding
COL20A1,2.1851000000000003,Collagens,True,protein,3,0.0,3,ER,immune system process,immune effector process,binding,carbohydrate binding
STAT1,3.295,TF,True,protein,170,0.015536773099725492,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
IRF1,3.34824,TF,True,protein,37,0.00031686624998114,0,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
WT1,2.62435,TF,True,protein,35,0.0,0,nucleus,developmental process,anatomical structure development,binding,organic cyclic compound binding
TWIST2,2.551733333333334,TF,True,protein,7,0.0,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
TNXB,6.546900000000001,ECM Glycoproteins,True,protein,6,0.0,5,extracellular,cellular process,cellular component organization,binding,protein binding
TFCP2,3.0149,TF,True,protein,92,0.00012052869195726339,0,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ZFYVE9,0.0,,False,protein,43,0.027583527583527584,6,endosome,cellular process,cell communication,binding,protein binding
TRAF3,0.0,,False,protein,110,0.02838945742492149,0,cytoplasm,biological regulation,regulation of biological process,binding,protein binding
FN1,0.0,,False,protein,754,0.2241271565473148,5,extracellular,cellular process,cellular component organization,binding,protein binding
EIF1B,0.0,,False,protein,168,0.013513513513513514,4,,biological regulation,regulation of biological process,binding,organic cyclic compound binding
S100A11,4.6034,Secreted Factors,True,protein,17,0.0,2,extracellular,biological regulation,regulation of biological process,binding,protein binding
KLF4,2.6512,TF,True,protein,23,0.00020566459693834786,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
TWIST1,2.551733333333334,TF,True,protein,33,0.0059633579225379565,2,nucleus,biological regulation,regulation of biological process,binding,protein binding
SKIL,0.0,,False,protein,105,0.02266818566331252,8,nucleus,biological regulation,regulation of biological process,binding,protein binding
GLI1,3.73665,TF,True,protein,24,0.028760658146266396,3,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
ITIH4,6.1121,ECM Regulators,True,protein,6,0.0,5,extracellular,response to stimulus,response to stress,molecular function regulator,enzyme regulator
CTSH,0.0,,False,protein,5,0.013513513513513514,4,vesicle,biological regulation,regulation of biological process,catalytic,hydrolase
ERG,3.210949999999999,TF,True,protein,81,0.0004563452730186836,2,nucleus,biological regulation,regulation of biological process,binding,organic cyclic compound binding
SKI,0.0,,False,protein,46,0.003558277719405773,6,nucleus,biological regulation,regulation of biological process,binding,protein binding
CSTB,0.0,,False,protein,19,0.026843169700312558,4,extracellular,biological regulation,regulation of biological process,molecular function regulator,enzyme regulator
SERPIND1,3.3264,ECM Regulators,True,protein,3,0.0,5,extracellular,metabolic process,nitrogen compound metabolic process,molecular function regulator,enzyme regulator
OS9,0.0,,False,protein,52,0.018990770191824147,4,ER,cellular process,cellular response to stimulus,binding,protein binding
NTN1,5.0474,ECM Glycoproteins,True,protein,6,0.0,2,extracellular,cellular process,cellular component organization,binding,protein binding
SPP1,8.2503,ECM Glycoproteins,True,protein,81,0.0029887612594379507,5,extracellular,cellular process,cellular component organization,binding,protein binding
SEMA4B,4.718299999999999,ECM-affiliated Proteins,True,protein,4,0.0,1,extracellular,cellular process,cellular developmental process,binding,protein binding
TP53,0.0,,False,protein,872,0.10354493142985258,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
PCOLCE,0.0,,False,protein,17,0.013981874789001989,5,extracellular,multicellular organismal process,multicellular organism development,binding,protein binding
HDAC3,0.0,,False,protein,204,0.02334912335627975,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
NCOR2,0.0,,False,protein,109,0.005349878956379208,3,nucleus,biological regulation,regulation of biological process,binding,protein binding
CTSB,0.0,,False,protein,45,0.05321243918182694,4,lysosome,metabolic process,catabolic process,catalytic,hydrolase
PLXDC2,2.008,ECM-affiliated Proteins,True,protein,3,0.0,0,extracellular,,,binding,protein binding
PIAS3,0.0,,False,protein,55,0.013718909591245007,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
KDR,0.0,,False,protein,60,0.006726125132168365,1,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
ANGPTL2,2.2236,Secreted Factors,True,protein,1,0.0,1,extracellular,multicellular organismal process,multicellular organism development,binding,protein binding
PLXNB3,0.0,,False,protein,12,0.013709812051648786,1,plasma_membrane,biological regulation,regulation of biological process,binding,protein binding
NCOA3,0.0,,False,protein,108,0.0025558459900613026,0,nucleus,biological regulation,regulation of biological process,binding,protein binding
